ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SPACE_QUEST_NAME	SPACE_QUEST_TYPE	IGNORE_SPLIT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	b
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task00_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task00_journal_entry_description	1			0	1		starport_vandals_5	1							1		1			1	corellia	-452.100006103516	28	-4467.60009765625			@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task00_waypoint_name	starport_vandals_5	0			0		0	0	0	0			
quest.task.ground.grant_space_quest	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task01_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task01_journal_entry_description	1			0	2	8	on_corellia_coronet_starport_vandals_a	0							1		1			1	corellia	-137	28	-4723			@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task01_waypoint_name										0	corellia_coronet_starport_vandals_a	assassinate	1
quest.task.ground.grant_space_quest	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task02_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task02_journal_entry_description	1			0	3	7	on_corellia_coronet_starport_vandals_b	0							1		1			1	corellia	-137	28	-4723			@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task02_waypoint_name										0	corellia_coronet_starport_vandals_b	assassinate	1
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task03_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task03_journal_entry_description	1			0	4		starport_vandals_6	0							1		1			1	corellia	-452.100006103516	28	-4467.60009765625			@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task03_waypoint_name	starport_vandals_6	0			0		0	0	0	0			
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task04_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task04_journal_entry_description	1			0	5		starport_vandals_7	1							1		1			1	corellia	-137	28	-4723			@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task04_waypoint_name	starport_vandals_7	0			0		0	0	0	0			
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task05_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task05_journal_entry_description	1			0	6		starport_vandals_8	0							1		1			1	corellia	-69	28	-4634			@quest/ground/corellia_coronet_capitol_problems_starport_vandals_2:task05_waypoint_name	starport_vandals_8	0			0		0	0	0	0			
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																
quest.task.ground.clear_quest			0			0				0						quest/corellia_coronet_capitol_problems_starport_vandals_2	1		1			0	tatooine	0.0	0.0	0.0																
quest.task.ground.clear_quest			0			0				0						quest/corellia_coronet_capitol_problems_starport_vandals_2	1		1			0	tatooine	0.0	0.0	0.0																
