ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	RADIUS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	i	i	i	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	i	i	s	s	i	s	i	s	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.destroy_multi_and_loot	@quest/ground/legacy_naboo_the_keren_incident:task00_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task00_journal_entry_description	1			0	1		narglatchClaws	1							1		1	0	tatooine	0.0	0.0	0.0			narglatch		Narglatch Claws	10	80	0																																						
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_the_keren_incident:task01_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task01_journal_entry_description	1			0	2			1							1		1	1	tatooine	0.0	0.0	0.0									narglatchClaws	0			0		0	0	0																													
quest.task.ground.destroy_multi_and_loot	@quest/ground/legacy_naboo_the_keren_incident:task02_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task02_journal_entry_description	1			0	3		veermokClaws	1							1		1	0	tatooine	0.0	0.0	0.0			veermok		Veermok Claws	10	80	0																																						
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_the_keren_incident:task03_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task03_journal_entry_description	1			0	4			1							1		1	1	tatooine	0.0	0.0	0.0									veermokClaws	0			0		0	0	0																													
quest.task.ground.destroy_multi_and_loot	@quest/ground/legacy_naboo_the_keren_incident:task04_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task04_journal_entry_description	1			0	5		stolenGoods	1							1		1	0	tatooine	0.0	0.0	0.0			thug		Stolen Goods	5	20	0																																						
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_the_keren_incident:task05_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task05_journal_entry_description	1			0	6			1							1		1	0	tatooine	0.0	0.0	0.0									stolenGoods	0			0		0	0	0																													
quest.task.ground.destroy_multi_and_loot	@quest/ground/legacy_naboo_the_keren_incident:task06_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task06_journal_entry_description	1			0	7		unusualWeapons	1							1		1	0	tatooine	0.0	0.0	0.0			thug		Unusual Weapon	3	12	0																																						
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_the_keren_incident:task07_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task07_journal_entry_description	1			0	8			0							1		1	0	tatooine	0.0	0.0	0.0									unusualWeapons	0			0		0	0	0																													
quest.task.ground.destroy_multi	@quest/ground/legacy_naboo_the_keren_incident:task08_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task08_journal_entry_description	1			0	9		findBase	1							1		1	0	tatooine	0.0	0.0	0.0			thug					0										20																												
quest.task.ground.show_message_box			0			0	10			0							1		1	0	tatooine	0.0	0.0	0.0																			@quest/ground/legacy_naboo_the_keren_incident:task09_message_box_title	@quest/ground/legacy_naboo_the_keren_incident:task09_message_box_text		-1	-1	-1	-1																					
quest.task.ground.go_to_location	@quest/ground/legacy_naboo_the_keren_incident:task10_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task10_journal_entry_description	1			0	11		goToBase	1							1		1	1	tatooine	0.0	0.0	0.0																										10.0																				
quest.task.ground.destroy_multi	@quest/ground/legacy_naboo_the_keren_incident:task11_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task11_journal_entry_description	1			0	12		killAssassin	1							1		1	0	tatooine	0.0	0.0	0.0		thug						0										1																												
quest.task.ground.show_message_box			0			0	13			0							1		1	0	tatooine	0.0	0.0	0.0																			@quest/ground/legacy_naboo_the_keren_incident:task12_message_box_title	@quest/ground/legacy_naboo_the_keren_incident:task12_message_box_text		-1	-1	-1	-1																					
quest.task.ground.retrieve_item	@quest/ground/legacy_naboo_the_keren_incident:task13_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task13_journal_entry_description	1			0	14		recoverData	1							1		1	0	tatooine	0.0	0.0	0.0																											object/tangible/terminal/quest/coalition_central_database.iff	1	@quest/ground/legacy_naboo_the_keren_incident:task13_item_name	100	@quest/ground/legacy_naboo_the_keren_incident:task13_retrieve_menu_text															
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_the_keren_incident:task14_journal_entry_title	@quest/ground/legacy_naboo_the_keren_incident:task14_journal_entry_description	1			0	15			0							1		1	0	tatooine	0.0	0.0	0.0									encryptedData	0			0		0	0	0																													
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0																		1														combat_general	2000	Rebel	0	1500			1	0.1	0.1	0.1	0.1		1	0.1
