ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_OBJECT_TEMPLATE	COUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i
quest.task.ground.nothing	@quest/ground/tatooine_knives_parry:task00_journal_entry_title	@quest/ground/tatooine_knives_parry:task00_journal_entry_description	0			0	1,4,7		tatooine_knives_parry_e1	0							1		1	0	tatooine	0.0	0.0	0.0																																							
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_parry:task01_journal_entry_title	@quest/ground/tatooine_knives_parry:task01_journal_entry_description	1			0	2		tatooine_knives_parry_e4	1							1		1	1	tatooine	3197	0.0	-4648			@quest/ground/tatooine_knives_parry:task01_waypoint_name	tatoonie_knives_parry_launch_e5	0			0		0	0	0	0																										
quest.task.ground.craft	@quest/ground/tatooine_knives_parry:task02_journal_entry_title	@quest/ground/tatooine_knives_parry:task02_journal_entry_description	1			0	3		tatooine_knives_parry_e5	1							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/wearables/shirt/shirt_s04.iff	5																								
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_parry:task03_journal_entry_title	@quest/ground/tatooine_knives_parry:task03_journal_entry_description	1			0			tatooine_knives_parry_e96	1							1		1	1	tatooine	3197	0.0	-4648			@quest/ground/tatooine_knives_parry:task03_waypoint_name	tatooine_knives_parry_launch_e96	0			0		0	0	0	0																										
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_parry:task04_journal_entry_title	@quest/ground/tatooine_knives_parry:task04_journal_entry_description	1			0	5		tatooine_knives_parry_e2	1							1		1	1	tatooine	3196	0.0	-4648			@quest/ground/tatooine_knives_parry:task04_waypoint_name	tatoonie_knives_parry_launch_e3	0			0		0	0	0	0																										
quest.task.ground.craft	@quest/ground/tatooine_knives_parry:task05_journal_entry_title	@quest/ground/tatooine_knives_parry:task05_journal_entry_description	1			0	6		tatooine_knives_parry_e3	1							1		1	0	tatooine	0.0	0.0	0.0													0	object/weapon/ranged/pistol/pistol_cdef.iff	5																								
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_parry:task06_journal_entry_title	@quest/ground/tatooine_knives_parry:task06_journal_entry_description	1			0			tatooine_knives_parry_e97	1							1		1	1	tatooine	-3196	0.0	-4648			@quest/ground/tatooine_knives_parry:task06_waypoint_name	tatooine_knives_parry_launch_e97	0			0		0	0	0	0																										
quest.task.ground.wait_for_tasks	@quest/ground/tatooine_knives_parry:task07_journal_entry_title	@quest/ground/tatooine_knives_parry:task07_journal_entry_description	0			0	8		tatooine_knives_parry_e7	1							1		1	0	tatooine	0.0	0.0	0.0													0			quest/tatooine_knives_parry	tatooine_knives_parry_e97	@quest/ground/tatooine_knives_parry:task07_task_display_string_1	quest/tatooine_knives_parry	tatooine_knives_parry_e96	@quest/ground/tatooine_knives_parry:task07_task_display_string_2																		
quest.task.ground.comm_player	@quest/ground/tatooine_knives_parry:task08_journal_entry_title	@quest/ground/tatooine_knives_parry:task08_journal_entry_description	0			0	9		tatooine_knives_parry_e8	0							1		1	0	tatooine	0.0	0.0	0.0																																		@quest/ground/tatooine_knives_parry:task08_comm_message_text	object/mobile/dressed_tatooine_kcur.iff				
