ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	s	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	s	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/corellia_cb_3:task00_journal_entry_title	@quest/ground/corellia_cb_3:task00_journal_entry_description	1			0	1		cb_3_investigate	0							1		1			1	corellia	-4425	12	-2047			@quest/ground/corellia_cb_3:task00_waypoint_name	40	0																																							
quest.task.ground.comm_player			0			0	2,3,4		cb_3_comm	0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/corellia_cb_3:task01_comm_message_text	object/mobile/cb_cora.iff																																					
quest.task.ground.destroy_multi	@quest/ground/corellia_cb_3:task02_journal_entry_title	@quest/ground/corellia_cb_3:task02_journal_entry_description	1			0			cb_3_kill_security_guards	0							1		1			0	tatooine	0.0	0.0	0.0					0			deflarian_security_guard			8	0																																
quest.task.ground.destroy_multi	@quest/ground/corellia_cb_3:task03_journal_entry_title	@quest/ground/corellia_cb_3:task03_journal_entry_description	1			0			cb_3_kill_mechanics	0							1		1			0	tatooine	0.0	0.0	0.0					0			deflarian_mechanic			5	0																																
quest.task.ground.wait_for_tasks	@quest/ground/corellia_cb_3:task04_journal_entry_title	@quest/ground/corellia_cb_3:task04_journal_entry_description	1			0	5		cb_3_recover_ship	0							1		1			1	corellia	-4425	12	-2047			@quest/ground/corellia_cb_3:task04_waypoint_name		0								quest/corellia_cb_3	cb_3_kill_mechanics	@quest/ground/corellia_cb_3:task04_task_display_string_1	quest/corellia_cb_3	cb_3_kill_security_guards	@quest/ground/corellia_cb_3:task04_task_display_string_2																										
quest.task.ground.comm_player			0			0	6,7,8,9		cb_3_comm_2	0							1		1			0	tatooine	0.0	0.0	0.0						@quest/ground/corellia_cb_3:task05_comm_message_text	object/mobile/cb_cora.iff																																					
quest.task.ground.destroy_multi	@quest/ground/corellia_cb_3:task06_journal_entry_title	@quest/ground/corellia_cb_3:task06_journal_entry_description	1			0			cb_3_kill_bodyguards	0							1		1			0	tatooine	0.0	0.0	0.0					0			deflarian_bodyguard			4	0																																
quest.task.ground.destroy_multi	@quest/ground/corellia_cb_3:task07_journal_entry_title	@quest/ground/corellia_cb_3:task07_journal_entry_description	1			0			cb_3_leader	0							1		1			0	tatooine	0.0	0.0	0.0					0			deflarian_deflaros			1	0																																
quest.task.ground.retrieve_item	@quest/ground/corellia_cb_3:task08_journal_entry_title	@quest/ground/corellia_cb_3:task08_journal_entry_description	1			0			cb_3_weapons	0							1		1			0	tatooine	0.0	0.0	0.0					0																										object/tangible/quest/cb_3_weapon_container.iff	5	@quest/ground/corellia_cb_3:task08_item_name	100										
