ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MIN_TIME	MAX_TIME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	i	i	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i
quest.task.ground.comm_player	@quest/ground/npe_force_dark:task00_journal_entry_title	@quest/ground/npe_force_dark:task00_journal_entry_description	1			0	1			0	sound/music_themequest_fail_imperial.snd						1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/npe_force_dark:task00_comm_message_text	object/mobile/dressed_npe_force_trainer.iff																	
quest.task.ground.timer			0			0	2			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				3	3															
quest.task.ground.comm_player	@quest/ground/npe_force_dark:task02_journal_entry_title	@quest/ground/npe_force_dark:task02_journal_entry_description	1			0	3			0	sound/music_become_dark_jedi.snd						1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/npe_force_dark:task02_comm_message_text	object/mobile/dressed_imperial_inquisitor_human_male_01.iff																	
quest.task.ground.wait_for_signal	@quest/ground/npe_force_dark:task03_journal_entry_title	@quest/ground/npe_force_dark:task03_journal_entry_description	1			0	4			0							1		1			1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_force_dark:task03_waypoint_name	0	0.0	0.0	0.0						npe_elevator_main_up	0			0		0	0	0	0					
quest.task.ground.comm_player			0			0	5			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/npe_force_dark:task04_comm_message_text	object/mobile/dressed_imperial_inquisitor_human_male_01.iff																	
quest.task.ground.destroy_multi	@quest/ground/npe_force_dark:task05_journal_entry_title	@quest/ground/npe_force_dark:task05_journal_entry_description	1			0	6			0							1		1			1	dungeon1	-156	29	150	yavin4	greenhouse	@quest/ground/npe_force_dark:task05_waypoint_name	0	0.0	0.0	0.0															0		greenhouse_insect		10	0
quest.task.ground.destroy_multi	@quest/ground/npe_force_dark:task06_journal_entry_title	@quest/ground/npe_force_dark:task06_journal_entry_description	1			0	7			0							1		1			1	dungeon1	-162	28	62	yavin4	r29	@quest/ground/npe_force_dark:task06_waypoint_name	0	0.0	0.0	0.0															0	npe_greenhouse_insect_boss			1	0
quest.task.ground.comm_player	@quest/ground/npe_force_dark:task07_journal_entry_title	@quest/ground/npe_force_dark:task07_journal_entry_description	1			0	8			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/npe_force_dark:task07_comm_message_text	object/mobile/dressed_imperial_inquisitor_human_male_01.iff																	
quest.task.ground.wait_for_signal	@quest/ground/npe_force_dark:task08_journal_entry_title	@quest/ground/npe_force_dark:task08_journal_entry_description	1			0	9			0							1		1			1	dungeon1	-110	29	150	yavin4	elevator	@quest/ground/npe_force_dark:task08_waypoint_name	0	0.0	0.0	0.0						npe_elevator_atrium_down	0			0		0	0	0	0					
quest.task.ground.wait_for_signal	@quest/ground/npe_force_dark:task09_journal_entry_title	@quest/ground/npe_force_dark:task09_journal_entry_description	1			0	10			0							1		1			1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_force_dark:task09_waypoint_name	0	0.0	0.0	0.0						npe_elevator_main_down	0			0		0	0	0	0					
quest.task.ground.wait_for_signal	@quest/ground/npe_force_dark:task10_journal_entry_title	@quest/ground/npe_force_dark:task10_journal_entry_description	1			0	11		stormtrooper	0							1		1			1	dungeon1	-160	-29	116	yavin4	basementhall2	@quest/ground/npe_force_dark:task10_waypoint_name	0	0.0	0.0	0.0						npe_force_done_signal	0			0		0	0	0	0					
quest.task.ground.comm_player	@quest/ground/npe_force_dark:task11_journal_entry_title	@quest/ground/npe_force_dark:task11_journal_entry_description	1			0				0	sound/music_int_accepted_imperial.snd					quest/npe_job_pointer_han	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/npe_force_dark:task11_comm_message_text	object/mobile/dressed_imperial_inquisitor_human_male_01.iff																	
