ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	RADIUS	SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	MIN_TIME	MAX_TIME	CREATURE_TYPE	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	S	S	S	S	s	i	i	s	s	s	i	i	i	i	i	i	s	i	i	s	s
quest.task.ground.go_to_location	@quest/ground/c_newbie_melee_quest_2:task00_journal_entry_title	@quest/ground/c_newbie_melee_quest_2:task00_journal_entry_description	1			0	1,3		meetCourier	0							1		1	1	tatooine	3248	5	-4878	@quest/ground/c_newbie_melee_quest_2:task00_waypoint_name	10.0																																								
quest.task.ground.escort	@quest/ground/c_newbie_melee_quest_2:task01_journal_entry_title	@quest/ground/c_newbie_melee_quest_2:task01_journal_entry_description	1			0		2	escortTask	1							1		1	0	tatooine	3532	5	-4803			beginner_brawler_quest_client_2																																							
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0.0	0.0	0.0																																										
quest.task.ground.wait_for_signal			0			0	4,11		talkCourier1	0							1		1	0	tatooine	0.0	0.0	0.0				talkedCourier1	0			0		0	0	0																														
quest.task.ground.go_to_location			0			0	5		escort	0							1		1	1	tatooine	3532	5	-4803	@quest/ground/c_newbie_melee_quest_2:task04_waypoint_name	10.0																																								
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_2:task05_journal_entry_title	@quest/ground/c_newbie_melee_quest_2:task05_journal_entry_description	1			0	6		talkCourier2	1							1		1	0	tatooine	0.0	0.0	0.0				talkedCourier2	0			0		0	0	0																														
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_melee_quest_2:task06_journal_entry_title	@quest/ground/c_newbie_melee_quest_2:task06_journal_entry_description	1			0	7		doneMission2	0							1		1	0	tatooine	0.0	0.0	0.0				giveReward2	0			0		0	0	0																														
quest.task.ground.reward			0			0	8			0							1		1	0	tatooine	0.0	0.0	0.0													combat_meleespecialize_unarmed	300	Rebel	0	1000		1		1	0.1	0.1	0.1	0.1		1	0.1														
quest.task.ground.wait_for_signal			0			0	9		messageBox2	0							1		1	0	tatooine	0.0	0.0	0.0				forgetMessageBox	0			0		0	0	0																														
quest.task.ground.show_message_box			0			0	10			0							1		1	0	tatooine	0.0	0.0	0.0																													@quest/ground/c_newbie_melee_quest_2:task09_message_box_title	@quest/ground/c_newbie_melee_quest_2:task09_message_box_text		-1	-1	-1	-1							
quest.task.ground.complete_quest			0			0				1							1		1	0	tatooine	0.0	0.0	0.0																																										
quest.task.ground.timer			0			0	12			0							1		1	0	tatooine	0.0	0.0	0.0																																				20	40					
quest.task.ground.encounter			0			0	13			0							1		1	0	tatooine	0.0	0.0	0.0																			2																			desert_thug	10	30	0.0	0.0
quest.task.ground.timer			0			0	14			0							1		1	0	tatooine	0.0	0.0	0.0																																				45	120					
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0																			1																			roughneck_weak	10	30	0.0	0.0
