ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	i	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.destroy_multi	@quest/ground/npe_prof_marksman:task00_journal_entry_title	@quest/ground/npe_prof_marksman:task00_journal_entry_description	1			0	1		npe_prof_marksman_kill_dalyrakes	0							1		1	1	tatooine	0	0.0	0	@quest/ground/npe_prof_marksman:task00_waypoint_name	bio_engineered_dalyrake			5	0																															
quest.task.ground.show_message_box			0			0	2			0							1		1	0	tatooine	0.0	0.0	0.0							@quest/ground/npe_prof_marksman:task01_message_box_title	@quest/ground/npe_prof_marksman:task01_message_box_text		-1	-1	-1	-1																								
quest.task.ground.wait_for_signal	@quest/ground/npe_prof_marksman:task02_journal_entry_title	@quest/ground/npe_prof_marksman:task02_journal_entry_description	1			0	3			0							1		1	0	tatooine	0.0	0.0	0.0														start_task_2	0			0		0	0	0															
quest.task.ground.reward			1			0	4			0							1		1	0	tatooine	0.0	0.0	0.0					1																			0		0	100			1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.destroy_multi	@quest/ground/npe_prof_marksman:task04_journal_entry_title	@quest/ground/npe_prof_marksman:task04_journal_entry_description	1			0	5		npe_prof_marksman_kill_droids	0							1		1	1	tatooine	0	0.0	0	@quest/ground/npe_prof_marksman:task04_waypoint_name	ra7_bug_droid			10	0																															
quest.task.ground.wait_for_signal	@quest/ground/npe_prof_marksman:task05_journal_entry_title	@quest/ground/npe_prof_marksman:task05_journal_entry_description	1			0	6			0							1		1	0	tatooine	0.0	0.0	0.0														start_task_3	0			0		0	0	0															
quest.task.ground.reward			1			0	7			0							1		1	0	tatooine	0.0	0.0	0.0					1																			0		0	100			1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.destroy_multi	@quest/ground/npe_prof_marksman:task07_journal_entry_title	@quest/ground/npe_prof_marksman:task07_journal_entry_description	1			0	8		npe_prof_marksman_kill_smugglers	0							1		1	1	tatooine	0	0.0	0	@quest/ground/npe_prof_marksman:task07_waypoint_name	roughneck			10	0																															
quest.task.ground.wait_for_signal	@quest/ground/npe_prof_marksman:task08_journal_entry_title	@quest/ground/npe_prof_marksman:task08_journal_entry_description	1			0	9,10,11			0							1		1	0	tatooine	0.0	0.0	0.0														marksman_weapons_reward	0			0		0	0	0															
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0					1																			0		0	0		object\weapon\ranged\pistol\pistol_d18	1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0					1																			0		0	0		object\weapon\ranged\rifle\rifle_e11	1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0					1																			0		0	0		object\weapon\ranged\carbine\carbine_e11	1	0.1	0.1	0.1	0.1		1	0.1
