ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	s	s	s	i	i	i	i	s	s	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task00_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task00_journal_entry_description	1			0	1		the_meeting_1	1							1		1			1	corellia	-358.700012207031	28	-4444			@quest/ground/corellia_coronet_capitol_problems_the_meeting:task00_waypoint_name	the_meeting_1	0			0		0	0	0	0																																				
quest.task.ground.go_to_location	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task01_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task01_journal_entry_description	1			0	2,7,8		the_meeting_2	1							1		1			1	corellia	-697.200012207031	3.40000009536743	-4182.5			@quest/ground/corellia_coronet_capitol_problems_the_meeting:task01_waypoint_name										0	50																																			
quest.task.ground.wait_for_tasks	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task02_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task02_journal_entry_description	1			0	3		the_meeting_3	1							1		1			1	corellia	-697.200012207031	3.40000009536743	-4182.5			@quest/ground/corellia_coronet_capitol_problems_the_meeting:task02_waypoint_name										0		quest/corellia_coronet_capitol_problems_the_meeting	the_meeting_3a	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task02_task_display_string_1	quest/corellia_coronet_capitol_problems_the_meeting	the_meeting_3b	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task02_task_display_string_2																													
quest.task.ground.retrieve_item	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task03_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task03_journal_entry_description	1			0	4		the_meeting_4	1							1		1			1	corellia	-697.200012207031	3.40000009536743	-4182.5			@quest/ground/corellia_coronet_capitol_problems_the_meeting:task03_waypoint_name										0																				object/tangible/quest/corellia_coronet_the_meeting_data_terminal.iff	1	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task03_item_name	100	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task03_retrieve_menu_text												
quest.task.ground.show_message_box	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task04_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task04_journal_entry_description	1			0	5		the_meeting_5	0							1		1			0	tatooine	0.0	0.0	0.0																																						@quest/ground/corellia_coronet_capitol_problems_the_meeting:task04_message_box_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task04_message_box_text		-1	-1	-1	-1					
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task05_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task05_journal_entry_description	1			0	6		the_meeting_6	1							1		1			1	corellia	-69.0999984741211	28	-4634.10009765625			@quest/ground/corellia_coronet_capitol_problems_the_meeting:task05_waypoint_name	the_meeting_6	0			0		0	0	0	0																																				
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																																																	
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task07_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task07_journal_entry_description	1			0			the_meeting_3b	1							1		1			0	tatooine	0.0	0.0	0.0													0																																	ragtag_gang		6	0
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task08_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_the_meeting:task08_journal_entry_description	1			0			the_meeting_3a	1							1		1			0	tatooine	0.0	0.0	0.0													0																																	corsec_rogue		6	0
