ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	i	i	s	i	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_05:task00_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task00_journal_entry_description	1			0	1		corsec_files_05_01	1				0	none	none				1		1			1	corellia	-3073	31	2995			@quest/ground/corellia_38_corsec_files_05:task00_waypoint_name	0	-3073	31	2995	@quest/ground/corellia_38_corsec_files_05:task00_entrance_waypoint_name	object/tangible/quest/corellia/corellia_38_hershel_blaster.iff	1	@quest/ground/corellia_38_corsec_files_05:task00_item_name	100	0	0	0	@quest/ground/corellia_38_corsec_files_05:task00_retrieve_menu_text	0																																										
quest.task.ground.show_message_box	@quest/ground/corellia_38_corsec_files_05:task01_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task01_journal_entry_description	1			0	2		corsec_files_05_01a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/corellia_38_corsec_files_05:task01_message_box_title	@quest/ground/corellia_38_corsec_files_05:task01_message_box_text		-1	-1	-1	-1																																			
quest.task.ground.retrieve_item	@quest/ground/corellia_38_corsec_files_05:task02_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task02_journal_entry_description	1			0	3		corsec_files_05_02	1				0	none	none				1		1			1	corellia	-3623	86	3127			@quest/ground/corellia_38_corsec_files_05:task02_waypoint_name	0	-3623	86	3127	@quest/ground/corellia_38_corsec_files_05:task02_entrance_waypoint_name	object/tangible/quest/corellia/corellia_38_mayor_package.iff	1	@quest/ground/corellia_38_corsec_files_05:task02_item_name	100	0	0	0	@quest/ground/corellia_38_corsec_files_05:task02_retrieve_menu_text	0																																										
quest.task.ground.show_message_box	@quest/ground/corellia_38_corsec_files_05:task03_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task03_journal_entry_description	1			0	4		corsec_files_05_02	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/corellia_38_corsec_files_05:task03_message_box_title	@quest/ground/corellia_38_corsec_files_05:task03_message_box_text		-1	-1	-1	-1																																			
quest.task.ground.wait_for_signal	@quest/ground/corellia_38_corsec_files_05:task04_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task04_journal_entry_description	1			0	5		corsec_files_05_03	1				0	none	none				1		1			1	corellia	-3102	31	2800			@quest/ground/corellia_38_corsec_files_05:task04_waypoint_name	0	0.0	0.0	0.0										0								corsec_files_05_03	0			0		0	0	0																										
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_38_corsec_files_05:task05_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task05_journal_entry_description	1			0	6,12,13		corsec_files_05_05	1				0	none	none				1		1			1	corellia	-2237	16	3303			@quest/ground/corellia_38_corsec_files_05:task05_waypoint_name	0	-2237	-2237	-2237	@quest/ground/corellia_38_corsec_files_05:task05_entrance_waypoint_name					0	0			0																	corellia_ryll_ubis_reendorr			You found a keycard with a single red circle on it and computer access codes..	1	100	0																			
quest.task.ground.wait_for_tasks	@quest/ground/corellia_38_corsec_files_05:task06_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task06_journal_entry_description	1			0	7,8,9,10		corsec_files_05_06	1				0	none	none				1		1			1	corellia	-2274	24	2682			@quest/ground/corellia_38_corsec_files_05:task06_waypoint_name	0	0.0	0.0	0.0										0																								quest/corellia_38_corsec_files_05	corsec_files_05_06aa	@quest/ground/corellia_38_corsec_files_05:task06_task_display_string_1	quest/corellia_38_corsec_files_05	corsec_files_05_06b	@quest/ground/corellia_38_corsec_files_05:task06_task_display_string_2													
quest.task.ground.destroy_multi	@quest/ground/corellia_38_corsec_files_05:task07_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task07_journal_entry_description	1			0			corsec_files_05_07c	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										0																	corellia_chirq_vora_anjek						0																			1
quest.task.ground.destroy_multi	@quest/ground/corellia_38_corsec_files_05:task08_journal_entry_title	@quest/ground/corellia_38_corsec_files_05:task08_journal_entry_description	1			0			corsec_files_05_07b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										0																	corellia_chirq_vella_corse						0																			1
