ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	s	i	i	i	i	s	s	s	b	s	s	s	s	f	f	f	i	i
quest.task.ground.nothing			0			0	1,7,8			0							1		1			0	tatooine	0.0	0.0	0.0																								
quest.task.ground.destroy_multi_and_loot	@quest/ground/newbie_scout_pt4:task01_journal_entry_title	@quest/ground/newbie_scout_pt4:task01_journal_entry_description	1			0	2,5		newbie_scout_e41	0							1		1	worrtBonesDone		0	tatooine	0.0	0.0	0.0					worrt		Intact Bones	5	75	0	0													
quest.task.ground.comm_player			0			0	3		newbie_scout_e42	0							1		1			0	tatooine	0.0	0.0	0.0												@quest/ground/newbie_scout_pt4:task02_comm_message_text	object/mobile/dressed_entha_kandela.iff											
quest.task.ground.wait_for_signal	@quest/ground/newbie_scout_pt4:task03_journal_entry_title	@quest/ground/newbie_scout_pt4:task03_journal_entry_description	1			0	4		newbie_scout_e43	0							1		1			1	tatooine	3511	0.0	-4785			@quest/ground/newbie_scout_pt4:task03_waypoint_name								0			newbie_scout_launch_e44	0			0		0	0	0		
quest.task.ground.complete_quest			1			0			newbie_scout_e44	0							1		1			0	tatooine	0.0	0.0	0.0																								
quest.task.ground.timer	@quest/ground/newbie_scout_pt4:task05_journal_entry_title	@quest/ground/newbie_scout_pt4:task05_journal_entry_description	1			0	6			0							1		1			0	tatooine	0.0	0.0	0.0																							20	23
quest.task.ground.comm_player			0			0				0							1		1			0	tatooine	0.0	0.0	0.0												@quest/ground/newbie_scout_pt4:task06_comm_message_text	object/mobile/bib_fortuna.iff											
quest.task.ground.wait_for_signal	@quest/ground/newbie_scout_pt4:task07_journal_entry_title	@quest/ground/newbie_scout_pt4:task07_journal_entry_description	1			0			location2	0							1		1			1	tatooine	3115	0.0	-4758			@quest/ground/newbie_scout_pt4:task07_waypoint_name								0			worrtBonesDone	0			0		0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/newbie_scout_pt4:task08_journal_entry_title	@quest/ground/newbie_scout_pt4:task08_journal_entry_description	1			0			location1	0							1		1			1	tatooine	3153	0.0	-4945			@quest/ground/newbie_scout_pt4:task08_waypoint_name								0			worrtBonesDone	0			0		0	0	0		
