ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	RADIUS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	PERFORM_DURATION	PERFORM_BUILDING	PERFORM_TYPE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	i	s	i	i	s	i	s	i	S	S	S	S	s	i	i	s	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f	i	s	i
quest.task.ground.reward	@quest/ground/c_newbie_quest3:task00_journal_entry_title	@quest/ground/c_newbie_quest3:task00_journal_entry_description	1			0	1		q2reward	1							1		1	0	tatooine	0.0	0.0	0.0			0	Rebel	0	1000		1		1	0.1	0.1	0.1	0.1		1	0.1																				
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest3:task01_journal_entry_title	@quest/ground/c_newbie_quest3:task01_journal_entry_description	1			0	2		professionstep	1							1		1	1	tatooine	3508	5	-4786	@quest/ground/c_newbie_quest3:task01_waypoint_name																	20																			
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest3:task02_journal_entry_title	@quest/ground/c_newbie_quest3:task02_journal_entry_description	1			0	3		professionbox1	1							1		1	0	tatooine	0.0	0.0	0.0																			@quest/ground/c_newbie_quest3:task02_message_box_title	@quest/ground/c_newbie_quest3:task02_message_box_text		-1	-1	-1	-1												
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest3:task03_journal_entry_title	@quest/ground/c_newbie_quest3:task03_journal_entry_description	1			0	4		professionbox2	1							1		1	0	tatooine	0.0	0.0	0.0																			@quest/ground/c_newbie_quest3:task03_message_box_title	@quest/ground/c_newbie_quest3:task03_message_box_text		-1	-1	-1	-1												
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest3:task04_journal_entry_title	@quest/ground/c_newbie_quest3:task04_journal_entry_description	1			0	5		professionbox3	1							1		1	0	tatooine	0.0	0.0	0.0																			@quest/ground/c_newbie_quest3:task04_message_box_title	@quest/ground/c_newbie_quest3:task04_message_box_text		-1	-1	-1	-1												
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest3:task05_journal_entry_title	@quest/ground/c_newbie_quest3:task05_journal_entry_description	1			0	6		professionreturn	1							1		1	1	tatooine	3484	0.0	-4808	@quest/ground/c_newbie_quest3:task05_waypoint_name																									c_newbie_professionreturn	0			0		0	0	0			
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest3:task06_journal_entry_title	@quest/ground/c_newbie_quest3:task06_journal_entry_description	1			0	7,8		cantinastep	1							1		1	1	tatooine	3468	5	-4853	@quest/ground/c_newbie_quest3:task06_waypoint_name																									c_newbie_cantinastep	0			0		0	0	0			
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest3:task07_journal_entry_title	@quest/ground/c_newbie_quest3:task07_journal_entry_description	1			0			cantinabox1	0							1		1	0	tatooine	0.0	0.0	0.0																			@quest/ground/c_newbie_quest3:task07_message_box_title	@quest/ground/c_newbie_quest3:task07_message_box_text		-1	-1	-1	-1												
quest.task.ground.perform	@quest/ground/c_newbie_quest3:task08_journal_entry_title	@quest/ground/c_newbie_quest3:task08_journal_entry_description	1			0	9		cantinaperform	1							1		1	1	tatooine	3468	0.0	-4853	@quest/ground/c_newbie_quest3:task08_waypoint_name																																		120	1082874	0
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest3:task09_journal_entry_title	@quest/ground/c_newbie_quest3:task09_journal_entry_description	1			0	10		cantinareturn	1							1		1	1	tatooine	3484	5	-4808	@quest/ground/c_newbie_quest3:task09_waypoint_name																									c_newbie_cantinareturn	0			0		0	0	0			
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest3:task10_journal_entry_title	@quest/ground/c_newbie_quest3:task10_journal_entry_description	1			0	11		medcenterstep	1							1		1	1	tatooine	3515	0	-4772	@quest/ground/c_newbie_quest3:task10_waypoint_name																									c_newbie_medcenterstep	0			0		0	0	0			
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest3:task11_journal_entry_title	@quest/ground/c_newbie_quest3:task11_journal_entry_description	1			0	12		medbox1	1							1		1	0	tatooine	0.0	0.0	0.0																			@quest/ground/c_newbie_quest3:task11_message_box_title	@quest/ground/c_newbie_quest3:task11_message_box_text		-1	-1	-1	-1												
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest3:task12_journal_entry_title	@quest/ground/c_newbie_quest3:task12_journal_entry_description	1			0	13		medcenterreturn	1							1		1	1	tatooine	3484	0.0	-4808	@quest/ground/c_newbie_quest3:task12_waypoint_name																									c_newbie_medcenterreturn	0			0		0	0	0			
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest3:task13_journal_entry_title	@quest/ground/c_newbie_quest3:task13_journal_entry_description	1			0	14		junkstep	1							1		1	1	tatooine	3356	0.0	-4823	@quest/ground/c_newbie_quest3:task13_waypoint_name																	10.0																			
