ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	MIN_TIME	MAX_TIME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	i	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task00_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task00_journal_entry_description	1			0	1,3,6,9			1				0	none	none				1		1			0	kashyyyk_main	-676	18	-125				0	0.0	0.0	0.0		5	0																																			
quest.task.ground.encounter			0			0		2	encounter1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	rebel_commando	3	0	0	8	-13																													
quest.task.ground.clear_quest			0			0				0	sound/music_themequest_fail_imperial.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																						
quest.task.ground.timer			0			0	4			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										50	80																											
quest.task.ground.encounter			0			0		5	encounter2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	ep3_npc_wookiee_freedom_fighters	3	8	15	0	0																													
quest.task.ground.clear_quest			0			0				0	sound/music_themequest_fail_imperial.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																						
quest.task.ground.timer			0			0	7			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										50	80																											
quest.task.ground.encounter			0			0		8	encounter3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0	rebel_trooper	3	8	15	0	0																													
quest.task.ground.clear_quest			0			0				0	sound/music_themequest_fail_imperial.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																						
quest.task.ground.wait_for_tasks	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task09_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task09_journal_entry_description	1			0	10			1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0									quest/ep3_clone_relics_jedi_starfighter_2	encounter1	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task09_task_display_string_1	quest/ep3_clone_relics_jedi_starfighter_2	encounter2	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task09_task_display_string_2	quest/ep3_clone_relics_jedi_starfighter_2	encounter3	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task09_task_display_string_3																		
quest.task.ground.wait_for_signal	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task10_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_2:task10_journal_entry_description	1			0	11		attackDefeated	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																											talkedToKrieg	0			0		0	0	0
quest.task.ground.complete_quest			0			0				0	sound/music_themequest_victory_imperial.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																						
