ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	s	s	s	i	s	i	s	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_associates:task00_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task00_journal_entry_description	1			0	1		theed_meanwhile_associates_01	1							1		1			1	naboo	-5740	13.1000003814697	3715.89990234375			@quest/ground/naboo_theed_meanwhile_associates:task00_waypoint_name	0	0.0	0.0	0.0			peddler		12	0	0																							
quest.task.ground.comm_player	@quest/ground/naboo_theed_meanwhile_associates:task01_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task01_journal_entry_description	0			0	2		theed_meanwhile_associates_01b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/naboo_theed_meanwhile_associates:task01_comm_message_text	object/mobile/naboo_lt_khartoor.iff																					
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_meanwhile_associates:task02_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task02_journal_entry_description	1			0	3		theed_meanwhile_associates_02	1							1		1			1	naboo	-5824	6	4281			@quest/ground/naboo_theed_meanwhile_associates:task02_waypoint_name	0	0.0	0.0	0.0							0			object/tangible/quest/naboo_theed_stash_peddler_goods.iff	6	@quest/ground/naboo_theed_meanwhile_associates:task02_item_name	100	@quest/ground/naboo_theed_meanwhile_associates:task02_retrieve_menu_text																
quest.task.ground.comm_player	@quest/ground/naboo_theed_meanwhile_associates:task03_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task03_journal_entry_description	1			0	4		theed_meanwhile_associates_02b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/naboo_theed_meanwhile_associates:task03_comm_message_text	object/mobile/naboo_lt_khartoor.iff																					
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_meanwhile_associates:task04_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task04_journal_entry_description	1			0	5		theed_meanwhile_associates_03	1							1		1			1	naboo	-5960.89990234375	6	4155.89990234375			@quest/ground/naboo_theed_meanwhile_associates:task04_waypoint_name	0	0.0	0.0	0.0							0			object/tangible/quest/naboo_theed_fenrol_ledger.iff	1	@quest/ground/naboo_theed_meanwhile_associates:task04_item_name	100	@quest/ground/naboo_theed_meanwhile_associates:task04_retrieve_menu_text																
quest.task.ground.show_message_box	@quest/ground/naboo_theed_meanwhile_associates:task05_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task05_journal_entry_description	1			0	6		theed_meanwhile_associates_03b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0															@quest/ground/naboo_theed_meanwhile_associates:task05_message_box_title	@quest/ground/naboo_theed_meanwhile_associates:task05_message_box_text		-1	-1	-1	-1									
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_meanwhile_associates:task06_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task06_journal_entry_description	1			0	7		theed_meanwhile_associates_04	1							1		1			1	naboo	-4186.2001953125	44.9000015258789	3877.69995117188			@quest/ground/naboo_theed_meanwhile_associates:task06_waypoint_name	0	0.0	0.0	0.0		naboo_borvo_derm_worrit			1	0	0																							
quest.task.ground.comm_player	@quest/ground/naboo_theed_meanwhile_associates:task07_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task07_journal_entry_description	1			0	8		theed_meanwhile_associates_04b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/naboo_theed_meanwhile_associates:task07_comm_message_text	object/mobile/dressed_borvos_champion.iff																					
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_meanwhile_associates:task08_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task08_journal_entry_description	1			0	9		theed_meanwhile_associates_05	1							1		1			1	naboo	-5154.2998046875	6	4293.60009765625			@quest/ground/naboo_theed_meanwhile_associates:task08_waypoint_name	0	0.0	0.0	0.0							0			object/tangible/quest/naboo_theed_case_corellian_ale.iff	1	@quest/ground/naboo_theed_meanwhile_associates:task08_item_name	100	@quest/ground/naboo_theed_meanwhile_associates:task08_retrieve_menu_text																
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_meanwhile_associates:task09_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task09_journal_entry_description	1			0	10		theed_meanwhile_associates_06	1							1		1			1	naboo	-5112.5	4.69999980926514	4597.10009765625			@quest/ground/naboo_theed_meanwhile_associates:task09_waypoint_name	0	0.0	0.0	0.0							0															theed_meanwhile_associates_06	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/naboo_theed_meanwhile_associates:task10_journal_entry_title	@quest/ground/naboo_theed_meanwhile_associates:task10_journal_entry_description	1			0			theed_meanwhile_associates_07	1							1		1			1	naboo	-4887.7001953125	6	4187.60009765625			@quest/ground/naboo_theed_meanwhile_associates:task10_waypoint_name	0	0.0	0.0	0.0							0															theed_meanwhile_associates_07	0			0		0	0	0
