ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt:task00_journal_entry_title	@quest/ground/jabba_the_hutt:task00_journal_entry_description	1			0	1		killDelriceCapreese	0							1		1			1	tatooine	-4331	0.0	-5027			@quest/ground/jabba_the_hutt:task00_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_delrice_capreese			1	0	0											
quest.task.ground.comm_player			0			0	2			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt:task01_comm_message_text	object/mobile/jabba_the_hutt.iff									
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt:task02_journal_entry_title	@quest/ground/jabba_the_hutt:task02_journal_entry_description	1			0	3		killTyrok	0							1		1			1	tatooine	-4932	0.0	-5542			@quest/ground/jabba_the_hutt:task02_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_tyrok			1	0	0											
quest.task.ground.comm_player			0			0	4			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt:task03_comm_message_text	object/mobile/jabba_the_hutt.iff									
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt:task04_journal_entry_title	@quest/ground/jabba_the_hutt:task04_journal_entry_description	1			0	5		killArkahnGreystar	0							1		1			1	tatooine	-7188	0.0	-2403			@quest/ground/jabba_the_hutt:task04_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_arkahn_greystar			1	0	0											
quest.task.ground.comm_player			0			0	6			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt:task05_comm_message_text	object/mobile/jabba_the_hutt.iff									
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt:task06_journal_entry_title	@quest/ground/jabba_the_hutt:task06_journal_entry_description	1			0	7		killIrisTanandaSinclair	0							1		1			1	tatooine	-5791	0.0	-568			@quest/ground/jabba_the_hutt:task06_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_iris_sinclair			1	0	0											
quest.task.ground.comm_player			0			0	8			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt:task07_comm_message_text	object/mobile/jabba_the_hutt.iff									
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt:task08_journal_entry_title	@quest/ground/jabba_the_hutt:task08_journal_entry_description	1			0	9		killFnastDrexler	0							1		1			1	tatooine	-1630	0.0	-5582			@quest/ground/jabba_the_hutt:task08_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_fnast_drexler			1	0	0											
quest.task.ground.comm_player			0			0	10			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt:task09_comm_message_text	object/mobile/jabba_the_hutt.iff									
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt:task10_journal_entry_title	@quest/ground/jabba_the_hutt:task10_journal_entry_description	1			0	11		killCareem	0							1		1			1	tatooine	-530	8	-5686			@quest/ground/jabba_the_hutt:task10_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_careem			1	0	0											
quest.task.ground.comm_player			0			0	12			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								@quest/ground/jabba_the_hutt:task11_comm_message_text	object/mobile/jabba_the_hutt.iff									
quest.task.ground.destroy_multi	@quest/ground/jabba_the_hutt:task12_journal_entry_title	@quest/ground/jabba_the_hutt:task12_journal_entry_description	1			0	13		killEmanon	0							1		1			1	tatooine	-3031	0.0	-5116			@quest/ground/jabba_the_hutt:task12_waypoint_name	0	0.0	0.0	0.0		jabbas_palace_emanon			1	0	0											
