ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	i	s	i	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i	s	s
quest.task.ground.destroy_multi	@quest/ground/yavin_fallenstar_pt_2:task00_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task00_journal_entry_description	1			0	1		yavin_fallenStar_e11_killgraverobbers	0							1		1	1	yavin4	1980	0.0	-5310	@quest/ground/yavin_fallenstar_pt_2:task00_waypoint_name				1	0																													
quest.task.ground.destroy_multi_and_loot	@quest/ground/yavin_fallenstar_pt_2:task01_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task01_journal_entry_description	1			0	2		yavin_fallenStar_e10_killSmugglers	1							1		1	1	yavin4	4010	0.0	-2850	@quest/ground/yavin_fallenstar_pt_2:task01_waypoint_name	imperial_major				0	Spice container for Wuioe Opca	1	20																										
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt_2:task02_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task02_journal_entry_description	1			0	3		yavin_fallenStar_e12_warnOpca	0							1		1	1	yavin4	-6925	0.0	-5707	@quest/ground/yavin_fallenstar_pt_2:task02_waypoint_name									yavin_fallenStar_launch_e13	0			0		0	0	0																	
quest.task.ground.reward	@quest/ground/yavin_fallenstar_pt_2:task03_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task03_journal_entry_description	0			0	4		yavin_fallenStart_e13_opcaReward	0							1		1	0	tatooine	0.0	0.0	0.0					1															0	jabba	200	500			1	0.1	0.1	0.1	0.1		1	0.1		
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt_2:task04_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task04_journal_entry_description	1			0	5		yavin_fallenStar_e14_interceptships	1							1		1	0	tatooine	0.0	0.0	0.0										yavin_fallenStar_launch_e18	0			0		0	0	0																	
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt_2:task05_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task05_journal_entry_description	1			0	6,10		yavin_fallenStar_e18_talkwOsae	0							1		1	1	yavin4	-300	0.0	4900										yavin_fallenStar_launch_e19	0			0		0	0	0																	
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt_2:task06_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task06_journal_entry_description	0			0	7		yavin_fallenStar_e21_rebelReward	0							1		1	0	tatooine	0.0	0.0	0.0										yavin_fallenStar_lanuch_e24	0			0		0	0	0																	
quest.task.ground.reward	@quest/ground/yavin_fallenstar_pt_2:task07_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task07_journal_entry_description	0			0	8		yavin_fallenStar_e25	0							1		1	0	tatooine	0.0	0.0	0.0					1															0	jabba	1500	500			1	0.1	0.1	0.1	0.1		1	0.1		
quest.task.ground.comm_player	@quest/ground/yavin_fallenstar_pt_2:task08_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task08_journal_entry_description	1			0	9		yavin_fallenStar_e25_dodannaMessage	0							1		1	0	tatooine	0.0	0.0	0.0																																		@quest/ground/yavin_fallenstar_pt_2:task08_comm_message_text	dressed_jan_dodonna.iff
quest.task.ground.complete_quest			1			0				0							1		1	0	tatooine	0.0	0.0	0.0																																			
quest.task.ground.wait_for_signal	@quest/ground/yavin_fallenstar_pt_2:task10_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task10_journal_entry_description	0			0	11		yavin_fallenStar_e20_imperialReward	0							1		1	0	tatooine	0.0	0.0	0.0										yavin_fallenStar_launch_e22	0			0		0	0	0																	
quest.task.ground.reward	@quest/ground/yavin_fallenstar_pt_2:task11_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task11_journal_entry_description	0			0	12		yavin_fallenStar_e22	0							1		1	0	tatooine	0.0	0.0	0.0					1															0	jabba	1500	500			1	0.1	0.1	0.1	0.1		1	0.1		
quest.task.ground.comm_player	@quest/ground/yavin_fallenstar_pt_2:task12_journal_entry_title	@quest/ground/yavin_fallenstar_pt_2:task12_journal_entry_description	1			0	13		yavin_fallenStar_e23_Brynemessage	0							1		1	0	tatooine	0.0	0.0	0.0																																		@quest/ground/yavin_fallenstar_pt_2:task12_comm_message_text	dressed_lian_byrne.iff
quest.task.ground.complete_quest			1			0				0							1		1	0	tatooine	0.0	0.0	0.0																																			
