ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	MIN_TIME	MAX_TIME	CREATURE_TYPE	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	s	s	i	i	i	i	s	i	s	i	s	s	b	s	s	s	s	f	f	f	s	s	s	s	i	i	i	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	i	i	s	i	i	s	s
quest.task.ground.nothing			0			0	1,3			0	sound/mus_mustafar_quest_exception.snd						1		1	0	tatooine	0.0	0.0	0.0																																																											
quest.task.ground.go_to_location	@quest/ground/som_kenobi_serpent_shard_1:task01_journal_entry_title	@quest/ground/som_kenobi_serpent_shard_1:task01_journal_entry_description	1			0	2			1							1		1	0	mustafar	-4400	83	3300				200	0																																																						
quest.task.ground.show_message_box	@quest/ground/som_kenobi_serpent_shard_1:task02_journal_entry_title	@quest/ground/som_kenobi_serpent_shard_1:task02_journal_entry_description	1			0				0							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/som_kenobi_serpent_shard_1:task02_message_box_title	@quest/ground/som_kenobi_serpent_shard_1:task02_message_box_text		-1	-1	-1	-1																																															
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_serpent_shard_1:task03_journal_entry_title	@quest/ground/som_kenobi_serpent_shard_1:task03_journal_entry_description	0			0	4,12,14			1							1		1	0	tatooine	0.0	0.0	0.0					0								object/tangible/quest/som_kenobi_sith_altar.iff	1	@quest/ground/som_kenobi_serpent_shard_1:task03_item_name	100	@quest/ground/som_kenobi_serpent_shard_1:task03_retrieve_menu_text																																										
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_serpent_shard_1:task04_journal_entry_title	@quest/ground/som_kenobi_serpent_shard_1:task04_journal_entry_description	1			0	5		talkThief	1							1		1	0	tatooine	0.0	0.0	0.0					0													talkedThief	0			0		0	0	0																																	
quest.task.ground.destroy_multi_and_loot			0			0	6			1							1		1	0	tatooine	0.0	0.0	0.0					0																						som_kenobi_serpent_thief			Serpent shard	1	100	0																										
quest.task.ground.show_message_box			0			0	7			0							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/som_kenobi_serpent_shard_1:task06_message_box_title	@quest/ground/som_kenobi_serpent_shard_1:task06_message_box_text		-1	-1	-1	-1																																															
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_serpent_shard_1:task07_journal_entry_title	@quest/ground/som_kenobi_serpent_shard_1:task07_journal_entry_description	1			0	8			1							1		1	0	tatooine	0.0	0.0	0.0					0								object/tangible/quest/som_kenobi_sith_altar.iff	1	@quest/ground/som_kenobi_serpent_shard_1:task07_item_name	100	@quest/ground/som_kenobi_serpent_shard_1:task07_retrieve_menu_text																																										
quest.task.ground.show_message_box			0			0	9			0							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/som_kenobi_serpent_shard_1:task08_message_box_title	@quest/ground/som_kenobi_serpent_shard_1:task08_message_box_text		-1	-1	-1	-1																																															
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_serpent_shard_1:task09_journal_entry_title	@quest/ground/som_kenobi_serpent_shard_1:task09_journal_entry_description	1			0	10		gotShard	1							1		1	0	tatooine	0.0	0.0	0.0					0													givenShard	0			0		0	0	0																																	
quest.task.ground.reward			0			0	11		reward	1							1		1	0	tatooine	0.0	0.0	0.0																																			0	Rebel	0	20000	item_tow_buff_crystal_02_03	1		1		1	0.1	0.1	0.1	0.1		1	0.1								
quest.task.ground.complete_quest			0			0				1		sound/mus_mustafar_quest_success.snd					1		1	0	tatooine	0.0	0.0	0.0																																																											
quest.task.ground.timer			0			0	13			0							1		1	0	tatooine	0.0	0.0	0.0																																																					10	20					
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0					0																																					1													som_kenobi_serpent_thief	15	20	0.0	0.0
quest.task.ground.show_message_box			0			0				0							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/som_kenobi_serpent_shard_1:task14_message_box_title	@quest/ground/som_kenobi_serpent_shard_1:task14_message_box_text		-1	-1	-1	-1																																															
