ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	RADIUS	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f	s	s	s	s	i	i	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest2:task00_journal_entry_title	@quest/ground/c_newbie_quest2:task00_journal_entry_description	1			0	1		healingbox1	1							1		1	0	tatooine	0.0	0.0	0.0		@quest/ground/c_newbie_quest2:task00_message_box_title	@quest/ground/c_newbie_quest2:task00_message_box_text		-1	-1	-1	-1																														
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest2:task01_journal_entry_title	@quest/ground/c_newbie_quest2:task01_journal_entry_description	1			0	2,13		healinglearned	1							1		1	1	tatooine	3484	0.0	-4808	@quest/ground/c_newbie_quest2:task01_waypoint_name								c_newbie_healinglearned	0			0		0	0	0																					
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest2:task02_journal_entry_title	@quest/ground/c_newbie_quest2:task02_journal_entry_description	1			0	3		killstep	1							1		1	1	tatooine	4047	0.0	-4779	@quest/ground/c_newbie_quest2:task02_waypoint_name																	120																				
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest2:task03_journal_entry_title	@quest/ground/c_newbie_quest2:task03_journal_entry_description	1			0	4		combatbox1	1							1		1	0	tatooine	0.0	0.0	0.0		@quest/ground/c_newbie_quest2:task03_message_box_title	@quest/ground/c_newbie_quest2:task03_message_box_text		-1	-1	-1	-1																														
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest2:task04_journal_entry_title	@quest/ground/c_newbie_quest2:task04_journal_entry_description	1			0	5		combatbox2	1							1		1	0	tatooine	0.0	0.0	0.0		@quest/ground/c_newbie_quest2:task04_message_box_title	@quest/ground/c_newbie_quest2:task04_message_box_text		-1	-1	-1	-1																														
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest2:task05_journal_entry_title	@quest/ground/c_newbie_quest2:task05_journal_entry_description	1			0	6		combatbox3	1							1		1	0	tatooine	0.0	0.0	0.0		@quest/ground/c_newbie_quest2:task05_message_box_title	@quest/ground/c_newbie_quest2:task05_message_box_text		-1	-1	-1	-1																														
quest.task.ground.destroy_multi	@quest/ground/c_newbie_quest2:task06_journal_entry_title	@quest/ground/c_newbie_quest2:task06_journal_entry_description	1			0	7		kill	1							1		1	1	tatooine	4047	0.0	-4779	@quest/ground/c_newbie_quest2:task06_waypoint_name																		tusken_raider_zealot			10	0															
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest2:task07_journal_entry_title	@quest/ground/c_newbie_quest2:task07_journal_entry_description	1			0	8		killreturn	1							1		1	1	tatooine	3484	5	-4808	@quest/ground/c_newbie_quest2:task07_waypoint_name								c_newbie_killreturn	0			0		0	0	0																					
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest2:task08_journal_entry_title	@quest/ground/c_newbie_quest2:task08_journal_entry_description	1			0	9		harveststep1	1							1		1	1	tatooine	3325	0.0	-5224	@quest/ground/c_newbie_quest2:task08_waypoint_name																	30																				
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest2:task09_journal_entry_title	@quest/ground/c_newbie_quest2:task09_journal_entry_description	1			0	10		harveststep2	1							1		1	0	tatooine	0.0	0.0	0.0		@quest/ground/c_newbie_quest2:task09_message_box_title	@quest/ground/c_newbie_quest2:task09_message_box_text		-1	-1	-1	-1																														
quest.task.ground.destroy_multi	@quest/ground/c_newbie_quest2:task10_journal_entry_title	@quest/ground/c_newbie_quest2:task10_journal_entry_description	1			0	11		harveststep3	1							1		1	1	tatooine	3325	0.0	-5224	@quest/ground/c_newbie_quest2:task10_waypoint_name																		dwarf_nuna			10	0															
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest2:task11_journal_entry_title	@quest/ground/c_newbie_quest2:task11_journal_entry_description	1			0	12		harvestreturn	1							1		1	1	tatooine	3484	5	-4808	@quest/ground/c_newbie_quest2:task11_waypoint_name								c_newbie_harvestreturn	0			0		0	0	0																					
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0																						1			0	Rebel	0	0			1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.reward			0			0				0							1		1	0	tatooine	0.0	0.0	0.0																						1			0	Rebel	0	0			1	0.1	0.1	0.1	0.1		1	0.1
