ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	i	i	i	i	s	s	s	b	s	s	s	s	f	f	f	s	s	s	i	i	s	i	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	s	i	s	i	s
quest.task.ground.go_to_location	@quest/ground/legacy_button_jawatracks_pt3:task00_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt3:task00_journal_entry_description	1			0	1		legacy_button_jawatracks_e20	1							1		1			1	tatooine	-3664	0.0	-4756			@quest/ground/legacy_button_jawatracks_pt3:task00_waypoint_name	0	0.0	0.0	0.0		20	0																																																	
quest.task.ground.show_message_box	@quest/ground/legacy_button_jawatracks_pt3:task01_journal_entry_title		0			0	2		legacy_button_jawatracks_e201	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/legacy_button_jawatracks_pt3:task01_message_box_title	@quest/ground/legacy_button_jawatracks_pt3:task01_message_box_text	sound/music_ambience_desert_02.snd	-1	-1	-1	-1																																										
quest.task.ground.comm_player			0			0	3		legacy_button_jawatracks_e21	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											@quest/ground/legacy_button_jawatracks_pt3:task02_comm_message_text	object/mobile/dressed_legacy_b3po.iff																																								
quest.task.ground.wait_for_signal	@quest/ground/legacy_button_jawatracks_pt3:task03_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt3:task03_journal_entry_description	1			0	4		legacy_button_jawatracks_e22	0							1		1			1	tatooine	-3806	0.0	-4720			@quest/ground/legacy_button_jawatracks_pt3:task03_waypoint_name	0	0.0	0.0	0.0			0										legacy_button_jawatracks_launch_e23	0			0		0	0	0																															
quest.task.ground.destroy_multi	@quest/ground/legacy_button_jawatracks_pt3:task04_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt3:task04_journal_entry_description	1			0	5		legacy_button_jawatracks_e23	1		sound/music_combat_e_thru_s_vict.snd					1		1			1	tatooine	-3819	0.0	-4632			@quest/ground/legacy_button_jawatracks_pt3:task04_waypoint_name	0	0.0	0.0	0.0			0																			tusken_raider_wildman			5	0																										
quest.task.ground.wait_for_signal	@quest/ground/legacy_button_jawatracks_pt3:task05_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt3:task05_journal_entry_description	1			0	6		legacy_button_jawatracks_e231	0							1		1			1	tatooine	-3806	0.0	-4720			@quest/ground/legacy_button_jawatracks_pt3:task05_waypoint_name	0	0.0	0.0	0.0			0										legacy_button_jawatracks_launch_e232	0			0		0	0	0																															
quest.task.ground.destroy_multi_and_loot	@quest/ground/legacy_button_jawatracks_pt3:task06_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt3:task06_journal_entry_description	1			0	7		legacy_button_jawatracks_e232	0		sound/music_combat_e_thru_s_vict.snd					1		1			1	tatooine	-3523	0.0	-4633			@quest/ground/legacy_button_jawatracks_pt3:task06_waypoint_name	0	0.0	0.0	0.0			0																			tusken_raider_wildman				0	Jawa Software Encyption Key	4	75																							
quest.task.ground.wait_for_signal	@quest/ground/legacy_button_jawatracks_pt3:task07_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt3:task07_journal_entry_description	1			0	8		legacy_button_jawatracks_e27	0							1		1			1	tatooine	-3806	0.0	-4720			@quest/ground/legacy_button_jawatracks_pt3:task07_waypoint_name	0	0.0	0.0	0.0			0										legacy_button_jawatracks_launch_e28	0			0		0	0	0																															
quest.task.ground.reward	@quest/ground/legacy_button_jawatracks_pt3:task08_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt3:task08_journal_entry_description	0			0	9		legacy_button_jawatracks_e29	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																									1						0	Rebel	0	0		1	object/tangible/quest/legacy_tracks_jawa_datapad.iff		1	0.1	0.1	0.1	0.1		1	0.1						
quest.task.ground.retrieve_item	@quest/ground/legacy_button_jawatracks_pt3:task09_journal_entry_title	@quest/ground/legacy_button_jawatracks_pt3:task09_journal_entry_description	1			0	10		legacy_button_jawatracks_e295	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																																													object/tangible/quest/legacy_tracks_jawa_datapad.iff	1	@quest/ground/legacy_button_jawatracks_pt3:task09_item_name	100	@quest/ground/legacy_button_jawatracks_pt3:task09_retrieve_menu_text
