ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	i	s	i	s	s	s	i	i
quest.task.ground.nothing			0			0	1		findDroidPart2_00	0							1		1	0	tatooine	0.0	0.0	0.0																							
quest.task.ground.go_to_location	@quest/ground/legacy_naboo_droid_module_2:task01_journal_entry_title	@quest/ground/legacy_naboo_droid_module_2:task01_journal_entry_description	1			0	2			1							1		1	1	naboo	4875	0.0	-4673			@quest/ground/legacy_naboo_droid_module_2:task01_waypoint_name	10.0	0																		
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_droid_module_2:task02_journal_entry_title	@quest/ground/legacy_naboo_droid_module_2:task02_journal_entry_description	1			0	3		talkToBorvo	1							1		1	1	naboo	4875	0.0	-4591	naboo		@quest/ground/legacy_naboo_droid_module_2:task02_waypoint_name		0	goToVault	0			0		0	0	0									
quest.task.ground.go_to_location	@quest/ground/legacy_naboo_droid_module_2:task03_journal_entry_title	@quest/ground/legacy_naboo_droid_module_2:task03_journal_entry_description	1			0	4			0							1		1	1	naboo	4318	0.0	-4781			@quest/ground/legacy_naboo_droid_module_2:task03_waypoint_name	10.0	0																		
quest.task.ground.retrieve_item	@quest/ground/legacy_naboo_droid_module_2:task04_journal_entry_title	@quest/ground/legacy_naboo_droid_module_2:task04_journal_entry_description	1			0	5		findDroidPart2_01	1							1		1	0	tatooine	0.0	0.0	0.0					0										object/tangible/terminal/terminal_borvos_vault.iff	8	@quest/ground/legacy_naboo_droid_module_2:task04_item_name	100	@quest/ground/legacy_naboo_droid_module_2:task04_retrieve_menu_text				
quest.task.ground.comm_player			0			0	6			0							1		1	0	tatooine	0.0	0.0	0.0																				@quest/ground/legacy_naboo_droid_module_2:task05_comm_message_text	object/mobile/borvo.iff		
quest.task.ground.retrieve_item	@quest/ground/legacy_naboo_droid_module_2:task06_journal_entry_title	@quest/ground/legacy_naboo_droid_module_2:task06_journal_entry_description	1			0	7			0							1		1	0	tatooine	0.0	0.0	0.0					0										object/tangible/terminal/terminal_borvo_ai_controller.iff	1	@quest/ground/legacy_naboo_droid_module_2:task06_item_name	100	@quest/ground/legacy_naboo_droid_module_2:task06_retrieve_menu_text				
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_droid_module_2:task07_journal_entry_title	@quest/ground/legacy_naboo_droid_module_2:task07_journal_entry_description	1			0	8		onMyWayToBorvo	1							1		1	1	naboo	4875	0.0	-4673			@quest/ground/legacy_naboo_droid_module_2:task07_waypoint_name		0	gotAI	0			0		0	0	0									
quest.task.ground.timer			0			0	9		findDroidPart2_02b	0							1		1	0	tatooine	0.0	0.0	0.0																						3	4
quest.task.ground.comm_player			0			0	10		findDroidPart2_02	0							1		1	0	tatooine	0.0	0.0	0.0																				@quest/ground/legacy_naboo_droid_module_2:task09_comm_message_text	object/tangible/quest/rsf_computer.iff		
quest.task.ground.wait_for_signal	@quest/ground/legacy_naboo_droid_module_2:task10_journal_entry_title	@quest/ground/legacy_naboo_droid_module_2:task10_journal_entry_description	1			0			findDroidPart2_03	1							1		1	1	naboo	-5496.10009765625	14	4477.10009765625			@quest/ground/legacy_naboo_droid_module_2:task10_waypoint_name		0	findDroidPart2_03	0			0		0	0	0									
