ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	s	i	i	s	i	i	i	s	s
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_main_quest_killed:task00_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task00_journal_entry_description	1			0	1,6,11		talkKenobi1	0							1		1	0	tatooine	0.0	0.0	0.0				talkedKenobi1	0			0		0	0	0	0													
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_main_quest_killed:task01_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task01_journal_entry_description	1			0	2,4			0							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/som_kenobi_jedi_conduit_w.iff	1	@quest/ground/som_kenobi_main_quest_killed:task01_item_name	100	@quest/ground/som_kenobi_main_quest_killed:task01_retrieve_menu_text								
quest.task.ground.timer	@quest/ground/som_kenobi_main_quest_killed:task02_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task02_journal_entry_description	1			0	3			1							1		1	0	tatooine	0.0	0.0	0.0																			70	100						
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_main_quest_killed:task03_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task03_journal_entry_description	1			0			conduit3	0							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/som_kenobi_jedi_conduit_w.iff	1	@quest/ground/som_kenobi_main_quest_killed:task03_item_name	100	@quest/ground/som_kenobi_main_quest_killed:task03_retrieve_menu_text								
quest.task.ground.timer			0			0	5			0							1		1	0	tatooine	0.0	0.0	0.0																			35	65						
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0													0								som_kenobi_dark_jedi_minion_5	1	25	50	0.0	0.0
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_main_quest_killed:task06_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task06_journal_entry_description	1			0	7,9			0							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/som_kenobi_jedi_conduit_e.iff	1	@quest/ground/som_kenobi_main_quest_killed:task06_item_name	100	@quest/ground/som_kenobi_main_quest_killed:task06_retrieve_menu_text								
quest.task.ground.timer	@quest/ground/som_kenobi_main_quest_killed:task07_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task07_journal_entry_description	1			0	8			1							1		1	0	tatooine	0.0	0.0	0.0																			80	120						
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_main_quest_killed:task08_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task08_journal_entry_description	1			0			conduit2	0							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/som_kenobi_jedi_conduit_e.iff	1	@quest/ground/som_kenobi_main_quest_killed:task08_item_name	100	@quest/ground/som_kenobi_main_quest_killed:task08_retrieve_menu_text								
quest.task.ground.timer			0			0	10			0							1		1	0	tatooine	0.0	0.0	0.0																			25	40						
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0													0								som_kenobi_dark_jedi_minion_mix	2	25	50	0.0	0.0
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_main_quest_killed:task11_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task11_journal_entry_description	1			0	12,14			0							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/som_kenobi_jedi_conduit_nw.iff	1	@quest/ground/som_kenobi_main_quest_killed:task11_item_name	100	@quest/ground/som_kenobi_main_quest_killed:task11_retrieve_menu_text								
quest.task.ground.timer	@quest/ground/som_kenobi_main_quest_killed:task12_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task12_journal_entry_description	1			0	13			1							1		1	0	tatooine	0.0	0.0	0.0																			180	240						
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_main_quest_killed:task13_journal_entry_title	@quest/ground/som_kenobi_main_quest_killed:task13_journal_entry_description	1			0			conduit1	0							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/som_kenobi_jedi_conduit_nw.iff	1	@quest/ground/som_kenobi_main_quest_killed:task13_item_name	100	@quest/ground/som_kenobi_main_quest_killed:task13_retrieve_menu_text								
quest.task.ground.timer			0			0	15			0							1		1	0	tatooine	0.0	0.0	0.0																			25	40						
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0													0								som_kenobi_dark_jedi_minion_mix	3	30	50	0.0	0.0
