ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,12,13,14,15		selonian_under_thumb_start	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																		
quest.task.ground.wait_for_tasks	@quest/ground/talus_nashal_under_thumb:task01_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task01_journal_entry_description	1			0	2,9,10,11		selonian_find_food	0							1		1			1	talus	4293	50	4734			@quest/ground/talus_nashal_under_thumb:task01_waypoint_name	0	0.0	0.0	0.0		quest/talus_nashal_under_thumb	selonian_gather_food_1	@quest/ground/talus_nashal_under_thumb:task01_task_display_string_1	quest/talus_nashal_under_thumb	selonian_gather_food_2	@quest/ground/talus_nashal_under_thumb:task01_task_display_string_2	quest/talus_nashal_under_thumb	selonian_gather_food_3	@quest/ground/talus_nashal_under_thumb:task01_task_display_string_3	quest/talus_nashal_under_thumb	selonian_gather_food_4	@quest/ground/talus_nashal_under_thumb:task01_task_display_string_4							0														
quest.task.ground.wait_for_tasks	@quest/ground/talus_nashal_under_thumb:task02_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task02_journal_entry_description	1			0	3,7,8		selonian_find_hide	0							1		1			1	talus	4293	50	4734			@quest/ground/talus_nashal_under_thumb:task02_waypoint_name	0	0.0	0.0	0.0		quest/talus_nashal_under_thumb	selonian_gather_hide_1	@quest/ground/talus_nashal_under_thumb:task02_task_display_string_1	quest/talus_nashal_under_thumb	selonian_gather_hide_2	@quest/ground/talus_nashal_under_thumb:task02_task_display_string_2	quest/talus_nashal_under_thumb	selonian_gather_hide_3	@quest/ground/talus_nashal_under_thumb:task02_task_display_string_3										0														
quest.task.ground.wait_for_tasks	@quest/ground/talus_nashal_under_thumb:task03_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task03_journal_entry_description	1			0	4		selonian_find_electronics	0							1		1			1	talus	4293	50	4734			@quest/ground/talus_nashal_under_thumb:task03_waypoint_name	0	0.0	0.0	0.0		quest/talus_nashal_under_thumb	selonian_gather_electronics_1	@quest/ground/talus_nashal_under_thumb:task03_task_display_string_1	quest/talus_nashal_under_thumb	selonian_gather_electronics_2	@quest/ground/talus_nashal_under_thumb:task03_task_display_string_2													0														
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task04_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task04_journal_entry_description	1			0	5		selonian_destroy_cache	0							1		1			1	talus	4293	50	4734			@quest/ground/talus_nashal_under_thumb:task04_waypoint_name	0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_weapons_01.iff	1	@quest/ground/talus_nashal_under_thumb:task04_item_name	100	@quest/ground/talus_nashal_under_thumb:task04_retrieve_menu_text									
quest.task.ground.wait_for_signal	@quest/ground/talus_nashal_under_thumb:task05_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task05_journal_entry_description	1			0	6		selonian_return_ravi	0							1		1			1	talus	4777	12	5051	talus	r7	@quest/ground/talus_nashal_under_thumb:task05_waypoint_name	1	4962.60009765625	67.5	5199.5	@quest/ground/talus_nashal_under_thumb:task05_entrance_waypoint_name																			0						selonian_return_ravi	0			0		0	0	0
quest.task.ground.complete_quest			0			0			selonian_complete_thumb	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																		
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task07_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task07_journal_entry_description	1			0			selonian_gather_electronics_2	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_electronics_02.iff	1	@quest/ground/talus_nashal_under_thumb:task07_item_name	100	@quest/ground/talus_nashal_under_thumb:task07_retrieve_menu_text									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task08_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task08_journal_entry_description	1			0			selonian_gather_electronics_1	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_electronics_01.iff	1	@quest/ground/talus_nashal_under_thumb:task08_item_name	100	@quest/ground/talus_nashal_under_thumb:task08_retrieve_menu_text									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task09_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task09_journal_entry_description	1			0			selonian_gather_hide_3	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_hide_container_03.iff	1	@quest/ground/talus_nashal_under_thumb:task09_item_name	100	@quest/ground/talus_nashal_under_thumb:task09_retrieve_menu_text									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task10_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task10_journal_entry_description	1			0			selonian_gather_hide_2	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_hide_container_02.iff	1	@quest/ground/talus_nashal_under_thumb:task10_item_name	100	@quest/ground/talus_nashal_under_thumb:task10_retrieve_menu_text									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task11_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task11_journal_entry_description	1			0			selonian_gather_hide_1	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_hide_container_01.iff	1	@quest/ground/talus_nashal_under_thumb:task11_item_name	100	@quest/ground/talus_nashal_under_thumb:task11_retrieve_menu_text									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task12_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task12_journal_entry_description	1			0			selonian_gather_food_4	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_food_container_04.iff	1	@quest/ground/talus_nashal_under_thumb:task12_item_name	100	@quest/ground/talus_nashal_under_thumb:task12_retrieve_menu_text									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task13_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task13_journal_entry_description	1			0			selonian_gather_food_3	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_food_container_03.iff	1	@quest/ground/talus_nashal_under_thumb:task13_item_name	100	@quest/ground/talus_nashal_under_thumb:task13_retrieve_menu_text									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task14_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task14_journal_entry_description	1			0			selonian_gather_food_2	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_food_container_02.iff	1	@quest/ground/talus_nashal_under_thumb:task14_item_name	100	@quest/ground/talus_nashal_under_thumb:task14_retrieve_menu_text									
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_under_thumb:task15_journal_entry_title	@quest/ground/talus_nashal_under_thumb:task15_journal_entry_description	1			0			selonian_gather_food_1	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	object/tangible/quest/talus_selonian_food_container_01.iff	1	@quest/ground/talus_nashal_under_thumb:task15_item_name	100	@quest/ground/talus_nashal_under_thumb:task15_retrieve_menu_text									
