ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	i	i	i	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing	@quest/ground/outbreak_quest_shuttle_parts:task00_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task00_journal_entry_description	0			0	1,2,3,4,5		nothingTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																							
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_shuttle_parts:task01_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task01_journal_entry_description	1			0			findPowerConverters	0				0	none	none				1		1			1	dathomir	-6118	530	-6570			@quest/ground/outbreak_quest_shuttle_parts:task01_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/outbreak/crashed_shuttle_power_converters.iff	1	@quest/ground/outbreak_quest_shuttle_parts:task01_item_name	100	0	0	0	@quest/ground/outbreak_quest_shuttle_parts:task01_retrieve_menu_text	0																													
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_shuttle_parts:task02_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task02_journal_entry_description	1			0			findComputerCoreMemory	0				0	none	none				1		1			1	dathomir	-6541	569	-6893			@quest/ground/outbreak_quest_shuttle_parts:task02_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/outbreak/crashed_shuttle_core_memory.iff	1	@quest/ground/outbreak_quest_shuttle_parts:task02_item_name	100	0	0	0	@quest/ground/outbreak_quest_shuttle_parts:task02_retrieve_menu_text	0																													
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_shuttle_parts:task03_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task03_journal_entry_description	1			0			findSpinalTrunk	0				0	none	none				1		1			1	dathomir	-7000	540	-7396			@quest/ground/outbreak_quest_shuttle_parts:task03_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/outbreak/crashed_shuttle_spinal_trunk.iff	1	@quest/ground/outbreak_quest_shuttle_parts:task03_item_name	100	0	0	0	@quest/ground/outbreak_quest_shuttle_parts:task03_retrieve_menu_text	0																													
quest.task.ground.retrieve_item	@quest/ground/outbreak_quest_shuttle_parts:task04_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task04_journal_entry_description	1			0			findFuelCells	0				0	none	none				1		1			1	dathomir	-7402	560	-6841			@quest/ground/outbreak_quest_shuttle_parts:task04_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/outbreak/crashed_shuttle_fuel_cells.iff	1	@quest/ground/outbreak_quest_shuttle_parts:task04_item_name	100	0	0	0	@quest/ground/outbreak_quest_shuttle_parts:task04_retrieve_menu_text	0																													
quest.task.ground.wait_for_tasks	@quest/ground/outbreak_quest_shuttle_parts:task05_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task05_journal_entry_description	0			0	6		collectParts	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										0	quest/outbreak_quest_shuttle_parts	findFuelCells	@quest/ground/outbreak_quest_shuttle_parts:task05_task_display_string_1	quest/outbreak_quest_shuttle_parts	findSpinalTrunk	@quest/ground/outbreak_quest_shuttle_parts:task05_task_display_string_2	quest/outbreak_quest_shuttle_parts	findComputerCoreMemory	@quest/ground/outbreak_quest_shuttle_parts:task05_task_display_string_3	quest/outbreak_quest_shuttle_parts	findPowerConverters	@quest/ground/outbreak_quest_shuttle_parts:task05_task_display_string_4																	
quest.task.ground.comm_player	@quest/ground/outbreak_quest_shuttle_parts:task06_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task06_journal_entry_description	1			0	7		commHX	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													@quest/ground/outbreak_quest_shuttle_parts:task06_comm_message_text	object/mobile/dressed_stormtrooper_shadowtrooper_hx138.iff									
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_shuttle_parts:task07_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task07_journal_entry_description	1			0	8		deliverMechanic	0				0	none	none				1		1			1	dathomir	-7441	570	-7319			@quest/ground/outbreak_quest_shuttle_parts:task07_waypoint_name	0	0.0	0.0	0.0										0																					deliveredPartsMechanic	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_shuttle_parts:task08_journal_entry_title	@quest/ground/outbreak_quest_shuttle_parts:task08_journal_entry_description	1			0			seeHX138	0				0	none	none				1		1			1	dathomir	-7427	570	-7334			@quest/ground/outbreak_quest_shuttle_parts:task08_waypoint_name	0	0.0	0.0	0.0										0																					deliveredShuttleSupplies	0			0		0	0	0
