ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	i	s	i	s	i	i	i	i	s
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task00_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task00_journal_entry_description	1			0	1,10,11		farm_aid_1	1				0	none	none				1		1			1	corellia	185	28	-4261.39990234375			@quest/ground/corellia_coronet_capitol_problems_farm_aid:task00_waypoint_name	0	0.0	0.0	0.0		farm_aid_1	0			0		0	0	0	0																															
quest.task.ground.wait_for_tasks	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task01_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task01_journal_entry_description	1			0	2		farm_aid_2	1				0	none	none				1		1			1	corellia	309	4.19999980926514	-3997.5			@quest/ground/corellia_coronet_capitol_problems_farm_aid:task01_waypoint_name	0	0.0	0.0	0.0											0	quest/corellia_coronet_capitol_problems_farm_aid	farm_aid_2a	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task01_task_display_string_1	quest/corellia_coronet_capitol_problems_farm_aid	farm_aid_2b	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task01_task_display_string_2																									
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task02_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task02_journal_entry_description	1			0	3,7,8,9		farm_aid_3	1				0	none	none				1		1			1	corellia	185	28	-4261.39990234375			@quest/ground/corellia_coronet_capitol_problems_farm_aid:task02_waypoint_name	0	0.0	0.0	0.0		farm_aid_3	0			0		0	0	0	0																															
quest.task.ground.wait_for_tasks	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task03_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task03_journal_entry_description	1			0	4		farm_aid_4	1				0	none	none				1		1			1	corellia	337	28	-4404			@quest/ground/corellia_coronet_capitol_problems_farm_aid:task03_waypoint_name	0	0.0	0.0	0.0											0	quest/corellia_coronet_capitol_problems_farm_aid	farm_aid_4a	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task03_task_display_string_1	quest/corellia_coronet_capitol_problems_farm_aid	farm_aid_4b	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task03_task_display_string_2	quest/corellia_coronet_capitol_problems_farm_aid	farm_aid_4c	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task03_task_display_string_3																						
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task04_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task04_journal_entry_description	1			0	5		farm_aid_5	1				0	none	none				1		1			1	corellia	185	28	-4261.39990234375			@quest/ground/corellia_coronet_capitol_problems_farm_aid:task04_waypoint_name	0	0.0	0.0	0.0		farm_aid_5	0			0		0	0	0	0																															
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task05_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task05_journal_entry_description	1			0	6		farm_aid_6	0				0	none	none				1		1			1	corellia	-69	28	-4634			@quest/ground/corellia_coronet_capitol_problems_farm_aid:task05_waypoint_name	0	0.0	0.0	0.0		farm_aid_6	0			0		0	0	0	0																															
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																										
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task07_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task07_journal_entry_description	1			0			farm_aid_4c	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																			corellia_nedgarr_bandit_trae_nedgarr			1	0								
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task08_journal_entry_title	@quest/ground/corellia_coronet_capitol_problems_farm_aid:task08_journal_entry_description	1			0			farm_aid_4b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																			corellia_nedgarr_bandit			12	0								
