ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	CHANCE_TO_SKIP	CREATURE_TYPE	MIN_COUNT	MAX_COUNT	MIN_DISTANCE	MAX_DISTANCE	MIN_LEVEL_DIFFERENCE	MAX_LEVEL_DIFFERENCE	GROUND_START_COMBAT	BUFF_NAME	DISMOUNT_PLAYER	MOUNT_BLOCK_DURATION	SHIP_TYPE	SHIP_MIN_COUNT	SHIP_MAX_COUNT	SPACE_START_COMBAT	HYPERSPACE_BLOCK_DURATION	MIN_START_DELAY	MAX_START_DELAY	MIN_TIME	MAX_TIME	COUNT	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	i	i	i	i	i	i	s	s	s	i	s	i	i	s	i	s	i	i	i	i	i	i	b	s	b	i	s	i	i	b	i	i	i	i	i	i	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1		azure_cabal_hunters_path_02_null	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																				
quest.task.ground.destroy_multi_and_loot	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task01_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task01_journal_entry_description	1			0	2		azure_cabal_hunters_path_02_destroy_loot_1	0				0	none	none				1		1		failedTweegoHP	0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			bantha		Bantha Musk Gland	1	15	4	8	0	0																																									
quest.task.ground.comm_player			0			0	3		azure_cabal_hunters_path_02_comm_1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task02_comm_message_text	object/mobile/tatooine_tweego.iff																																							
quest.task.ground.retrieve_item	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task03_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task03_journal_entry_description	1			0	4		azure_cabal_hunters_path_02_retrieve_1	0				0	none	none				1		1			1	tatooine	-1821	9	-3899			@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task03_waypoint_name	0	0.0	0.0	0.0								0	0		0			object/tangible/quest/ac_rotting_dune_bramble.iff	1	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task03_item_name	100	0	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task03_retrieve_menu_text																																	
quest.task.ground.spawn	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task04_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task04_journal_entry_description	1			0	5		azure_cabal_hunters_path_02_spawn_1	0				0	none	none				1		1		failedTweegoHP	0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0	dominant_bantha	1	1	30	50	0	0	1		1	10		1	0	0	0	5	15														
quest.task.ground.destroy_multi_and_loot	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task05_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task05_journal_entry_description	1			0	6,10		azure_cabal_hunters_path_02_destroy_loot_2	0				0	none	none				1		1		failedTweegoHP	0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		dominant_bantha			Dominant Bantha Heart	1	100	0	0	0	0																																									
quest.task.ground.timer			0			0	7		azure_cabal_hunters_path_02_timer	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																							5	7												
quest.task.ground.encounter	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task07_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task07_journal_entry_description	1			0	8	9	azure_cabal_hunters_path_02_ambush	0				0	none	none				1		0	completedTweegoHP	failedTweegoHP	1	tatooine	-1821	9	-3899			@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task07_waypoint_name	0	0.0	0.0	0.0											0										tusken_raider_ambusher			50	50																3	0.0	0.0									
quest.task.ground.wait_for_signal	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task08_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task08_journal_entry_description	1			0			azure_cabal_hunters_path_02_return	0				0	complete	none				1		1	endorsedByTweego		1	tatooine	1283	7	3154			@quest/ground/tatooine_24_azure_cabal_hunters_path_02:task08_waypoint_name	0	0.0	0.0	0.0											0																																	azure_cabal_hunters_path_02_returned_heart	0			0		0	0	0
