ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	RADIUS	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	s	i	i	i	s	s	s	s	s	i	i	i	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_fencing:task00_journal_entry_title	@quest/ground/tatooine_knives_fencing:task00_journal_entry_description	1			0	1		tatooine_knives_fencing_e3	0							1		1	1	tatooine	3363	0.0	-4615	tatooine	valarian	@quest/ground/tatooine_knives_fencing:task00_waypoint_name	tatooine_knives_fencing_launch_e4	0			0		0	0	0																															
quest.task.ground.go_to_location	@quest/ground/tatooine_knives_fencing:task01_journal_entry_title	@quest/ground/tatooine_knives_fencing:task01_journal_entry_description	1			0	2		tatooine_knives_fencing_e35	0							1		1	0	tatooine	3087	0.0	-4191													10.0																														
quest.task.ground.encounter	@quest/ground/tatooine_knives_fencing:task02_journal_entry_title	@quest/ground/tatooine_knives_fencing:task02_journal_entry_description	0			0	3	12	tatooine_knives_fencing_e45	0							1		1	1	tatooine	3905	0.0	-4191			@quest/ground/tatooine_knives_fencing:task02_waypoint_name											tatooine_una	1	10	20	0.0	0.0																								
quest.task.ground.show_message_box	@quest/ground/tatooine_knives_fencing:task03_journal_entry_title		0			0	4		tatooine_knives_fencing_e5	0							1		1	0	tatooine	0.0	0.0	0.0																				@quest/ground/tatooine_knives_fencing:task03_message_box_title	@quest/ground/tatooine_knives_fencing:task03_message_box_text		-1	-1	-1	-1																	
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_fencing:task04_journal_entry_title	@quest/ground/tatooine_knives_fencing:task04_journal_entry_description	1			0	5		tatooine_knives_fencing_e6	0							1		1	1	tatooine	3095	0.0	-4191			@quest/ground/tatooine_knives_fencing:task04_waypoint_name	tatooine_knives_fencing_launch_e7	0			0		0	0	0																															
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_fencing:task05_journal_entry_title	@quest/ground/tatooine_knives_fencing:task05_journal_entry_description	1			0	6		tatooine_knives_fencing_e7	0							1		1	1	tatooine	3363	0.0	-4607	tatooine	valarian	@quest/ground/tatooine_knives_fencing:task05_waypoint_name	tatooine_knives_fencing_launch_e8	0			0		0	0	0																															
quest.task.ground.go_to_location	@quest/ground/tatooine_knives_fencing:task06_journal_entry_title	@quest/ground/tatooine_knives_fencing:task06_journal_entry_description	1			0	7		tatooine_knives_fencing_e7	0							1		1	1	tatooine	2968	0.0	-5403			@quest/ground/tatooine_knives_fencing:task06_waypoint_name										50																														
quest.task.ground.encounter	@quest/ground/tatooine_knives_fencing:task07_journal_entry_title	@quest/ground/tatooine_knives_fencing:task07_journal_entry_description	0			0	8	11	tatooine_knives_fencing_e85	0							1		1	1	tatooine	2953	0.0	-5443			@quest/ground/tatooine_knives_fencing:task07_waypoint_name											tatooine_keska	1	5	30	0.0	0.0																								
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_fencing:task08_journal_entry_title	@quest/ground/tatooine_knives_fencing:task08_journal_entry_description	1			0	9		tatooine_knives_fencing_e9	0							1		1	1	tatooine	3363	0.0	-4607	tatooine	valarian	@quest/ground/tatooine_knives_fencing:task08_waypoint_name	tatooine_knives_fencing_launch_e10	0			0		0	0	0																															
quest.task.ground.reward			1			0	10		tatooine_knives_fencing_e10	0							1		1	0	tatooine	0.0	0.0	0.0															1													0	valarian	200	2000		1			1	0.1	0.1	0.1	0.1		1	0.1
quest.task.ground.complete_quest			1			0			tatooine_knives_fencing_e11	0							1		1	0	tatooine	0.0	0.0	0.0																																											
quest.task.ground.clear_quest			1			0			tatooine_knives_fencing_e851	0							1		1	0	tatooine	0.0	0.0	0.0																																											
quest.task.ground.clear_quest			1			0			tatooine_knives_fencing_e46	0							1		1	0	tatooine	0.0	0.0	0.0																																											
