ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	CHANCE_TO_SKIP	CREATURE_TYPE	MIN_COUNT	MAX_COUNT	MIN_DISTANCE	MAX_DISTANCE	MIN_LEVEL_DIFFERENCE	MAX_LEVEL_DIFFERENCE	GROUND_START_COMBAT	BUFF_NAME	DISMOUNT_PLAYER	MOUNT_BLOCK_DURATION	SHIP_TYPE	SHIP_MIN_COUNT	SHIP_MAX_COUNT	SPACE_START_COMBAT	HYPERSPACE_BLOCK_DURATION	MIN_START_DELAY	MAX_START_DELAY	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	RADIUS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	i	s	i	i	i	i	i	i	b	s	b	i	s	i	i	b	i	i	i	s	i	b	s	s	s	s	f	f	f	i	s	s	s
quest.task.ground.spawn			0			0	1		spawnSheeli	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		0	nym_themepark_choster_sister	1	1	1	2	0	0	0		0	0		1	0	0	0	-1	-1														
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_rescue_sheeli:task01_journal_entry_title	@quest/ground/u16_nym_themepark_rescue_sheeli:task01_journal_entry_description	1			0	2,14	13	rescueSheeli	0				0	none	none				1		1			0	lok	-47	12	2718				0	0.0	0.0	0.0																					hasRescuedSheeli	1	0			0		0	0	0	60			
quest.task.ground.comm_player			0			0	3		comm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																@quest/ground/u16_nym_themepark_rescue_sheeli:task02_comm_message_text	object/mobile/nym.iff	
quest.task.ground.go_to_location	@quest/ground/u16_nym_themepark_rescue_sheeli:task03_journal_entry_title	@quest/ground/u16_nym_themepark_rescue_sheeli:task03_journal_entry_description	1			0	4,11	10	getToPickUp	0				0	none	none				1		1			1	lok	-42	11	2741			@quest/ground/u16_nym_themepark_rescue_sheeli:task03_waypoint_name	0	0.0	0.0	0.0																															40			7
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_rescue_sheeli:task04_journal_entry_title	@quest/ground/u16_nym_themepark_rescue_sheeli:task04_journal_entry_description	1			0	5,8	7	waitingForShuttle	0				0	none	none				1		1			1	lok	-42	11	2741			@quest/ground/u16_nym_themepark_rescue_sheeli:task04_waypoint_name	0	0.0	0.0	0.0																					shuttleHasArrived	1	0			0		0	0	0	0			
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_rescue_sheeli:task05_journal_entry_title	@quest/ground/u16_nym_themepark_rescue_sheeli:task05_journal_entry_description	1			0	6		returnToNymSheeli	0				0	none	none				1		1			1	lok	475	13	4828			@quest/ground/u16_nym_themepark_rescue_sheeli:task05_waypoint_name	0	0.0	0.0	0.0																					hasReturnedToNymSheeli	1	0			0		0	0	0	0			
quest.task.ground.complete_quest			0			0			complete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																		
quest.task.ground.clear_quest			0			0			clearIt	0				0	none	none			quest/u16_nym_themepark_rescue_sheeli_fail	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																		
quest.task.ground.wait_for_signal			0			0		9	failTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					hasFailedQuest	1	0			0		0	0	0	0			
