ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	RADIUS	CREATURE_TYPE	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	i	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	i	i	s	s	s
quest.task.ground.nothing	@quest/ground/tatooine_knives_parry_pt2:task00_journal_entry_title	@quest/ground/tatooine_knives_parry_pt2:task00_journal_entry_description	0			0	1		tatooine_knives_parry_e1	0							1		1	0	tatooine	0.0	0.0	0.0																																																																
quest.task.ground.show_message_box			0			0	2,7		tatooine_knives_parry_e20	0							1		1	0	tatooine	0.0	0.0	0.0				@quest/ground/tatooine_knives_parry_pt2:task01_message_box_title	@quest/ground/tatooine_knives_parry_pt2:task01_message_box_text		-1	-1	-1	-1																																																						
quest.task.ground.wait_for_tasks	@quest/ground/tatooine_knives_parry_pt2:task02_journal_entry_title	@quest/ground/tatooine_knives_parry_pt2:task02_journal_entry_description	1			0	3		tatooine_knives_parry_e101	1							1		1	0	tatooine	0.0	0.0	0.0											tatooine_knives_parry_pt2	tatooine_knives_parry_e102	@quest/ground/tatooine_knives_parry_pt2:task02_task_display_string_1	tatooine_knives_parry_pt2	tatooine_knives_parry_e136	@quest/ground/tatooine_knives_parry_pt2:task02_task_display_string_2																																																
quest.task.ground.comm_player			1			0	4		tatooine_knives_parry_e102	0							1		1	0	tatooine	0.0	0.0	0.0																													@quest/ground/tatooine_knives_parry_pt2:task03_comm_message_text	object/mobile/dressed_tatooine_kcur.iff																																		
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_parry_pt2:task04_journal_entry_title	@quest/ground/tatooine_knives_parry_pt2:task04_journal_entry_description	1			0	5		tatooine_knives_parry_e14	0							1		1	1	tatooine	3367	0.0	-4605		hall01	@quest/ground/tatooine_knives_parry_pt2:task04_waypoint_name																												tatoonie_knives_parry_launch_e97	0			0		0	0	0																									
quest.task.ground.reward			1			0	6		tatooine_knives_parry_e15	0						tatooine_knives_fencing_reward	1		1	0	tatooine	0.0	0.0	0.0																																									0	valarian	500	10000		1		1	object/weapon/ranged/carbine/carbine_e11.iff	1	0.400000005960464	0.800000011920929	0.699999988079071	0.5		1	0.1							
quest.task.ground.complete_quest			1			0			tatooine_knives_parry_e16	0							1		1	0	tatooine	0.0	0.0	0.0																																																																
quest.task.ground.go_to_location	@quest/ground/tatooine_knives_parry_pt2:task07_journal_entry_title	@quest/ground/tatooine_knives_parry_pt2:task07_journal_entry_description	0			0	8,10,12		tatooine_knives_parry_e103	0							1		1	1	tatooine	3745	0.0	-5202			@quest/ground/tatooine_knives_parry_pt2:task07_waypoint_name																																																							15						
quest.task.ground.encounter	@quest/ground/tatooine_knives_parry_pt2:task08_journal_entry_title		0			0		9	tatooine_knives_parry_e102	1							1		1	0	tatooine	3667	0.0	-5160																																																4											common_thief	1	10	-40	40	
quest.task.ground.clear_quest			0			0			tatooine_knives_parry_e100	0							1		1	0	tatooine	0.0	0.0	0.0																																																																
quest.task.ground.escort	@quest/ground/tatooine_knives_parry_pt2:task10_journal_entry_title	@quest/ground/tatooine_knives_parry_pt2:task10_journal_entry_description	0			0		11	tatooine_knives_parry_e125	0							1		1	0	tatooine	0	0.0	0																																																																gunrunner
quest.task.ground.clear_quest			1			0			tatooine_knives_parry_e13	0							1		1	0	tatooine	0.0	0.0	0.0																																																																
quest.task.ground.go_to_location	@quest/ground/tatooine_knives_parry_pt2:task12_journal_entry_title	@quest/ground/tatooine_knives_parry_pt2:task12_journal_entry_description	0			0			tatooine_knives_parry_e136	1							1		1	0	tatooine	3745	0.0	-5202			@quest/ground/tatooine_knives_parry_pt2:task12_waypoint_name																																																							10.0						
