ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	s	b	s	s	s	s	f	f	f	s	s	s	i	i	s	s	s	i	i	i	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	s	i	i
quest.task.ground.retrieve_item	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task00_journal_entry_title	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task00_journal_entry_description	1			0	1		skaak_tipping_1	1							1		1			1	naboo	5549	-208	6926			@quest/ground/naboo_kadaraa_tipping_the_balance_1:task00_waypoint_name	object/tangible/quest/naboo_kadaara_tipping_rsf_comm_array.iff	1	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task00_item_name	100	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task00_retrieve_menu_text	0																																												
quest.task.ground.comm_player	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task01_journal_entry_title	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task01_journal_entry_description	1			0	2		skaak_tipping_2	0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/naboo_kadaraa_tipping_the_balance_1:task01_comm_message_text	object/mobile/panaka.iff																																										
quest.task.ground.wait_for_signal	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task02_journal_entry_title	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task02_journal_entry_description	1			0	3		skaak_tipping_3	1							1		1			1	naboo	5196.7998046875	-192	6713.10009765625			@quest/ground/naboo_kadaraa_tipping_the_balance_1:task02_waypoint_name						0			skaak_tipping_3	0			0		0	0	0																																	
quest.task.ground.destroy_multi	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task03_journal_entry_title	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task03_journal_entry_description	1			0	4		skaak_tipping_4	1							1		1			1	naboo	5546	-204	6886			@quest/ground/naboo_kadaraa_tipping_the_balance_1:task03_waypoint_name						0													skaak_tipper_gang		11	0																												
quest.task.ground.show_message_box			0			0	5		skaak_tipping_5	0							1		1			0	tatooine	0.0	0.0	0.0																										@quest/ground/naboo_kadaraa_tipping_the_balance_1:task04_message_box_title	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task04_message_box_text		-1	-1	-1	-1																					
quest.task.ground.reward			0			0	6		skaak_tipping_6	0							1		1			0	tatooine	0.0	0.0	0.0																								1										0	Rebel	0	0		1	object/tangible/quest/naboo_kadaara_tipping_skaak_radio.iff		1	0.1	0.1	0.1	0.1		1	0.1				
quest.task.ground.retrieve_item	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task06_journal_entry_title	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task06_journal_entry_description	1			0	7		skaak_tipping_7	0							1		1			0	tatooine	0.0	0.0	0.0				object/tangible/quest/naboo_kadaara_tipping_skaak_radio.iff	1	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task06_item_name	100	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task06_retrieve_menu_text	0																																												
quest.task.ground.comm_player			0			0	8		skaak_tipping_8	1							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/naboo_kadaraa_tipping_the_balance_1:task07_comm_message_text	object/mobile/dressed_criminal_thug_zabrak_male_01.iff																																										
quest.task.ground.destroy_multi_and_loot	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task08_journal_entry_title	@quest/ground/naboo_kadaraa_tipping_the_balance_1:task08_journal_entry_description	1			0	9		skaak_tipping_9	1							1		1			1	naboo	5486	-196	6406			@quest/ground/naboo_kadaraa_tipping_the_balance_1:task08_waypoint_name						0													skaak_tipper_gang			0																										You confiscated a weapon crate	10	85
