ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	s	s	s	i	i	i	s	i	s	i	s
quest.task.ground.nothing			0			0	1,8,9,10			0	sound/mus_mustafar_quest_exception.snd						1		1	0	tatooine	0.0	0.0	0.0																																																														
quest.task.ground.wait_for_tasks	@quest/ground/som_glyph_hunt:task01_journal_entry_title	@quest/ground/som_glyph_hunt:task01_journal_entry_description	1			0	2		glyph_hunt_four	1							1		1	0	tatooine	0.0	0.0	0.0				quest/som_glyph_hunt	glyph_hunt_one	@quest/ground/som_glyph_hunt:task01_task_display_string_1	quest/som_glyph_hunt	glyph_hunt_two	@quest/ground/som_glyph_hunt:task01_task_display_string_2	quest/som_glyph_hunt	glyph_hunt_three	@quest/ground/som_glyph_hunt:task01_task_display_string_3										0																																								
quest.task.ground.wait_for_signal	@quest/ground/som_glyph_hunt:task02_journal_entry_title	@quest/ground/som_glyph_hunt:task02_journal_entry_description	1			0	3,6,7		glyph_hunt_five	1							1		1	1	mustafar	-5791	106	5808			@quest/ground/som_glyph_hunt:task02_waypoint_name																			0	glyph_hunt_found	0			0		0	0	0																															
quest.task.ground.wait_for_tasks	@quest/ground/som_glyph_hunt:task03_journal_entry_title	@quest/ground/som_glyph_hunt:task03_journal_entry_description	1			0	4		glyph_hunt_eight	1							1		1	0	tatooine	0.0	0.0	0.0				quest/som_glyph_hunt	glyph_hunt_six	@quest/ground/som_glyph_hunt:task03_task_display_string_1	quest/som_glyph_hunt	glyph_hunt_seven	@quest/ground/som_glyph_hunt:task03_task_display_string_2													0																																								
quest.task.ground.wait_for_signal	@quest/ground/som_glyph_hunt:task04_journal_entry_title	@quest/ground/som_glyph_hunt:task04_journal_entry_description	1			0	5		glyph_hunt_nine	1							1		1	1	mustafar	-5791	106	5808			@quest/ground/som_glyph_hunt:task04_waypoint_name																			0	glyph_hunt_finish	0			0		0	0	0																															
quest.task.ground.reward			0			0				1		sound/mus_mustafar_quest_success.snd					1		1	0	tatooine	0.0	0.0	0.0																																	0	Rebel	0	10000	weapon_tow_rifle_03_01	1		1		1	0.1	0.1	0.1	0.1		1	0.1													
quest.task.ground.destroy_multi_and_loot	@quest/ground/som_glyph_hunt:task06_journal_entry_title	@quest/ground/som_glyph_hunt:task06_journal_entry_description	1			0			glyph_hunt_seven	1							1		1	0	tatooine	0.0	0.0	0.0																						0																													som_coyn_commander			Missing Chunk of Glyph	1	100	0					
quest.task.ground.destroy_multi_and_loot	@quest/ground/som_glyph_hunt:task07_journal_entry_title	@quest/ground/som_glyph_hunt:task07_journal_entry_description	1			0			glyph_hunt_six	1							1		1	0	tatooine	0.0	0.0	0.0																						0																													som_coyn_captain			Missing Chunk of Glyph	1	100	0					
quest.task.ground.retrieve_item	@quest/ground/som_glyph_hunt:task08_journal_entry_title	@quest/ground/som_glyph_hunt:task08_journal_entry_description	1			0			glyph_hunt_three	1							1		1	0	tatooine	0.0	0.0	0.0																						0																																				object/tangible/quest/som_jedi_two_glyph_03.iff	1	@quest/ground/som_glyph_hunt:task08_item_name	100	@quest/ground/som_glyph_hunt:task08_retrieve_menu_text
