ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s
quest.task.ground.wait_for_signal	@quest/ground/prof_commando_11:task00_journal_entry_title	@quest/ground/prof_commando_11:task00_journal_entry_description	1			0	1		giveassignment	1							1		1			1	tatooine	1539.5	7	3105.39990234375			@quest/ground/prof_commando_11:task00_waypoint_name	prof_commando_11_1_giveassignment	0			0		0	0	0	0																															
quest.task.ground.go_to_location	@quest/ground/prof_commando_11:task01_journal_entry_title	@quest/ground/prof_commando_11:task01_journal_entry_description	1			0	2		gotobase	0							1		1			1	tatooine	1505	79	2786			@quest/ground/prof_commando_11:task01_waypoint_name										0	10.0																														
quest.task.ground.destroy_multi	@quest/ground/prof_commando_11:task02_journal_entry_title	@quest/ground/prof_commando_11:task02_journal_entry_description	1			0	3,4,5		killdoor	0							1		1			1	tatooine	1505	79	2786			@quest/ground/prof_commando_11:task02_waypoint_name										0			pirate_door		2	0																									
quest.task.ground.destroy_multi	@quest/ground/prof_commando_11:task03_journal_entry_title	@quest/ground/prof_commando_11:task03_journal_entry_description	1			0			killpirates	0							1		1			0	tatooine	0.0	0.0	0.0													0			pirate_guard		10	0																									
quest.task.ground.destroy_multi	@quest/ground/prof_commando_11:task04_journal_entry_title	@quest/ground/prof_commando_11:task04_journal_entry_description	1			0			killboss	0							1		1			0	tatooine	0.0	0.0	0.0													0			pirate_boss		1	0																									
quest.task.ground.wait_for_tasks			0			0	6			0							1		1			1	tatooine	1505	79	2786			@quest/ground/prof_commando_11:task05_waypoint_name										0							quest/prof_commando_11	killboss	@quest/ground/prof_commando_11:task05_task_display_string_1	quest/prof_commando_11	killpirates	@quest/ground/prof_commando_11:task05_task_display_string_2																			
quest.task.ground.comm_player	@quest/ground/prof_commando_11:task06_journal_entry_title	@quest/ground/prof_commando_11:task06_journal_entry_description	1			0	7			0							1		1			0	tatooine	0.0	0.0	0.0																																						@quest/ground/prof_commando_11:task06_comm_message_text	object/mobile/dressed_npe_commando.iff					
quest.task.ground.retrieve_item	@quest/ground/prof_commando_11:task07_journal_entry_title	@quest/ground/prof_commando_11:task07_journal_entry_description	1			0	8			0							1		1			1	tatooine	1505	79	2786			@quest/ground/prof_commando_11:task07_waypoint_name										0																											object/tangible/quest/prof_commando_11_reactor.iff	1	@quest/ground/prof_commando_11:task07_item_name	100	@quest/ground/prof_commando_11:task07_retrieve_menu_text
quest.task.ground.go_to_location	@quest/ground/prof_commando_11:task08_journal_entry_title	@quest/ground/prof_commando_11:task08_journal_entry_description	1			0	9			0							1		1			1	tatooine	1505	79	2786			@quest/ground/prof_commando_11:task08_waypoint_name										0	10.0																														
quest.task.ground.comm_player	@quest/ground/prof_commando_11:task09_journal_entry_title	@quest/ground/prof_commando_11:task09_journal_entry_description	1			0	10			0							1		1			0	tatooine	0.0	0.0	0.0																																						@quest/ground/prof_commando_11:task09_comm_message_text	object/mobile/dressed_npe_commando.iff					
quest.task.ground.wait_for_signal	@quest/ground/prof_commando_11:task10_journal_entry_title	@quest/ground/prof_commando_11:task10_journal_entry_description	1			0			talktomao	0							1		1			1	tatooine	1539.5	7	3105.39990234375			@quest/ground/prof_commando_11:task10_waypoint_name	prof_commando_11_reward	0			0		0	0	0	0																															
