ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	MIN_TIME	MAX_TIME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	s	s	s	s	i	i	i	i	s	i	i	i	s	s	i	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.go_to_location	@quest/ground/som_kenobi_collectors_business_1:task00_journal_entry_title	@quest/ground/som_kenobi_collectors_business_1:task00_journal_entry_description	1			0	1			1	sound/mus_mustafar_quest_exception.snd						1		1	1	mustafar	-4335	90	1669			@quest/ground/som_kenobi_collectors_business_1:task00_waypoint_name	100	0																																																	
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_collectors_business_1:task01_journal_entry_title	@quest/ground/som_kenobi_collectors_business_1:task01_journal_entry_description	1			0	2			1							1		1	0	tatooine	0.0	0.0	0.0					0	object/tangible/quest/som_kenobi_broken_droid_1.iff	1	@quest/ground/som_kenobi_collectors_business_1:task01_item_name	100	@quest/ground/som_kenobi_collectors_business_1:task01_retrieve_menu_text																																												
quest.task.ground.comm_player			0			0	3			0							1		1	0	tatooine	0.0	0.0	0.0											@quest/ground/som_kenobi_collectors_business_1:task02_comm_message_text	object/mobile/som/som_pann_protocol_droid.iff																																										
quest.task.ground.go_to_location	@quest/ground/som_kenobi_collectors_business_1:task03_journal_entry_title	@quest/ground/som_kenobi_collectors_business_1:task03_journal_entry_description	1			0	4,13			1							1		1	1	mustafar	-4465	83	3260			@quest/ground/som_kenobi_collectors_business_1:task03_waypoint_name	10.0	0																																																	
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_collectors_business_1:task04_journal_entry_title	@quest/ground/som_kenobi_collectors_business_1:task04_journal_entry_description	1			0	5			1							1		1	0	tatooine	0.0	0.0	0.0					0	object/tangible/quest/som_kenobi_rubble_2.iff	1	@quest/ground/som_kenobi_collectors_business_1:task04_item_name	100	@quest/ground/som_kenobi_collectors_business_1:task04_retrieve_menu_text																																												
quest.task.ground.show_message_box			0			0	6,10			0							1		1	0	tatooine	0.0	0.0	0.0													@quest/ground/som_kenobi_collectors_business_1:task05_message_box_title	@quest/ground/som_kenobi_collectors_business_1:task05_message_box_text		-1	-1	-1	-1																																			
quest.task.ground.encounter	@quest/ground/som_kenobi_collectors_business_1:task06_journal_entry_title	@quest/ground/som_kenobi_collectors_business_1:task06_journal_entry_description	1			0	7			1							1		1	0	tatooine	0.0	0.0	0.0					0															som_kenobi_trinity_assassin_zabrak_female	1	15	30	0.0	0.0																													
quest.task.ground.timer			0			0	8,9			0							1		1	0	tatooine	0.0	0.0	0.0																										120	180																											
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0					0															som_kenobi_trinity_assassin_nightsister_female	1	30	30	0.0	0.0																													
