ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	i	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	i	i	s
quest.task.ground.show_message_box	@quest/ground/naboo_kadaara_jonni_skaak:task00_journal_entry_title	@quest/ground/naboo_kadaara_jonni_skaak:task00_journal_entry_description	1			0	1		jonni_skaak_journal_entry_1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/naboo_kadaara_jonni_skaak:task00_message_box_title	@quest/ground/naboo_kadaara_jonni_skaak:task00_message_box_text		-1	-1	-1	-1																																
quest.task.ground.destroy_multi	@quest/ground/naboo_kadaara_jonni_skaak:task01_journal_entry_title	@quest/ground/naboo_kadaara_jonni_skaak:task01_journal_entry_description	1			0	2		jonni_skaak_journal_entry_1b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										nightspider		14	0	0																										
quest.task.ground.show_message_box	@quest/ground/naboo_kadaara_jonni_skaak:task02_journal_entry_title	@quest/ground/naboo_kadaara_jonni_skaak:task02_journal_entry_description	1			0	3		jonni_skaak_journal_entry_2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/naboo_kadaara_jonni_skaak:task02_message_box_title	@quest/ground/naboo_kadaara_jonni_skaak:task02_message_box_text		-1	-1	-1	-1																																
quest.task.ground.destroy_multi	@quest/ground/naboo_kadaara_jonni_skaak:task03_journal_entry_title	@quest/ground/naboo_kadaara_jonni_skaak:task03_journal_entry_description	1			0	4		jonni_skaak_journal_entry_2b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									naboo_nightspider_nocturlan			1	0	0																										
quest.task.ground.show_message_box	@quest/ground/naboo_kadaara_jonni_skaak:task04_journal_entry_title	@quest/ground/naboo_kadaara_jonni_skaak:task04_journal_entry_description	1			0	5,6,7		jonni_skaak_journal_entry_3	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/naboo_kadaara_jonni_skaak:task04_message_box_title	@quest/ground/naboo_kadaara_jonni_skaak:task04_message_box_text		-1	-1	-1	-1																																
quest.task.ground.destroy_multi	@quest/ground/naboo_kadaara_jonni_skaak:task05_journal_entry_title	@quest/ground/naboo_kadaara_jonni_skaak:task05_journal_entry_description	1			0			jonni_skaak_journal_entry_3d	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									naboo_beachcomber_lonnley_bolgar			1	0	0																										
quest.task.ground.destroy_multi	@quest/ground/naboo_kadaara_jonni_skaak:task06_journal_entry_title	@quest/ground/naboo_kadaara_jonni_skaak:task06_journal_entry_description	1			0			jonni_skaak_journal_entry_3c	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0										beachcomber		13	0	0																										
quest.task.ground.wait_for_tasks			0			0	8		jonni_skaak_journal_entry_3b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0														0	quest/naboo_kadaara_jonni_skaak	jonni_skaak_journal_entry_3c	@quest/ground/naboo_kadaara_jonni_skaak:task07_task_display_string_1	quest/naboo_kadaara_jonni_skaak	jonni_skaak_journal_entry_3d	@quest/ground/naboo_kadaara_jonni_skaak:task07_task_display_string_2																				
quest.task.ground.show_message_box	@quest/ground/naboo_kadaara_jonni_skaak:task08_journal_entry_title	@quest/ground/naboo_kadaara_jonni_skaak:task08_journal_entry_description	1			0	9		jonni_skaak_journal_entry_4	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/naboo_kadaara_jonni_skaak:task08_message_box_title	@quest/ground/naboo_kadaara_jonni_skaak:task08_message_box_text		-1	-1	-1	-1																																
