ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	CHANCE_TO_SKIP	CREATURE_TYPE	MIN_COUNT	MAX_COUNT	MIN_DISTANCE	MAX_DISTANCE	MIN_LEVEL_DIFFERENCE	MAX_LEVEL_DIFFERENCE	GROUND_START_COMBAT	BUFF_NAME	DISMOUNT_PLAYER	MOUNT_BLOCK_DURATION	SHIP_TYPE	SHIP_MIN_COUNT	SHIP_MAX_COUNT	SPACE_START_COMBAT	HYPERSPACE_BLOCK_DURATION	MIN_START_DELAY	MAX_START_DELAY	COUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	i	i	i	i	i	s	i	s	i	i	s	i	s	i	i	i	i	i	i	b	s	b	i	s	i	i	b	i	i	i	i
quest.task.ground.nothing			0			0	1,4,10,13,14		ac_hoolar_01_null	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task01_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task01_journal_entry_description	1			0	2,3		ac_30_hoolar_01_wfs_task_complete	0				0	none	none				1		1			1	corellia	-3676	101	3404			@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task01_waypoint_name	0	0.0	0.0	0.0		ac_30_hoolar_01_task_complete	0			0		0	0	0	0																																					
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task02_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task02_journal_entry_description	1			0			ac_30_hoolar_01_wfs_quest_complete	0				0	complete	none			ac_ongoing_launchpad_loruna_repeater	0		1			1	corellia	-4795	4	-1951			@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task02_waypoint_name	0	0.0	0.0	0.0		ac_quest_complete	0			0		0	0	0	0																																					
quest.task.ground.comm_player			0			0			ac_30_hoolar_01_wfs_task_complete_comm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task03_comm_message_text	object/mobile/azure_cabal_hoolar.iff																																			
quest.task.ground.destroy_multi_and_loot	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task04_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task04_journal_entry_description	1			0	5		ac_30_hoolar_01_dml2	0				1	none	none				1		1			0	tatooine	0	0	0				0	0.0	0.0	0.0											0			azure_cabal_frosch_researcher			Bacta Chemical Diagram	1	25	0	0	0																										
quest.task.ground.comm_player			0			0	6		ac_30_hoolar_01_dml2_comm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task05_comm_message_text	object/mobile/azure_cabal_hoolar.iff																																			
quest.task.ground.retrieve_item	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task06_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task06_journal_entry_description	1			0	7		ac_30_hoolar_01_dml2_retrieve	0				0	none	none				1		1	ac_30_hoolar_01_task_complete		0	tatooine	0	0	0			@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task06_waypoint_name	0	0.0	0.0	0.0											0									0	0		object/tangible/quest/ac_terminal_loc3_03.iff	1	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task06_item_name	100	0																					
quest.task.ground.comm_player			0			0	8,9		ac_30_hoolar_01_dml2_comm2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task07_comm_message_text	object/mobile/azure_cabal_hoolar.iff																																			
quest.task.ground.spawn	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task08_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task08_journal_entry_description	1			0			ac_30_hoolar_01_dml2_spawn	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													0	azure_cabal_frosch_guard	2	3	5	15	0	0	1		0	0		1	0	0	0	45	75	
quest.task.ground.spawn	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task09_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task09_journal_entry_description	0			0			ac_30_hoolar_01_dml2_spawn	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													50	azure_cabal_sb_slayer	1	2	5	15	0	0	1		0	0		1	0	0	0	3	10	
quest.task.ground.destroy_multi_and_loot	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task10_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task10_journal_entry_description	1			0	11		ac_30_hoolar_01_dml1	0				1	none	none				1		1			0	naboo	0	0	0				0	0.0	0.0	0.0											0			azure_cabal_frosch_cryptoanalyst			Frosch Clearance Code	1	40	5	12	0																										
quest.task.ground.comm_player			0			0	12		ac_30_hoolar_01_dml1_comm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task11_comm_message_text	object/mobile/azure_cabal_hoolar.iff																																			
quest.task.ground.retrieve_item	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task12_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task12_journal_entry_description	1			0			ac_30_hoolar_01_dml1_retrieve	0				0	none	none				1		1	ac_30_hoolar_01_task_complete		0	naboo	0	0	0				0	0.0	0.0	0.0											0									0	0		object/tangible/quest/ac_quest_loc3_bacta_tank.iff	1	@quest/ground/ac_repeater_loruna_enf_30_dnpc2_hoolar_01:task12_item_name	100	4																					
