ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	i	i	i	i	i	i	i
quest.task.ground.comm_player			0			0	1		griffaxJinComm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_04:task00_comm_message_text	object/mobile/scientist_griffax_jin.iff																					
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_04:task01_journal_entry_title	@quest/ground/outbreak_quest_facility_04:task01_journal_entry_description	1			0	2		traceCall	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				hasTracedCall	0			0		0	0	0	0											
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_04:task02_journal_entry_title	@quest/ground/outbreak_quest_facility_04:task02_journal_entry_description	1			0	3		findJin	0				0	none	none				1		1			1	dathomir	-7269	499	-7576			@quest/ground/outbreak_quest_facility_04:task02_waypoint_name	0	0.0	0.0	0.0				hasFoundJin	0			0		0	0	0	0											
quest.task.ground.destroy_multi_and_loot	@quest/ground/outbreak_quest_facility_04:task03_journal_entry_title	@quest/ground/outbreak_quest_facility_04:task03_journal_entry_description	1			0	4		defeatJin	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													0	outbreak_scientist_griffax_jin_afflicted			Unmutated Blackwing Sample	1	100	0	0	0		
quest.task.ground.timer			0			0	5		timerTask	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							5	5
quest.task.ground.comm_player			0			0	6		scientistCom	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_04:task05_comm_message_text	object/mobile/dressed_twi_female_scientist_01.iff																					
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_04:task06_journal_entry_title	@quest/ground/outbreak_quest_facility_04:task06_journal_entry_description	1			0	7		unlockSeal	0				0	none	none				1		1			1	dathomir	-7344	505	-7534			@quest/ground/outbreak_quest_facility_04:task06_waypoint_name	0	0.0	0.0	0.0				sealUnlocked	0			0		0	0	0	0											
quest.task.ground.comm_player			0			0	8		nomiComm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/outbreak_quest_facility_04:task07_comm_message_text	object/mobile/dressed_twi_female_scientist_01.iff																					
quest.task.ground.wait_for_signal	@quest/ground/outbreak_quest_facility_04:task08_journal_entry_title	@quest/ground/outbreak_quest_facility_04:task08_journal_entry_description	1			0			speakNomi	0				0	none	none				1		1			1	dathomir	-7622	533	-7467			@quest/ground/outbreak_quest_facility_04:task08_waypoint_name	0	0.0	0.0	0.0				hasSpokenNomi	0			0		0	0	0	0											
