ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	i	i	s
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_02:task00_journal_entry_title	@quest/ground/corellia_39_chirq_council_02:task00_journal_entry_description	1			0	1,9,10,11		chirq_council_02_01	1				0	none	none				1		1			1	corellia	3254	300	5453			@quest/ground/corellia_39_chirq_council_02:task00_waypoint_name	0	0.0	0.0	0.0		corellia_chirq_trins_evnar			1	0	0																																			
quest.task.ground.wait_for_tasks	@quest/ground/corellia_39_chirq_council_02:task01_journal_entry_title	@quest/ground/corellia_39_chirq_council_02:task01_journal_entry_description	1			0	2		chirq_council_02_02	1				0	none	none				1		1			1	corellia	3254	300	5453			@quest/ground/corellia_39_chirq_council_02:task01_waypoint_name	0	0.0	0.0	0.0							0	quest/corellia_39_chirq_council_02	chirq_council_02_02a	@quest/ground/corellia_39_chirq_council_02:task01_task_display_string_1	quest/corellia_39_chirq_council_02	chirq_council_02_02b	@quest/ground/corellia_39_chirq_council_02:task01_task_display_string_2	quest/corellia_39_chirq_council_02	chirq_council_02_02c	@quest/ground/corellia_39_chirq_council_02:task01_task_display_string_3																										
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_02:task02_journal_entry_title	@quest/ground/corellia_39_chirq_council_02:task02_journal_entry_description	1			0	3,6,7,8		chirq_council_02_03	1				0	none	none				1		1			1	corellia	3178	300	5372			@quest/ground/corellia_39_chirq_council_02:task02_waypoint_name	0	0.0	0.0	0.0							0																			chirq_council_02_03	0			0		0	0	0								
quest.task.ground.wait_for_tasks	@quest/ground/corellia_39_chirq_council_02:task03_journal_entry_title	@quest/ground/corellia_39_chirq_council_02:task03_journal_entry_description	1			0	4		chirq_council_02_04	1				0	none	none				1		1			1	corellia	3659	195	5351			@quest/ground/corellia_39_chirq_council_02:task03_waypoint_name	0	0.0	0.0	0.0							0	quest/corellia_39_chirq_council_02	chirq_council_02_04b	@quest/ground/corellia_39_chirq_council_02:task03_task_display_string_1	quest/corellia_39_chirq_council_02	chirq_council_02_04c	@quest/ground/corellia_39_chirq_council_02:task03_task_display_string_2	quest/corellia_39_chirq_council_02	chirq_council_02_04a	@quest/ground/corellia_39_chirq_council_02:task03_task_display_string_3																										
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_02:task04_journal_entry_title	@quest/ground/corellia_39_chirq_council_02:task04_journal_entry_description	1			0	5		chirq_council_02_05	1				0	none	none				1		1			1	corellia	3133	300	5293			@quest/ground/corellia_39_chirq_council_02:task04_waypoint_name	0	0.0	0.0	0.0		corellia_chirq_jade_mcdonagh			1	0	0																																			
quest.task.ground.complete_quest			0			0			chirq_council_02_05b	0				0	none	none			quest/corellia_39_chirq_council_02b	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																										
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_02:task06_journal_entry_title	@quest/ground/corellia_39_chirq_council_02:task06_journal_entry_description	1			0			chirq_council_02_04c	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		corellia_chirq_seyda_shae			1	0	0																																			
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_02:task07_journal_entry_title	@quest/ground/corellia_39_chirq_council_02:task07_journal_entry_description	1			0			chirq_council_02_04b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		corellia_chirq_genovin_jasha			1	0	0																																			
quest.task.ground.retrieve_item	@quest/ground/corellia_39_chirq_council_02:task08_journal_entry_title	@quest/ground/corellia_39_chirq_council_02:task08_journal_entry_description	1			0			chirq_council_02_04a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0							0																												object/tangible/quest/corellia/corellia_39_genovin_seyda_mainframe.iff	1	@quest/ground/corellia_39_chirq_council_02:task08_item_name	100	0	0	0	@quest/ground/corellia_39_chirq_council_02:task08_retrieve_menu_text
