ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	MIN_TIME	MAX_TIME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	i	i	i	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/npe_boba:task00_journal_entry_title	@quest/ground/npe_boba:task00_journal_entry_description	1			0	1		ratheb	1							1		1			1	dungeon1	-162.899993896484	0.00999999977648258	169	yavin4	cantina	@quest/ground/npe_boba:task00_waypoint_name	0	0.0	0.0	0.0		strong_arm	0			0		0	0	0	0																														
quest.task.ground.wait_for_signal	@quest/ground/npe_boba:task01_journal_entry_title	@quest/ground/npe_boba:task01_journal_entry_description	1			0	2			0							1		1			1	dungeon1	-110	-1	150	yavin4	elevator	@quest/ground/npe_boba:task01_waypoint_name	0	0.0	0.0	0.0		npe_elevator_main_up	0			0		0	0	0	0																														
quest.task.ground.destroy_multi	@quest/ground/npe_boba:task02_journal_entry_title	@quest/ground/npe_boba:task02_journal_entry_description	1			0	3		arslynd	1							1		1			1	dungeon1	-146	31	197	yavin4	greenhouse	@quest/ground/npe_boba:task02_waypoint_name	0	0.0	0.0	0.0											0	npe_bounty			1	0																									
quest.task.ground.timer			0			0	4			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																	3	5																							
quest.task.ground.comm_player			0			0	5		boba_comm	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																			@quest/ground/npe_boba:task04_comm_message_text	object/mobile/boba_fett.iff																					
quest.task.ground.reward			0			0	6			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0															1							0	Rebel	0	500		1			1	0.1	0.1	0.1	0.1		1	0.1				
quest.task.ground.destroy_multi_and_loot	@quest/ground/npe_boba:task06_journal_entry_title	@quest/ground/npe_boba:task06_journal_entry_description	1			0	7		kill	1							1		1			1	dungeon1	-254	29	144	yavin4	r30	@quest/ground/npe_boba:task06_waypoint_name	0	0.0	0.0	0.0											0	npe_bounty_2				0																							Cargo Manifest	1	100
quest.task.ground.wait_for_signal	@quest/ground/npe_boba:task07_journal_entry_title	@quest/ground/npe_boba:task07_journal_entry_description	1			0	8			0							1		1			1	dungeon1	-110	29	150	yavin4	elevator	@quest/ground/npe_boba:task07_waypoint_name	0	0.0	0.0	0.0		npe_elevator_atrium_down	0			0		0	0	0	0																														
quest.task.ground.wait_for_signal	@quest/ground/npe_boba:task08_journal_entry_title	@quest/ground/npe_boba:task08_journal_entry_description	1			0	9		return	0							1		1			1	dungeon1	-143.899993896484	0.00999999977648258	127.400001525879	yavin4	cantina	@quest/ground/npe_boba:task08_waypoint_name	0	0.0	0.0	0.0		npe_boba_signal	0			0		0	0	0	0																														
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																									
