ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	i	s	i	i	i	i	s	s	s	s	s	i	i	i	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1,4,10,13,14		ac_camdoen_02_null	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																															
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task01_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task01_journal_entry_description	1			0	2,3		ac_30_camdoen_02_wfs_task_complete	0				0	none	none				1		1			1	naboo	-4038	64	-655			@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task01_waypoint_name	0	0.0	0.0	0.0		ac_30_camdoen_02_task_complete	0			0		0	0	0	0																																				
quest.task.ground.wait_for_signal	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task02_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task02_journal_entry_description	1			0			ac_30_camdoen_02_wfs_quest_complete	0				0	complete	none			ac_ongoing_launchpad_loruna_repeater	0		1			1	naboo	1775	12	2623			@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task02_waypoint_name	0	0.0	0.0	0.0		ac_quest_complete	0			0		0	0	0	0																																				
quest.task.ground.comm_player			0			0			ac_30_camdoen_02_wfs_task_complete_comm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task03_comm_message_text	object/mobile/azure_cabal_camdoen.iff																																		
quest.task.ground.retrieve_item	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task04_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task04_journal_entry_description	1			0	5,9		ac_30_camdoen_02_retrieve_01	0				1	none	none				1		1			1	naboo	-5424	14	3583			@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task04_waypoint_name	0	0.0	0.0	0.0											0			object/tangible/quest/ac_quest_loc5_memorial.iff	1	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task04_item_name	100	0	0	2																											
quest.task.ground.comm_player			0			0	6		ac_30_camdoen_02_retrieve_comm_01	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task05_comm_message_text	object/mobile/azure_cabal_camdoen.iff																																		
quest.task.ground.retrieve_item	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task06_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task06_journal_entry_description	1			0	7		ac_30_camdoen_02_retrieve_02	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0			object/tangible/quest/ac_quest_loc6_emberlene_essence.iff	1	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task06_item_name	100	0	0	2																											
quest.task.ground.destroy_multi_and_loot	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task07_journal_entry_title	@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task07_journal_entry_description	1			0		8	ac_30_camdoen_02_dml1	0				0	none	none				1		1	ac_30_camdoen_02_task_complete		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											1200							5	15			azure_cabal_nikto_fatalist			Spread Mystril Scent	1	15	0																			
quest.task.ground.comm_player			0			0				0				0	clear	none			ac_ongoing_launchpad_loruna_repeater	0		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												@quest/ground/ac_repeater_loruna_enf_30_dnpc3_camdoen_02:task08_comm_message_text	object/mobile/azure_cabal_camdoen.iff																																		
