ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	s	s	i	i	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1			0	sound/mus_mustafar_quest_exception.snd						1		1	0	tatooine	0.0	0.0	0.0																																																										
quest.task.ground.go_to_location	@quest/ground/som_xandank_trophey:task01_journal_entry_title	@quest/ground/som_xandank_trophey:task01_journal_entry_description	1			0	2		xandank_trophy_one	1							1		1	1	mustafar	-4780	194	4474			@quest/ground/som_xandank_trophey:task01_waypoint_name	50	0																																																					
quest.task.ground.wait_for_signal	@quest/ground/som_xandank_trophey:task02_journal_entry_title	@quest/ground/som_xandank_trophey:task02_journal_entry_description	1			0	3		xandank_trophy_two	1							1		1	0	tatooine	0.0	0.0	0.0					0	xandank_trophy_signal_one	0			0		0	0	0																																												
quest.task.ground.go_to_location	@quest/ground/som_xandank_trophey:task03_journal_entry_title	@quest/ground/som_xandank_trophey:task03_journal_entry_description	1			0	4		xandank_trophy_three	1							1		1	1	mustafar	-4361	55	4474			@quest/ground/som_xandank_trophey:task03_waypoint_name	50	0																																																					
quest.task.ground.wait_for_signal	@quest/ground/som_xandank_trophey:task04_journal_entry_title	@quest/ground/som_xandank_trophey:task04_journal_entry_description	1			0	5		xandank_trophy_four	1							1		1	0	tatooine	0.0	0.0	0.0					0	xandank_trophy_signal_two	0			0		0	0	0																																												
quest.task.ground.go_to_location	@quest/ground/som_xandank_trophey:task05_journal_entry_title	@quest/ground/som_xandank_trophey:task05_journal_entry_description	1			0	6,7,8		xandank_trophy_five	1							1		1	1	mustafar	-4586	48	5104			@quest/ground/som_xandank_trophey:task05_waypoint_name	75	0																																																					
quest.task.ground.destroy_multi	@quest/ground/som_xandank_trophey:task06_journal_entry_title	@quest/ground/som_xandank_trophey:task06_journal_entry_description	1			0			xandank_trophy_seven	1							1		1	0	tatooine	0.0	0.0	0.0					0										som_xandank_pack			6	0																																							
quest.task.ground.destroy_multi_and_loot	@quest/ground/som_xandank_trophey:task07_journal_entry_title	@quest/ground/som_xandank_trophey:task07_journal_entry_description	1			0			xandank_trophy_six	1							1		1	0	tatooine	0.0	0.0	0.0					0										som_xandank_packleader				0	Head of the Packleader	1	100																																				
quest.task.ground.wait_for_tasks	@quest/ground/som_xandank_trophey:task08_journal_entry_title	@quest/ground/som_xandank_trophey:task08_journal_entry_description	1			0	9		xandank_trophy_eight	1							1		1	0	tatooine	0.0	0.0	0.0					0																		quest/som_xandank_trophey	xandank_trophy_six	@quest/ground/som_xandank_trophey:task08_task_display_string_1	quest/som_xandank_trophey	xandank_trophy_seven	@quest/ground/som_xandank_trophey:task08_task_display_string_2																														
