ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	MIN_TIME	MAX_TIME	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	i	i	s	s	s	b	s	s	s	s	f	f	f	i	s	s	i	i	i	s	s	s	i	s	i	s	s	s	s	s	i	i	i	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.timer	@quest/ground/tatooine_knives_thrust:task00_journal_entry_title	@quest/ground/tatooine_knives_thrust:task00_journal_entry_description	1			0	1		tatooine_knives_thrust_e2	1							1		1	0	tatooine	0.0	0.0	0.0				5	20																																																	
quest.task.ground.comm_player	@quest/ground/tatooine_knives_thrust:task01_journal_entry_title	@quest/ground/tatooine_knives_thrust:task01_journal_entry_description	0			0	2		tatooine_knives_thrust_e3	0							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/tatooine_knives_thrust:task01_comm_message_text	object/mobile/dressed_tatooine_labria.iff																																															
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_thrust:task02_journal_entry_title	@quest/ground/tatooine_knives_thrust:task02_journal_entry_description	1			0	3		tatooine_knives_thrust_e4	1							1		1	1	tatooine	3330	0	-4860			@quest/ground/tatooine_knives_thrust:task02_waypoint_name					tatooine_knives_thrust_launch_e5	0			0		0	0	0	0																																					
quest.task.ground.go_to_location	@quest/ground/tatooine_knives_thrust:task03_journal_entry_title	@quest/ground/tatooine_knives_thrust:task03_journal_entry_description	1			0	4		tatoonie_knives_thrust_e67	0							1		1	1	tatooine	3290	0.0	-4927			@quest/ground/tatooine_knives_thrust:task03_waypoint_name															10.0																																				
quest.task.ground.encounter	@quest/ground/tatooine_knives_thrust:task04_journal_entry_title	@quest/ground/tatooine_knives_thrust:task04_journal_entry_description	0			0	6	5	tatoonie_knives_thrust_e6	0							1		1	0	tatooine	3281	0.0	-4941																	0		tatooine_junk_battle_droid	1	1	1	0	0																														
quest.task.ground.clear_quest	@quest/ground/tatooine_knives_thrust:task05_journal_entry_title	@quest/ground/tatooine_knives_thrust:task05_journal_entry_description	1			0			tatooine_knives_thrust_e7	0							1		1	0	tatooine	0.0	0.0	0.0																																																						
quest.task.ground.retrieve_item	@quest/ground/tatooine_knives_thrust:task06_journal_entry_title	@quest/ground/tatooine_knives_thrust:task06_journal_entry_description	1			0	7		tatoonie_knives_thrust_e65	0							1		1	1	tatooine	3286	0.0	-4939	tatooine	bedroom1	@quest/ground/tatooine_knives_thrust:task06_waypoint_name														0								object/tangible/quest/knives_thrust_datapad.iff	1	@quest/ground/tatooine_knives_thrust:task06_item_name	100	@quest/ground/tatooine_knives_thrust:task06_retrieve_menu_text																									
quest.task.ground.wait_for_signal	@quest/ground/tatooine_knives_thrust:task07_journal_entry_title	@quest/ground/tatooine_knives_thrust:task07_journal_entry_description	1			0	8		tatooine_knives_thrust_e8	0							1		1	1	tatooine	3374	0.0	-4605	tatooine	cafe	@quest/ground/tatooine_knives_thrust:task07_waypoint_name					tatooine_knives_thrust_launch_e9	0			0		0	0	0	0																																					
quest.task.ground.go_to_location	@quest/ground/tatooine_knives_thrust:task08_journal_entry_title	@quest/ground/tatooine_knives_thrust:task08_journal_entry_description	1			0	9		tatooine_knives_thrust_e107	0							1		1	1	tatooine	3448	0.0	-4919			@quest/ground/tatooine_knives_thrust:task08_waypoint_name															10.0																																				
