ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	RETRIEVE_MENU_TEXT	START_MESSAGE	PRIMARY_TARGET_WAVE_1	UTTERANCE_WAVE_1	RADIUS_WAVE_1	GUARDS_SPAWNED_WAVE_1	NUM_GUARDS_WAVE_1	DELAY_WAVE_1	PRIMARY_TARGET_WAVE_2	UTTERANCE_WAVE_2	RADIUS_WAVE_2	GUARDS_SPAWNED_WAVE_2	NUM_GUARDS_WAVE_2	DELAY_WAVE_2	PRIMARY_TARGET_WAVE_3	UTTERANCE_WAVE_3	RADIUS_WAVE_3	GUARDS_SPAWNED_WAVE_3	NUM_GUARDS_WAVE_3	DELAY_WAVE_3	PRIMARY_TARGET_WAVE_4	UTTERANCE_WAVE_4	RADIUS_WAVE_4	GUARDS_SPAWNED_WAVE_4	NUM_GUARDS_WAVE_4	DELAY_WAVE_4	PRIMARY_TARGET_WAVE_5	UTTERANCE_WAVE_5	RADIUS_WAVE_5	GUARDS_SPAWNED_WAVE_5	NUM_GUARDS_WAVE_5	DELAY_WAVE_5	PRIMARY_TARGET_WAVE_6	UTTERANCE_WAVE_6	RADIUS_WAVE_6	GUARDS_SPAWNED_WAVE_6	NUM_GUARDS_WAVE_6	DELAY_WAVE_6	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	s	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	i	i	i	s	s
quest.task.ground.wait_for_signal	@quest/ground/axkva_min_intro:task00_journal_entry_title	@quest/ground/axkva_min_intro:task00_journal_entry_description	1			0	1		axkva_min_intro_01	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		axkva_min_intro_01	0			0		0	0	0	0																																																																	
quest.task.ground.wait_for_signal	@quest/ground/axkva_min_intro:task01_journal_entry_title	@quest/ground/axkva_min_intro:task01_journal_entry_description	1			0	2		axkva_min_intro_02	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		axkva_min_intro_02	0			0		0	0	0	0																																																																	
quest.task.ground.wave_event_player	@quest/ground/axkva_min_intro:task02_journal_entry_title	@quest/ground/axkva_min_intro:task02_journal_entry_description	1			0	3		axkva_min_intro_03	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/township/axkva_nightsister_scroll.iff	@quest/ground/axkva_min_intro:task02_retrieve_menu_text	@quest/ground/axkva_min_intro:task02_start_message	nightsister_protector	@quest/ground/axkva_min_intro:task02_utterance_wave_1	3		0	3	nightsister_sentry	@quest/ground/axkva_min_intro:task02_utterance_wave_2	3	nightsister_sentry	1	4	nightsister_protector	@quest/ground/axkva_min_intro:task02_utterance_wave_3	3		0	2			1.0		0	0			1.0		0	0			1.0		0	0																										
quest.task.ground.wait_for_signal	@quest/ground/axkva_min_intro:task03_journal_entry_title	@quest/ground/axkva_min_intro:task03_journal_entry_description	1			0	4,11,12,13,14		axkva_min_intro_04	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		axkva_min_intro_04	0			0		0	0	0	0																																																																	
quest.task.ground.wait_for_tasks	@quest/ground/axkva_min_intro:task04_journal_entry_title	@quest/ground/axkva_min_intro:task04_journal_entry_description	1			0	5		axkva_min_intro_05	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																																								quest/axkva_min_intro	axkva_min_intro_05a	@quest/ground/axkva_min_intro:task04_task_display_string_1	quest/axkva_min_intro	axkva_min_intro_05b	@quest/ground/axkva_min_intro:task04_task_display_string_2	quest/axkva_min_intro	axkva_min_intro_05c	@quest/ground/axkva_min_intro:task04_task_display_string_3	quest/axkva_min_intro	axkva_min_intro_05d	@quest/ground/axkva_min_intro:task04_task_display_string_4														
quest.task.ground.wait_for_signal	@quest/ground/axkva_min_intro:task05_journal_entry_title	@quest/ground/axkva_min_intro:task05_journal_entry_description	1			0	6		axkva_min_intro_06	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		axkva_min_intro_06	0			0		0	0	0	0																																																																	
quest.task.ground.retrieve_item	@quest/ground/axkva_min_intro:task06_journal_entry_title	@quest/ground/axkva_min_intro:task06_journal_entry_description	1			0	7		axkva_min_intro_07	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/township/axkva_nightsister_shards.iff	@quest/ground/axkva_min_intro:task06_retrieve_menu_text																																																								1	@quest/ground/axkva_min_intro:task06_item_name	100	0	0	3		
quest.task.ground.comm_player	@quest/ground/axkva_min_intro:task07_journal_entry_title	@quest/ground/axkva_min_intro:task07_journal_entry_description	1			0	8		axkva_min_intro_08	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																																											@quest/ground/axkva_min_intro:task07_comm_message_text	object/mobile/dressed_fs_village_elder.iff
quest.task.ground.retrieve_item	@quest/ground/axkva_min_intro:task08_journal_entry_title	@quest/ground/axkva_min_intro:task08_journal_entry_description	1			0	9		axkva_min_intro_09	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/township/axkva_nightsister_shards.iff	@quest/ground/axkva_min_intro:task08_retrieve_menu_text																																																								1	@quest/ground/axkva_min_intro:task08_item_name	100	0	0	4		
quest.task.ground.comm_player	@quest/ground/axkva_min_intro:task09_journal_entry_title	@quest/ground/axkva_min_intro:task09_journal_entry_description	1			0	10		axkva_min_intro_10	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																																											@quest/ground/axkva_min_intro:task09_comm_message_text	object/mobile/dressed_fs_village_elder.iff
quest.task.ground.complete_quest			0			0			axkva_min_intro_11	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																																												
quest.task.ground.wave_event_player	@quest/ground/axkva_min_intro:task11_journal_entry_title	@quest/ground/axkva_min_intro:task11_journal_entry_description	1			0			axkva_min_intro_05d	1				0	none	none				1		1			1	dathomir	-3133	124	1165			@quest/ground/axkva_min_intro:task11_waypoint_name	0	0.0	0.0	0.0											0	object/tangible/quest/township/axkva_shadow_torch.iff	@quest/ground/axkva_min_intro:task11_retrieve_menu_text	@quest/ground/axkva_min_intro:task11_start_message	township_shadow_assassin	@quest/ground/axkva_min_intro:task11_utterance_wave_1	3	township_shadow_assassin	1	3	township_shadow_executioner	@quest/ground/axkva_min_intro:task11_utterance_wave_2	3		0	3	township_shadow_kylaena	@quest/ground/axkva_min_intro:task11_utterance_wave_3	3	township_shadow_kylaena	0	4			1.0		0	0			1.0		0	0			1.0		0	0																										
quest.task.ground.wave_event_player	@quest/ground/axkva_min_intro:task12_journal_entry_title	@quest/ground/axkva_min_intro:task12_journal_entry_description	1			0			axkva_min_intro_05c	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/township/axkva_dark_jedi_statue.iff	@quest/ground/axkva_min_intro:task12_retrieve_menu_text	@quest/ground/axkva_min_intro:task12_start_message	itp_vader_dark_jedi	@quest/ground/axkva_min_intro:task12_utterance_wave_1	3		0	2	itp_vader_dark_jedi	@quest/ground/axkva_min_intro:task12_utterance_wave_2	3		0	3	township_dark_jedi_ras	@quest/ground/axkva_min_intro:task12_utterance_wave_3	3		0	4			1.0		0	0			1.0		0	0			1.0		0	0																										
quest.task.ground.wave_event_player	@quest/ground/axkva_min_intro:task13_journal_entry_title	@quest/ground/axkva_min_intro:task13_journal_entry_description	1			0			axkva_min_intro_05b	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/township/axkva_nightsister_skull.iff	@quest/ground/axkva_min_intro:task13_retrieve_menu_text	@quest/ground/axkva_min_intro:task13_start_message	nightsister_spell_weaver	@quest/ground/axkva_min_intro:task13_utterance_wave_1	3		0	2	nightsister_rancor_tamer	@quest/ground/axkva_min_intro:task13_utterance_wave_2	3		0	3	nightsister_spell_weaver	@quest/ground/axkva_min_intro:task13_utterance_wave_3	3		0	3	township_nightsister_aranei	@quest/ground/axkva_min_intro:task13_utterance_wave_4	3		0	4			1.0		0	0			1.0		0	0																										
quest.task.ground.wave_event_player	@quest/ground/axkva_min_intro:task14_journal_entry_title	@quest/ground/axkva_min_intro:task14_journal_entry_description	1			0			axkva_min_intro_05a	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/township/axkva_singing_mtn_gong.iff	@quest/ground/axkva_min_intro:task14_retrieve_menu_text	@quest/ground/axkva_min_intro:task14_start_message	singing_mtn_clan_guardian	@quest/ground/axkva_min_intro:task14_utterance_wave_1	3		0	2	singing_mtn_clan_dragoon	@quest/ground/axkva_min_intro:task14_utterance_wave_2	3		0	3	singing_mtn_clan_arch_witch	@quest/ground/axkva_min_intro:task14_utterance_wave_3	3		0	3	township_singing_mtn_clan_gilsaria	@quest/ground/axkva_min_intro:task14_utterance_wave_4	3		0	4			1.0		0	0			1.0		0	0																										
