ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing	@quest/ground/talus_dearic_crisis_of_allegiance:task00_journal_entry_title	@quest/ground/talus_dearic_crisis_of_allegiance:task00_journal_entry_description	1			0	1,6		talus_dearic_coa_dathnaeyas_request_wfs	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																														
quest.task.ground.wait_for_signal	@quest/ground/talus_dearic_crisis_of_allegiance:task01_journal_entry_title	@quest/ground/talus_dearic_crisis_of_allegiance:task01_journal_entry_description	1			0	2		talus_dearic_coa_report_rebels_wfs	0							1		1			1	talus	284	6	-3136			@quest/ground/talus_dearic_crisis_of_allegiance:task01_waypoint_name	0	0.0	0.0	0.0		talus_dearic_coa_spoke_with_vayde	0			0		0	0	0	0																			
quest.task.ground.wait_for_signal	@quest/ground/talus_dearic_crisis_of_allegiance:task02_journal_entry_title	@quest/ground/talus_dearic_crisis_of_allegiance:task02_journal_entry_description	1			0	3		talus_dearic_coa_investigate_reb_ally_wfs	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		talus_dearic_aclo_investigated	0			0		0	0	0	0																			
quest.task.ground.wait_for_signal	@quest/ground/talus_dearic_crisis_of_allegiance:task03_journal_entry_title	@quest/ground/talus_dearic_crisis_of_allegiance:task03_journal_entry_description	1			0	4,5		talus_dearic_coa_dathnaeya_choose_alliance_wfs	0							1		1			1	talus	649	6	-3190			@quest/ground/talus_dearic_crisis_of_allegiance:task03_waypoint_name	0	0.0	0.0	0.0		talus_dearic_coa_dathnaeya_chose_alliance	0			0		0	0	0	0																			
quest.task.ground.complete_quest	@quest/ground/talus_dearic_crisis_of_allegiance:task04_journal_entry_title		0			0			talus_dearic_coa_quest_complete_alliance_benefits_qcm	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																														
quest.task.ground.reward	@quest/ground/talus_dearic_crisis_of_allegiance:task05_journal_entry_title		0			0			talus_dearic_coa_reward_rebel_faction_rwd	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													0	Rebel	0	0		1		1		1	0.1	0.1	0.1	0.1		1	1	
quest.task.ground.wait_for_signal	@quest/ground/talus_dearic_crisis_of_allegiance:task06_journal_entry_title	@quest/ground/talus_dearic_crisis_of_allegiance:task06_journal_entry_description	1			0	7		talus_dearic_coa_report_imperials_wfs	1							1		1			1	talus	515	6	-2825			@quest/ground/talus_dearic_crisis_of_allegiance:task06_waypoint_name	0	0.0	0.0	0.0		talus_dearic_coa_spoke_with_ekirk	0			0		0	0	0	0																			
quest.task.ground.wait_for_signal	@quest/ground/talus_dearic_crisis_of_allegiance:task07_journal_entry_title	@quest/ground/talus_dearic_crisis_of_allegiance:task07_journal_entry_description	1			0	8		talus_dearic_coa_investigate_imp_ally_wfs	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		talus_dearic_nsh_investigated	0			0		0	0	0	0																			
quest.task.ground.wait_for_signal	@quest/ground/talus_dearic_crisis_of_allegiance:task08_journal_entry_title	@quest/ground/talus_dearic_crisis_of_allegiance:task08_journal_entry_description	1			0	9,10		talus_dearic_coa_dathnaeya_choose_empire_wfs	0							1		1			1	talus	649	6	-3190			@quest/ground/talus_dearic_crisis_of_allegiance:task08_waypoint_name	0	0.0	0.0	0.0		talus_dearic_coa_dathnaeya_chose_empire	0			0		0	0	0	0																			
quest.task.ground.complete_quest	@quest/ground/talus_dearic_crisis_of_allegiance:task09_journal_entry_title		0			0			talus_dearic_coa_quest_complete_empire_benefits_qcm	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																														
quest.task.ground.reward	@quest/ground/talus_dearic_crisis_of_allegiance:task10_journal_entry_title		0			0			talus_dearic_coa_reward_imperial_faction_rwd	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													0	Imperial	1000	0		1		1		1	0.1	0.1	0.1	0.1		1	1	
