ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	i	i	i	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.nothing			1			0	1,2,3,5,6,7,8			0							1		1	0	tatooine	0.0	0.0	0.0																																																						
quest.task.ground.retrieve_item			1			0				0							1		1	0	tatooine	0.0	0.0	0.0			1		100																																																	
quest.task.ground.retrieve_item			1			0				0							1		1	0	tatooine	0.0	0.0	0.0			1		100																																																	
quest.task.ground.retrieve_item			1			0	4			0							1		1	0	tatooine	0.0	0.0	0.0			1		100																																																	
quest.task.ground.encounter			1			0				0							1		1	0	tatooine	0.0	0.0	0.0								1	5	50	0.0	0.0																																										
quest.task.ground.retrieve_item			1			0				0							1		1	0	tatooine	0.0	0.0	0.0			1		100																																																	
quest.task.ground.retrieve_item			1			0				0							1		1	0	tatooine	0.0	0.0	0.0			1		100																																																	
quest.task.ground.retrieve_item			1			0				0							1		1	0	tatooine	0.0	0.0	0.0			1		100																																																	
quest.task.ground.wait_for_tasks			1			0	9			0							1		1	0	tatooine	0.0	0.0	0.0																																																						
quest.task.ground.wait_for_signal			1			0	10			0							1		1	0	tatooine	0.0	0.0	0.0																																0			0		0	0	0															
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0								1																																	0	Rebel	0	0			1	0.1	0.1	0.1	0.1		1	0.1
