ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	ITEM_TO_GIVE	NUM_TO_GIVE	CREATE_ITEM	DESTROY_ITEM	TIMER_AMOUNT	REMAINING_TIME	FAIL_ON_LOGOUT	TRAVEL_BLOCK	TRAVEL_BLOCK_ALLOW_LAUNCH	TEXT_TYPE	CHANCE_TO_SKIP	CREATURE_TYPE	MIN_COUNT	MAX_COUNT	MIN_DISTANCE	MAX_DISTANCE	MIN_LEVEL_DIFFERENCE	MAX_LEVEL_DIFFERENCE	GROUND_START_COMBAT	BUFF_NAME	DISMOUNT_PLAYER	MOUNT_BLOCK_DURATION	SHIP_TYPE	SHIP_MIN_COUNT	SHIP_MAX_COUNT	SPACE_START_COMBAT	HYPERSPACE_BLOCK_DURATION	MIN_START_DELAY	MAX_START_DELAY	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	b	b	i	i	b	b	b	e(give=0,deliver=1)[give]	i	s	i	i	i	i	i	i	b	s	b	i	s	i	i	b	i	i	i	s	b	s	s	s	s	f	f	f	s	s
quest.task.ground.nothing			0			0	1,2,3,4,5,6,8,10		smugglerNothing	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																									
quest.task.ground.give_item	@quest/ground/smuggle_generic_1:task01_journal_entry_title	@quest/ground/smuggle_generic_1:task01_journal_entry_description	1			0			deliverKaleb	1				1	complete	none				1		1		smugglerEnemyIncap	1	tatooine	3216	5	-4609			@quest/ground/smuggle_generic_1:task01_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	420	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_1:task02_journal_entry_title	@quest/ground/smuggle_generic_1:task02_journal_entry_description	1			0			deliverJalen	1				1	complete	none				1		1		smugglerEnemyIncap	1	tatooine	-5185	75	-6458			@quest/ground/smuggle_generic_1:task02_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	540	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_1:task03_journal_entry_title	@quest/ground/smuggle_generic_1:task03_journal_entry_description	1			0			deliverDiala	1				1	complete	none				1		1		smugglerEnemyIncap	1	tatooine	-3105	5	2314			@quest/ground/smuggle_generic_1:task03_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	600	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_1:task04_journal_entry_title	@quest/ground/smuggle_generic_1:task04_journal_entry_description	1			0			deliverSarlin	1				1	complete	none				1		1		smugglerEnemyIncap	1	tatooine	1536	7	3052			@quest/ground/smuggle_generic_1:task04_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	720	0	1	1	0	deliver																														
quest.task.ground.give_item	@quest/ground/smuggle_generic_1:task05_journal_entry_title	@quest/ground/smuggle_generic_1:task05_journal_entry_description	1			0			deliverKara	1				1	complete	none				1		1		smugglerEnemyIncap	1	tatooine	3840	17	2336			@quest/ground/smuggle_generic_1:task05_waypoint_name	0	0.0	0.0	0.0		item_smuggler_contraband_crate_01_01	1	1	1	720	0	1	1	0	deliver																														
quest.task.ground.spawn			0			0	7		spawn1	0				0	none	clear				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												25	smuggler_patrol_bh_1	1	2	5	20	2	0	0	caltropSnare	1	15		1	0	0	0	50	90											
quest.task.ground.spawn			0			0			spawn2	0				0	none	clear				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												30	smuggler_patrol_bh_1	1	2	5	20	2	0	0		1	15		1	0	0	0	200	260											
quest.task.ground.wait_for_signal			0			0	9		incapFail	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0																									smugglerEnemyIncap	0			0		0	0	0		
quest.task.ground.comm_player			0			0			commFailure	0				0	clear	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																								@quest/ground/smuggle_generic_1:task09_comm_message_text	object/mobile/smuggler_broker_barak.iff
quest.task.ground.wait_for_signal			0			0	11		patrolHelp	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0						0																									smugglerPatrolHelp	0			0		0	0	0		
quest.task.ground.spawn			0			0			spawnHelp	0				0	none	clear				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0												0	smuggler_patrol_bh_1	1	2	5	10	2	0	1		0	0		1	0	0	0	-1	-1											
