ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	s	i	i	i	s	s	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s
quest.task.ground.wait_for_signal	@quest/ground/c_story1_2_neu:task00_journal_entry_title	@quest/ground/c_story1_2_neu:task00_journal_entry_description	1			0	1		kaila	1							1		1			1	rori	-5286	0.0	-2266			@quest/ground/c_story1_2_neu:task00_waypoint_name	c_story1_2_neu_kaila	0			0		0	0	0	0																									
quest.task.ground.go_to_location	@quest/ground/c_story1_2_neu:task01_journal_entry_title	@quest/ground/c_story1_2_neu:task01_journal_entry_description	1			0	2		gotoambush	1							1		1			1	rori	-2970	0.0	947			@quest/ground/c_story1_2_neu:task01_waypoint_name										0	10.0																								
quest.task.ground.encounter	@quest/ground/c_story1_2_neu:task02_journal_entry_title	@quest/ground/c_story1_2_neu:task02_journal_entry_description	1			0	3	12	ambush1	0							1		1			0	tatooine	0.0	0.0	0.0													0		black_sun_initiate	3	3	8	0.0	0.0																		
quest.task.ground.encounter	@quest/ground/c_story1_2_neu:task03_journal_entry_title		0			0	4	11	ambush2	0							1		1			0	tatooine	0.0	0.0	0.0													0		black_sun_smuggler	3	5	8	0.0	0.0																		
quest.task.ground.encounter	@quest/ground/c_story1_2_neu:task04_journal_entry_title		0			0	5	10	ambush3	0							1		1			0	tatooine	0.0	0.0	0.0													0		black_sun_minion	2	3	8	0.0	0.0																		
quest.task.ground.reward	@quest/ground/c_story1_2_neu:task05_journal_entry_title	@quest/ground/c_story1_2_neu:task05_journal_entry_description	1			0	6		ambushsurvived	1							1		1			0	tatooine	0.0	0.0	0.0																1						0	Rebel	0	0		1	object/tangible/mission/quest_item/syren2_blacksun_base.iff		1	0.1	0.1	0.1	0.1		1	1	
quest.task.ground.go_to_location	@quest/ground/c_story1_2_neu:task06_journal_entry_title	@quest/ground/c_story1_2_neu:task06_journal_entry_description	1			0	7		gotobase	1							1		1			1	rori	4846	0.0	-1084			@quest/ground/c_story1_2_neu:task06_waypoint_name										0	10.0																								
quest.task.ground.wait_for_signal	@quest/ground/c_story1_2_neu:task07_journal_entry_title	@quest/ground/c_story1_2_neu:task07_journal_entry_description	1			0	8		chemist	1							1		1			1	rori	4846	0.0	-1084			@quest/ground/c_story1_2_neu:task07_waypoint_name	c_story1_2_neu_chemist	0			0		0	0	0	0																									
quest.task.ground.wait_for_signal	@quest/ground/c_story1_2_neu:task08_journal_entry_title	@quest/ground/c_story1_2_neu:task08_journal_entry_description	1			0	9		cliff2	1							1		1			1	naboo	-5152	0.0	4293			@quest/ground/c_story1_2_neu:task08_waypoint_name	c_story1_2_neu_cliff2	0			0		0	0	0	0																									
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																																						
quest.task.ground.clear_quest	@quest/ground/c_story1_2_neu:task10_journal_entry_title		1			0				1							1		1			0	tatooine	0.0	0.0	0.0																																						
quest.task.ground.clear_quest	@quest/ground/c_story1_2_neu:task11_journal_entry_title		1			0				1							1		1			0	tatooine	0.0	0.0	0.0																																						
quest.task.ground.clear_quest	@quest/ground/c_story1_2_neu:task12_journal_entry_title		1			0				1							1		1			0	tatooine	0.0	0.0	0.0																																						
