ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	PERFORM_DURATION	PERFORM_CELLNAME	PERFORM_BUILDING	PERFORM_TYPE	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	i	i	s	s	s	i	s	s	i	s	i	s	i	i	s	i	s	i	S	S	S	S	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/npe_main_quest_2:task00_journal_entry_title	@quest/ground/npe_main_quest_2:task00_journal_entry_description	1			0	1		inaldra1	1							1		1	0	tatooine	0.0	0.0	0.0		npe_main2_inaldra_open	0			0		0	0	0																											
quest.task.ground.wait_for_signal	@quest/ground/npe_main_quest_2:task01_journal_entry_title	@quest/ground/npe_main_quest_2:task01_journal_entry_description	1			0	2		han1	0							1		1	0	tatooine	0.0	0.0	0.0		npe_main2_han_reply	0			0		0	0	0																											
quest.task.ground.retrieve_item	@quest/ground/npe_main_quest_2:task02_journal_entry_title	@quest/ground/npe_main_quest_2:task02_journal_entry_description	1			0	3		getinfo	1							1		1	0	tatooine	0.0	0.0	0.0											object/tangible/terminal/terminal_command_console.iff	1	@quest/ground/npe_main_quest_2:task02_item_name	100	@quest/ground/npe_main_quest_2:task02_retrieve_menu_text																						
quest.task.ground.comm_player	@quest/ground/npe_main_quest_2:task03_journal_entry_title	@quest/ground/npe_main_quest_2:task03_journal_entry_description	1			0	4		hancomm	1							1		1	0	tatooine	0.0	0.0	0.0																@quest/ground/npe_main_quest_2:task03_comm_message_text	object/mobile/han_solo.iff																				
quest.task.ground.perform	@quest/ground/npe_main_quest_2:task04_journal_entry_title	@quest/ground/npe_main_quest_2:task04_journal_entry_description	1			0	5		perform	1							1		1	0	tatooine	0.0	0.0	0.0																		60	cantina	0	2																
quest.task.ground.wait_for_signal	@quest/ground/npe_main_quest_2:task05_journal_entry_title	@quest/ground/npe_main_quest_2:task05_journal_entry_description	1			0	6		tarand	0							1		1	0	tatooine	0.0	0.0	0.0		npe_main2_tarand	0			0		0	0	0																											
quest.task.ground.wait_for_signal	@quest/ground/npe_main_quest_2:task06_journal_entry_title	@quest/ground/npe_main_quest_2:task06_journal_entry_description	1			0	7		han2	1							1		1	0	tatooine	0.0	0.0	0.0		npe_main2_han_final	0			0		0	0	0																											
quest.task.ground.wait_for_signal	@quest/ground/npe_main_quest_2:task07_journal_entry_title	@quest/ground/npe_main_quest_2:task07_journal_entry_description	1			0	8		inaldra2	1							1		1	0	tatooine	0.0	0.0	0.0		npe_main2_inaldra_final	0			0		0	0	0																											
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0																							0	Rebel	0	1000		1		1	0.1	0.1	0.1	0.1		1	0.1
