ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MIN_TIME	MAX_TIME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	i	i	i	s	s	i	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,6,7,8			0							1		1			0	tatooine	0.0	0.0	0.0																						
quest.task.ground.destroy_multi	@quest/ground/newbie_scout_pt3:task01_journal_entry_title	@quest/ground/newbie_scout_pt3:task01_journal_entry_description	1			0	2		newbie_scout_e31	0							1		1			0	tatooine	0.0	0.0	0.0					kreetle		8	0	0													
quest.task.ground.comm_player	@quest/ground/newbie_scout_pt3:task02_journal_entry_title	@quest/ground/newbie_scout_pt3:task02_journal_entry_description	0			0	3		newbie_scout_e32	0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/newbie_scout_pt3:task02_comm_message_text	object/mobile/dressed_entha_kandela.iff											
quest.task.ground.timer			0			0	4			0							1		1			0	tatooine	0.0	0.0	0.0												5	6									
quest.task.ground.comm_player			0			0	5			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/newbie_scout_pt3:task04_comm_message_text	object/mobile/dressed_entha_kandela.iff											
quest.task.ground.complete_quest			0			0			newbie_scout_e34	0						quest/newbie_scout_pt4	1		1			0	tatooine	0.0	0.0	0.0																						
quest.task.ground.wait_for_signal	@quest/ground/newbie_scout_pt3:task06_journal_entry_title	@quest/ground/newbie_scout_pt3:task06_journal_entry_description	1			0			location1	0							1		1			1	tatooine	3147.30004882812	5.09999990463257	-4846.39990234375			@quest/ground/newbie_scout_pt3:task06_waypoint_name						0					somesignal	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/newbie_scout_pt3:task07_journal_entry_title	@quest/ground/newbie_scout_pt3:task07_journal_entry_description	1			0			location2	0							1		1			1	tatooine	3216	0	-4465			@quest/ground/newbie_scout_pt3:task07_waypoint_name						0					somesignal	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/newbie_scout_pt3:task08_journal_entry_title	@quest/ground/newbie_scout_pt3:task08_journal_entry_description	1			0			location3	0							1		1			1	tatooine	3551.80004882812	7.59999990463257	-5061.5			@quest/ground/newbie_scout_pt3:task08_waypoint_name						0					somesignal	0			0		0	0	0
