ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task00_journal_entry_title	@quest/ground/chapter9_ice_cream:task00_journal_entry_description	1			0	1		meet_hunde_decan	0				0	none	none				1		1			1	lok	4155	98	7594			@quest/ground/chapter9_ice_cream:task00_waypoint_name	0	0.0	0.0	0.0		meet_hunde_decan	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task01_journal_entry_title	@quest/ground/chapter9_ice_cream:task01_journal_entry_description	1			0	2		meet_amyva_vanew	0				0	none	none				1		1			1	talus	4379	2	5283			@quest/ground/chapter9_ice_cream:task01_waypoint_name	0	0.0	0.0	0.0		meet_amyva_vanew	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task02_journal_entry_title	@quest/ground/chapter9_ice_cream:task02_journal_entry_description	1			0	3		meet_mikfa_faaus	0				0	none	none				1		1			1	naboo	-5562	-150	-43			@quest/ground/chapter9_ice_cream:task02_waypoint_name	0	0.0	0.0	0.0		meet_mikfa_faaus	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task03_journal_entry_title	@quest/ground/chapter9_ice_cream:task03_journal_entry_description	1			0	4		meet_eteto_topan	0				0	none	none				1		1			1	tatooine	-7669	240	-7381			@quest/ground/chapter9_ice_cream:task03_waypoint_name	0	0.0	0.0	0.0		meet_eteto_topan	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task04_journal_entry_title	@quest/ground/chapter9_ice_cream:task04_journal_entry_description	1			0	5		meet_kerhi_hilak	0				0	none	none				1		1			1	tatooine	3775	9	2373			@quest/ground/chapter9_ice_cream:task04_waypoint_name	0	0.0	0.0	0.0		meet_kerhi_hilak	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task05_journal_entry_title	@quest/ground/chapter9_ice_cream:task05_journal_entry_description	1			0	6		meet_tombl_blaus	0				0	none	none				1		1			1	rori	772	81	-2084			@quest/ground/chapter9_ice_cream:task05_waypoint_name	0	0.0	0.0	0.0		meet_tombl_blaus	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task06_journal_entry_title	@quest/ground/chapter9_ice_cream:task06_journal_entry_description	1			0	7		meet_lepwalk_chan	0				0	none	none				1		1			1	dantooine	2099	80	7434			@quest/ground/chapter9_ice_cream:task06_waypoint_name	0	0.0	0.0	0.0		meet_lepwalk_chan	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task07_journal_entry_title	@quest/ground/chapter9_ice_cream:task07_journal_entry_description	1			0	8		meet_nore_brrea	0				0	none	none				1		1			1	yavin4	-6912	73	-5736			@quest/ground/chapter9_ice_cream:task07_waypoint_name	0	0.0	0.0	0.0		meet_nore_brrea	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task08_journal_entry_title	@quest/ground/chapter9_ice_cream:task08_journal_entry_description	1			0	9		meet_otonon_tracks	0				0	none	none				1		1			1	endor	-835	80	1598			@quest/ground/chapter9_ice_cream:task08_waypoint_name	0	0.0	0.0	0.0		meet_otonon_tracks	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/chapter9_ice_cream:task09_journal_entry_title	@quest/ground/chapter9_ice_cream:task09_journal_entry_description	1			0			meet_ice_cream_man	0				0	none	none				1		1			1	endor	-835	80	1598			@quest/ground/chapter9_ice_cream:task09_waypoint_name	0	0.0	0.0	0.0		meet_ice_cream_man	0			0		0	0	0	0
