ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	COUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	i	i	i	i	s	i	s	i	s	s	b	s	s	s	s	f	f	f	s	s	s	i	i	i	i	i
quest.task.ground.destroy_multi_and_loot	@quest/ground/corellia_tyrena_slaver_access:task00_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task00_journal_entry_description	1			0	1		find_password_1	0							1		1			1	corellia	-6406	23	-2141			@quest/ground/corellia_tyrena_slaver_access:task00_waypoint_name	0	0.0	0.0	0.0			corellian_slaver		Password	1	20	0	0																						
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_slaver_access:task01_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task01_journal_entry_description	1			0	2		hack_term_1a	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task01_entrance_waypoint_name								0	object/tangible/quest/corellian_slaver_access_terminal_01.iff	1	@quest/ground/corellia_tyrena_slaver_access:task01_item_name	100	@quest/ground/corellia_tyrena_slaver_access:task01_retrieve_menu_text																	
quest.task.ground.wait_for_signal	@quest/ground/corellia_tyrena_slaver_access:task02_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task02_journal_entry_description	1			0	3		talk_to_slave_2	1							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task02_entrance_waypoint_name								0						talk_to_slave_2	0			0		0	0	0								
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_slaver_access:task03_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task03_journal_entry_description	1			0	4		hack_term_2a	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task03_entrance_waypoint_name								0	object/tangible/quest/corellian_slaver_access_terminal_03.iff	1	@quest/ground/corellia_tyrena_slaver_access:task03_item_name	100	@quest/ground/corellia_tyrena_slaver_access:task03_retrieve_menu_text																	
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_slaver_access:task04_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task04_journal_entry_description	1			0	5		hack_term_2b	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task04_entrance_waypoint_name								0	object/tangible/quest/corellian_slaver_access_terminal_02.iff	1	@quest/ground/corellia_tyrena_slaver_access:task04_item_name	100	@quest/ground/corellia_tyrena_slaver_access:task04_retrieve_menu_text																	
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_slaver_access:task05_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task05_journal_entry_description	1			0	6		hack_term_2c	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task05_entrance_waypoint_name								0	object/tangible/quest/corellian_slaver_access_terminal_03.iff	1	@quest/ground/corellia_tyrena_slaver_access:task05_item_name	100	@quest/ground/corellia_tyrena_slaver_access:task05_retrieve_menu_text																	
quest.task.ground.show_message_box	@quest/ground/corellia_tyrena_slaver_access:task06_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task06_journal_entry_description	1			0	7		pw_confirmation_2d	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task06_entrance_waypoint_name																							@quest/ground/corellia_tyrena_slaver_access:task06_message_box_title	@quest/ground/corellia_tyrena_slaver_access:task06_message_box_text		-1	-1	-1	-1	
quest.task.ground.wait_for_signal	@quest/ground/corellia_tyrena_slaver_access:task07_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task07_journal_entry_description	1			0	8		talk_to_akkus_3a	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task07_entrance_waypoint_name								0						talk_to_akkus_3a	0			0		0	0	0								
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_slaver_access:task08_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task08_journal_entry_description	1			0	9		hack_term_3b	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task08_entrance_waypoint_name								0	object/tangible/quest/corellian_slaver_access_terminal_04.iff	1	@quest/ground/corellia_tyrena_slaver_access:task08_item_name	100	@quest/ground/corellia_tyrena_slaver_access:task08_retrieve_menu_text																	
quest.task.ground.show_message_box	@quest/ground/corellia_tyrena_slaver_access:task09_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task09_journal_entry_description	1			0	10		pw_confirmation_3c	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task09_entrance_waypoint_name																							@quest/ground/corellia_tyrena_slaver_access:task09_message_box_title	@quest/ground/corellia_tyrena_slaver_access:task09_message_box_text		-1	-1	-1	-1	
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_slaver_access:task10_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task10_journal_entry_description	1			0	11		hack_term_4	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task10_entrance_waypoint_name								0	object/tangible/quest/corellian_slaver_access_terminal_05.iff	1	@quest/ground/corellia_tyrena_slaver_access:task10_item_name	100	@quest/ground/corellia_tyrena_slaver_access:task10_retrieve_menu_text																	
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_slaver_access:task11_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task11_journal_entry_description	1			0	12		hack_term_4a	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task11_entrance_waypoint_name								0	object/tangible/quest/corellian_slaver_access_terminal_06.iff	1	@quest/ground/corellia_tyrena_slaver_access:task11_item_name	100	@quest/ground/corellia_tyrena_slaver_access:task11_retrieve_menu_text																	
quest.task.ground.destroy_multi	@quest/ground/corellia_tyrena_slaver_access:task12_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task12_journal_entry_description	1			0	13		kill_detention_guard_5	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task12_entrance_waypoint_name	corellia_tyrena_slaver_guard_elite_detention						0	0																						4
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_slaver_access:task13_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task13_journal_entry_description	1			0	14		finale_hack_5a	0							1		1			0	corellia	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_slaver_access:task13_entrance_waypoint_name								0	object/tangible/quest/corellian_slaver_access_terminal_07.iff	1	@quest/ground/corellia_tyrena_slaver_access:task13_item_name	100	@quest/ground/corellia_tyrena_slaver_access:task13_retrieve_menu_text																	
quest.task.ground.show_message_box	@quest/ground/corellia_tyrena_slaver_access:task14_journal_entry_title	@quest/ground/corellia_tyrena_slaver_access:task14_journal_entry_description	1			0	15		finale_msgbox_5b	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																								@quest/ground/corellia_tyrena_slaver_access:task14_message_box_title	@quest/ground/corellia_tyrena_slaver_access:task14_message_box_text	sound/mus_npe2_station_victory.snd	-1	-1	-1	-1	
quest.task.ground.complete_quest			0			0				0						quest/corellia_tyrena_return_kyran	1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																															
