ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	SERVER_OBJECT_TEMPLATE	COUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	REWARD_CREDITS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	b	s	s	s	s	f	f	f	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	s	s	i	i	i	i	s	i	i	i	s	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.nothing			0			0	1,4,5			0							1		1	0	tatooine	0.0	0.0	0.0																																																													
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_find_missing_shipment:task01_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task01_journal_entry_description	1			0	2		ralMundi_getInvoice	0							1		1	1	corellia	-293.730010986328	28	-4661.56005859375	@quest/ground/corellia_coronet_find_missing_shipment:task01_waypoint_name	ralMundi_getInvoice	0			0		0	0	0																																																			
quest.task.ground.craft	@quest/ground/corellia_coronet_find_missing_shipment:task02_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task02_journal_entry_description	1			0	3		ralMundi_craftTool	1							1		1	0	tatooine	0.0	0.0	0.0											object/tangible/crafting/station/generic_tool.iff	1																																																	
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_find_missing_shipment:task03_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task03_journal_entry_description	1			0			ralMundi_craftedTool	1							1		1	0	tatooine	0.0	0.0	0.0		ralMundi_craftedTool	0			0		0	0	0																																																			
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_find_missing_shipment:task04_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task04_journal_entry_description	1			0			ralMundi_getSchedule	1							1		1	0	tatooine	0.0	0.0	0.0		ralMundi_getSchedule	0			0		0	0	0																																																			
quest.task.ground.wait_for_tasks	@quest/ground/corellia_coronet_find_missing_shipment:task05_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task05_journal_entry_description	1			0	6		ralMundi_getInvoiceAndSchedule	1							1		1	0	tatooine	0.0	0.0	0.0													quest/corellia_coronet_find_missing_shipment	ralMundi_craftedTool	@quest/ground/corellia_coronet_find_missing_shipment:task05_task_display_string_1	quest/corellia_coronet_find_missing_shipment	ralMundi_getSchedule	@quest/ground/corellia_coronet_find_missing_shipment:task05_task_display_string_2																																											
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_find_missing_shipment:task06_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task06_journal_entry_description	1			0	7		ralMundi_gotScheduleAndInvoice	1							1		1	1	corellia	-137	28	-4723	@quest/ground/corellia_coronet_find_missing_shipment:task06_waypoint_name	ralMundi_gotScheduleAndInvoice	0			0		0	0	0																																																			
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_find_missing_shipment:task07_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task07_journal_entry_description	1			0	8		ralMundi_traceTransportRoute	1							1		1	1	corellia	-137	28	-4523	@quest/ground/corellia_coronet_find_missing_shipment:task07_waypoint_name	ralMundi_traceTransportRoute	0			0		0	0	0																																																			
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_find_missing_shipment:task08_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task08_journal_entry_description	1			0	9		ralMundi_intimidateRagtags	1							1		1	0	tatooine	0.0	0.0	0.0												6																				ragtag_gang		0																											
quest.task.ground.show_message_box			0			0	10		ralMundi_foundTomiBunkerMessage	0							1		1	0	tatooine	0.0	0.0	0.0																																			@quest/ground/corellia_coronet_find_missing_shipment:task09_message_box_title	@quest/ground/corellia_coronet_find_missing_shipment:task09_message_box_text		-1	-1	-1	-1																				
quest.task.ground.destroy_multi	@quest/ground/corellia_coronet_find_missing_shipment:task10_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task10_journal_entry_description	1			0	11		ralMundi_defeatTomi	1							1		1	1	corellia	-528	2	-5054	@quest/ground/corellia_coronet_find_missing_shipment:task10_waypoint_name											1																			corellia_ragtag_tomi_jinsin			0																											
quest.task.ground.show_message_box			0			0	12		ralMundi_tomiRemainsMessage	0							1		1	0	tatooine	0.0	0.0	0.0																																			@quest/ground/corellia_coronet_find_missing_shipment:task11_message_box_title	@quest/ground/corellia_coronet_find_missing_shipment:task11_message_box_text		-1	-1	-1	-1																				
quest.task.ground.retrieve_item	@quest/ground/corellia_coronet_find_missing_shipment:task12_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task12_journal_entry_description	1			0	13		ralMundi_shipmentAtCapitol	1							1		1	0	tatooine	0.0	0.0	0.0																																										object/tangible/quest/corellia_coronet_meatlump_act1_shipment.iff	1		100	@quest/ground/corellia_coronet_find_missing_shipment:task12_retrieve_menu_text															
quest.task.ground.show_message_box			0			0	14		ralMundi_crateMessage	0							1		1	0	tatooine	0.0	0.0	0.0																																			@quest/ground/corellia_coronet_find_missing_shipment:task13_message_box_title	@quest/ground/corellia_coronet_find_missing_shipment:task13_message_box_text		-1	-1	-1	-1																				
quest.task.ground.wait_for_signal	@quest/ground/corellia_coronet_find_missing_shipment:task14_journal_entry_title	@quest/ground/corellia_coronet_find_missing_shipment:task14_journal_entry_description	1			0	15		ralMundi_shipmentFound	1							1		1	1	corellia	-137	28	-4723	@quest/ground/corellia_coronet_find_missing_shipment:task14_waypoint_name	ralMundi_shipmentFound	0			0		0	0	0																																																			
quest.task.ground.reward			0			0				0							1		1	0	tatooine	0.0	0.0	0.0												1																																				0	Rebel	0	3090			1	0.1	0.1	0.1	0.1		1	0.1
