ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i
quest.task.ground.wait_for_signal	@quest/ground/lifeday_stap_1:task00_journal_entry_title	@quest/ground/lifeday_stap_1:task00_journal_entry_description	1			0	1		talkShippingMaster	1				0	none	none				1		1			1	naboo	1411	13	2771			@quest/ground/lifeday_stap_1:task00_waypoint_name	0	0.0	0.0	0.0		talkedShipping	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/lifeday_stap_1:task01_journal_entry_title	@quest/ground/lifeday_stap_1:task01_journal_entry_description	1			0	2		talkShippingMaster2	1				0	none	none				1		1			1	tatooine	1288	7	3134			@quest/ground/lifeday_stap_1:task01_waypoint_name	0	0.0	0.0	0.0		talkedShipping2	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/lifeday_stap_1:task02_journal_entry_title	@quest/ground/lifeday_stap_1:task02_journal_entry_description	1			0	3,4,7		talkJawaDroid	1				0	none	none				1		1			1	tatooine	-6169	22.5	1768			@quest/ground/lifeday_stap_1:task02_waypoint_name	0	0.0	0.0	0.0		talkedJawa	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/lifeday_stap_1:task03_journal_entry_title	@quest/ground/lifeday_stap_1:task03_journal_entry_description	1			0			talkTK	1				0	none	none				1		1			1	tatooine	-3110	5	2156			@quest/ground/lifeday_stap_1:task03_waypoint_name	0	0.0	0.0	0.0		talkedTK	0			0		0	0	0	0
quest.task.ground.wait_for_signal			0			0	5		hasStap	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		hasStap	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/lifeday_stap_1:task05_journal_entry_title	@quest/ground/lifeday_stap_1:task05_journal_entry_description	1			0	6		talkSaun_hasStap	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		talkedSaun	0			0		0	0	0	0
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											
quest.task.ground.wait_for_signal			0			0	8		needsStap	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		needsStap	0			0		0	0	0	0
quest.task.ground.wait_for_signal	@quest/ground/lifeday_stap_1:task08_journal_entry_title	@quest/ground/lifeday_stap_1:task08_journal_entry_description	1			0	9		talkSaun_needsStap	1				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		talkedSaun	0			0		0	0	0	0
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											
