ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	RADIUS	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	s	i	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
quest.task.ground.nothing			1			0	1			0							1		1	0	tatooine	0.0	0.0	0.0																															
quest.task.ground.go_to_location	@quest/ground/c_dathomir_smc_combat1:task01_journal_entry_title	@quest/ground/c_dathomir_smc_combat1:task01_journal_entry_description	1			0	2,3,4,5,6,7		gocave	1							1		1	1	dathomir	-1199	109	6251	@quest/ground/c_dathomir_smc_combat1:task01_waypoint_name	10.0																													
quest.task.ground.destroy_multi	@quest/ground/c_dathomir_smc_combat1:task02_journal_entry_title	@quest/ground/c_dathomir_smc_combat1:task02_journal_entry_description	1			0			killwebdancer	1							1		1	1	dathomir	-1199	109	-6251	@quest/ground/c_dathomir_smc_combat1:task02_waypoint_name		spider_nightsister_web_dancer			2	0																								
quest.task.ground.destroy_multi	@quest/ground/c_dathomir_smc_combat1:task03_journal_entry_title	@quest/ground/c_dathomir_smc_combat1:task03_journal_entry_description	1			0			killsentinels	1							1		1	1	dathomir	-1199	109	6251	@quest/ground/c_dathomir_smc_combat1:task03_waypoint_name		spider_nightsister_sentinel			3	0																								
quest.task.ground.destroy_multi	@quest/ground/c_dathomir_smc_combat1:task04_journal_entry_title	@quest/ground/c_dathomir_smc_combat1:task04_journal_entry_description	1			0			killacolyte	0							1		1	0	dathomir	-1199	109	6251	@quest/ground/c_dathomir_smc_combat1:task04_waypoint_name		spider_nightsister_initiate			3	0																								
quest.task.ground.destroy_multi	@quest/ground/c_dathomir_smc_combat1:task05_journal_entry_title	@quest/ground/c_dathomir_smc_combat1:task05_journal_entry_description	1			0			killsentry	0							1		1	0	dathomir	-1199	109	6251	@quest/ground/c_dathomir_smc_combat1:task05_waypoint_name		spider_nightsister_sentry			5	0																								
quest.task.ground.destroy_multi	@quest/ground/c_dathomir_smc_combat1:task06_journal_entry_title	@quest/ground/c_dathomir_smc_combat1:task06_journal_entry_description	1			0			killstalker	0							1		1	0	tatooine	-1199	109	6251	@quest/ground/c_dathomir_smc_combat1:task06_waypoint_name		spider_nightsister_stalker			3	0																								
quest.task.ground.wait_for_signal	@quest/ground/c_dathomir_smc_combat1:task07_journal_entry_title	@quest/ground/c_dathomir_smc_combat1:task07_journal_entry_description	1			0	8			0							1		1	0	dathomir	0.0	0.0	0.0								c_dath_smc_combat1_complete	0			0		0	0	0															
quest.task.ground.reward			1			0				0							1		1	0	tatooine	0.0	0.0	0.0						1												0	mtn_clan	500	5000			1	0.1	0.1	0.1	0.1		1	0.1
