ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	ITEM_TO_GIVE	NUM_TO_GIVE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	i	s	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f
quest.task.ground.nothing			0			0	1,2,3,4,5,6,7			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																				
quest.task.ground.retrieve_item	@quest/ground/jedi_gift_exchange:task01_journal_entry_title	@quest/ground/jedi_gift_exchange:task01_journal_entry_description	1			0			RelicYavin4	1							1		1			1	yavin4	5162	79	5538			@quest/ground/jedi_gift_exchange:task01_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/elder_robe_ex_relic_yavin4.iff	1	@quest/ground/jedi_gift_exchange:task01_item_name	100	@quest/ground/jedi_gift_exchange:task01_retrieve_menu_text	0																													
quest.task.ground.retrieve_item	@quest/ground/jedi_gift_exchange:task02_journal_entry_title	@quest/ground/jedi_gift_exchange:task02_journal_entry_description	1			0			RelicTatooine	1							1		1			1	tatooine	6839	25	4320			@quest/ground/jedi_gift_exchange:task02_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/elder_robe_ex_relic_tatooine.iff	1	@quest/ground/jedi_gift_exchange:task02_item_name	100	@quest/ground/jedi_gift_exchange:task02_retrieve_menu_text	0																													
quest.task.ground.retrieve_item	@quest/ground/jedi_gift_exchange:task03_journal_entry_title	@quest/ground/jedi_gift_exchange:task03_journal_entry_description	1			0			RelicTalus	1							1		1			1	talus	2937	16	6004			@quest/ground/jedi_gift_exchange:task03_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/elder_robe_ex_relic_talus.iff	1	@quest/ground/jedi_gift_exchange:task03_item_name	100	@quest/ground/jedi_gift_exchange:task03_retrieve_menu_text	0																													
quest.task.ground.retrieve_item	@quest/ground/jedi_gift_exchange:task04_journal_entry_title	@quest/ground/jedi_gift_exchange:task04_journal_entry_description	1			0			RelicLok	1							1		1			1	lok	4572	13	-1114			@quest/ground/jedi_gift_exchange:task04_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/elder_robe_ex_relic_lok.iff	1	@quest/ground/jedi_gift_exchange:task04_item_name	100	@quest/ground/jedi_gift_exchange:task04_retrieve_menu_text	0																													
quest.task.ground.retrieve_item	@quest/ground/jedi_gift_exchange:task05_journal_entry_title	@quest/ground/jedi_gift_exchange:task05_journal_entry_description	1			0			RelicEndor	1							1		1			1	endor	5921	230	-2514			@quest/ground/jedi_gift_exchange:task05_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/elder_robe_ex_relic_endor.iff	1	@quest/ground/jedi_gift_exchange:task05_item_name	100	@quest/ground/jedi_gift_exchange:task05_retrieve_menu_text	0																													
quest.task.ground.retrieve_item	@quest/ground/jedi_gift_exchange:task06_journal_entry_title	@quest/ground/jedi_gift_exchange:task06_journal_entry_description	1			0			RelicDantooine	1							1		1			1	dantooine	4257	7	5373			@quest/ground/jedi_gift_exchange:task06_waypoint_name	0	0.0	0.0	0.0		object/tangible/quest/elder_robe_ex_relic_dantooine.iff	1	@quest/ground/jedi_gift_exchange:task06_item_name	100	@quest/ground/jedi_gift_exchange:task06_retrieve_menu_text	0																													
quest.task.ground.wait_for_tasks	@quest/ground/jedi_gift_exchange:task07_journal_entry_title	@quest/ground/jedi_gift_exchange:task07_journal_entry_description	1			0	8		GatherRelics	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0							0	quest/jedi_gift_exchange	RelicDantooine	@quest/ground/jedi_gift_exchange:task07_task_display_string_1	quest/jedi_gift_exchange	RelicEndor	@quest/ground/jedi_gift_exchange:task07_task_display_string_2	quest/jedi_gift_exchange	RelicLok	@quest/ground/jedi_gift_exchange:task07_task_display_string_3	quest/jedi_gift_exchange	RelicTalus	@quest/ground/jedi_gift_exchange:task07_task_display_string_4	quest/jedi_gift_exchange	RelicTatooine	@quest/ground/jedi_gift_exchange:task07_task_display_string_5	quest/jedi_gift_exchange	RelicYavin4	@quest/ground/jedi_gift_exchange:task07_task_display_string_6											
quest.task.ground.give_item	@quest/ground/jedi_gift_exchange:task08_journal_entry_title	@quest/ground/jedi_gift_exchange:task08_journal_entry_description	1			1	9		GiveRobe	1							1		1			1	dathomir	631	6	3091			@quest/ground/jedi_gift_exchange:task08_waypoint_name	0	0.0	0.0	0.0							0																			item_jedi_robe_light_04_04,item_jedi_robe_dark_04_04	1									
quest.task.ground.wait_for_signal	@quest/ground/jedi_gift_exchange:task09_journal_entry_title	@quest/ground/jedi_gift_exchange:task09_journal_entry_description	1			0	10		TalkAgainLight	0							1		1			1	dathomir	631	6	3091			@quest/ground/jedi_gift_exchange:task09_waypoint_name	0	0.0	0.0	0.0							0																					elder_robe_exchange_signal	0			0		0	0	0
