ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	i	i	i	i	s
quest.task.ground.nothing			0			0	1		find_source_nothing_01_01	0				0	none	none			quest/talus_dearic_plea_pity	0		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																					
quest.task.ground.show_message_box	@quest/ground/talus_dearic_find_source:task01_journal_entry_title	@quest/ground/talus_dearic_find_source:task01_journal_entry_description	1			0	2		find_source_msgbox_01_02	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		@quest/ground/talus_dearic_find_source:task01_message_box_title	@quest/ground/talus_dearic_find_source:task01_message_box_text		-1	-1	-1	-1																													
quest.task.ground.comm_player	@quest/ground/talus_dearic_find_source:task02_journal_entry_title	@quest/ground/talus_dearic_find_source:task02_journal_entry_description	1			0	3		find_source_msgbox_01_02a	0				0	none	none			quest/talus_dearic_better_genetics	0		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									@quest/ground/talus_dearic_find_source:task02_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																											
quest.task.ground.wait_for_tasks	@quest/ground/talus_dearic_find_source:task03_journal_entry_title	@quest/ground/talus_dearic_find_source:task03_journal_entry_description	1			0	4		find_source_msgbox_01_02b	0				0	none	none				1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_find_source:task03_waypoint_name	0	0.0	0.0	0.0											quest/talus_dearic_better_genetics	better_genetics_retrieve_08_03e	@quest/ground/talus_dearic_find_source:task03_task_display_string_1																0								
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_find_source:task04_journal_entry_title	@quest/ground/talus_dearic_find_source:task04_journal_entry_description	1			0	5,6,7,8,9,10		find_source_retrieve_05_05	0				0	none	none				1		1			1	talus	-13	0.0	-3532			@quest/ground/talus_dearic_find_source:task04_waypoint_name	0	0.0	0.0	0.0																													0	object/tangible/quest/talus_dearic_supply_cabinet.iff	1	@quest/ground/talus_dearic_find_source:task04_item_name	100	0	0	0	@quest/ground/talus_dearic_find_source:task04_retrieve_menu_text
quest.task.ground.comm_player	@quest/ground/talus_dearic_find_source:task05_journal_entry_title	@quest/ground/talus_dearic_find_source:task05_journal_entry_description	1			0			find_source_comm_02_06	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0									@quest/ground/talus_dearic_find_source:task05_comm_message_text	/object/mobile/dressed_corsec_captain_human_male_02.iff																											
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_find_source:task06_journal_entry_title	@quest/ground/talus_dearic_find_source:task06_journal_entry_description	1			0			find_source_retrieve_01_03a	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													0	object/tangible/quest/talus_brood_egg_single_01.iff	4	@quest/ground/talus_dearic_find_source:task06_item_name	100	0	0	5	@quest/ground/talus_dearic_find_source:task06_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_find_source:task07_journal_entry_title	@quest/ground/talus_dearic_find_source:task07_journal_entry_description	1			0			find_source_retrieve_02_03b	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													0	object/tangible/quest/talus_brood_egg_single_02.iff	4	@quest/ground/talus_dearic_find_source:task07_item_name	100	0	0	5	@quest/ground/talus_dearic_find_source:task07_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_find_source:task08_journal_entry_title	@quest/ground/talus_dearic_find_source:task08_journal_entry_description	1			0			find_source_retrieve_03_03c	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													0	object/tangible/quest/talus_brood_egg_single_03.iff	4	@quest/ground/talus_dearic_find_source:task08_item_name	100	0	0	5	@quest/ground/talus_dearic_find_source:task08_retrieve_menu_text
quest.task.ground.retrieve_item	@quest/ground/talus_dearic_find_source:task09_journal_entry_title	@quest/ground/talus_dearic_find_source:task09_journal_entry_description	1			0			find_source_retrieve_04_03d	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																													0	object/tangible/quest/talus_brood_egg_single_04.iff	4	@quest/ground/talus_dearic_find_source:task09_item_name	100	0	0	5	@quest/ground/talus_dearic_find_source:task09_retrieve_menu_text
