ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	i	i	i	s	s	s	i	i	s	i	s	i	s	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/jabba_ephant_mon:task00_journal_entry_title	@quest/ground/jabba_ephant_mon:task00_journal_entry_description	1			0	1		killingTheSennex	1							1		1			1	tatooine	-4927	0.0	1268			@quest/ground/jabba_ephant_mon:task00_waypoint_name		sennex		16	0	0																			
quest.task.ground.comm_player			0			0	2			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/jabba_ephant_mon:task01_comm_message_text	object/mobile/ephant_mon.iff																	
quest.task.ground.destroy_multi	@quest/ground/jabba_ephant_mon:task02_journal_entry_title	@quest/ground/jabba_ephant_mon:task02_journal_entry_description	1			0	3		killingTheSlaveMasters	1							1		1			1	tatooine	-4927	0.0	1268			@quest/ground/jabba_ephant_mon:task02_waypoint_name	sennex_slavemaster			5	0	0																			
quest.task.ground.comm_player			0			0	4			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/jabba_ephant_mon:task03_comm_message_text	object/mobile/ephant_mon.iff																	
quest.task.ground.destroy_multi_and_loot	@quest/ground/jabba_ephant_mon:task04_journal_entry_title	@quest/ground/jabba_ephant_mon:task04_journal_entry_description	1			0	5		collectingKeyChips	0							1		1			1	tatooine	-4927	0.0	1268			@quest/ground/jabba_ephant_mon:task04_waypoint_name	sennex_guard				0	0			Sennex Key-Chip	9	80														
quest.task.ground.comm_player			0			0	6			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/jabba_ephant_mon:task05_comm_message_text	object/mobile/ephant_mon.iff																	
quest.task.ground.retrieve_item	@quest/ground/jabba_ephant_mon:task06_journal_entry_title	@quest/ground/jabba_ephant_mon:task06_journal_entry_description	1			0	7		wipingTheDatabank	1							1		1			1	tatooine	-4927	0.0	1268			@quest/ground/jabba_ephant_mon:task06_waypoint_name						0						object/tangible/quest/sennex_hq_databank.iff	1	@quest/ground/jabba_ephant_mon:task06_item_name	100	@quest/ground/jabba_ephant_mon:task06_retrieve_menu_text									
quest.task.ground.comm_player			0			0	8			0							1		1			0	tatooine	0.0	0.0	0.0										@quest/ground/jabba_ephant_mon:task07_comm_message_text	object/mobile/ephant_mon.iff																	
quest.task.ground.wait_for_signal	@quest/ground/jabba_ephant_mon:task08_journal_entry_title	@quest/ground/jabba_ephant_mon:task08_journal_entry_description	1			0			returnToEphantMon	0							1		1			1	tatooine	-5857	90	-6175			@quest/ground/jabba_ephant_mon:task08_waypoint_name						0											ephantMonSignal	0			0		0	0	0
