ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	GUARANTEED_SUCCESS_MIN	GUARANTEED_SUCCESS_MAX	REWARD_CREDITS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	COUNTDOWN_TIMER	RETRIEVE_MENU_TEXT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	i	i	i	i	i	i	s	b	s	s	s	s	f	f	f	s	s	i	i	s	i	i	i	s	s	s	i	s	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.nothing			0			0	1,10,11,13		azure_cabal_proptis_loss_01_null	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																						
quest.task.ground.destroy_multi_and_loot			0			0	2,3		azure_cabal_proptis_loss_01_counter_clue_1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			hoverdale		Clue Found!	1	10	5	15	0	0																																											
quest.task.ground.wait_for_signal	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task02_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task02_journal_entry_description	1			0			tatooine_24_azure_cabal_proptis_loss_01_clue_2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	tatooine_24_azure_cabal_proptis_loss_01_journal_recovered	0			0		0	0	0																																		
quest.task.ground.destroy_multi_and_loot			0			0	4		azure_cabal_proptis_loss_01_hidden_destroy_counter_01	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			hoverdale		Hoverdale's Notice	1	5	10	15	0	0																																											
quest.task.ground.comm_player	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task04_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task04_journal_entry_description	1			0	5		azure_cabal_proptis_loss_01_hoverdale_comm	0				100	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task04_comm_message_text	object/mobile/dressed_noble_human_male_02.iff																																
quest.task.ground.destroy_multi_and_loot			0			0	6		azure_cabal_proptis_loss_01_hidden_destroy_counter_02	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			hoverdale		Hoverdale's Full attention	1	20	3	5	0	0																																											
quest.task.ground.comm_player	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task06_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task06_journal_entry_description	1			0	7		azure_cabal_proptis_loss_01_hoverdale_comm2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task06_comm_message_text	object/mobile/dressed_noble_human_male_02.iff																																
quest.task.ground.timer			0			0	8		azure_cabal_proptis_loss_01_attack_timer	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																							15	30																														
quest.task.ground.encounter	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task08_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task08_journal_entry_description	1			0	9		azure_cabal_proptis_loss_01_encounter_hoverdale	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0														azure_cabal_hoverdale	1	5	25	0.0	0.0																								
quest.task.ground.wait_for_signal	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task09_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task09_journal_entry_description	1			0			tatooine_24_azure_cabal_proptis_loss_01_clue_2	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	tatooine_24_azure_cabal_proptis_loss_01_journal_recovered	0			0		0	0	0																																		
quest.task.ground.retrieve_item			0			0			azure_cabal_proptis_loss_01_retrieve_purse	0				0	none	none				1		1	tatooine_24_azure_cabal_proptis_loss_01_journal_recovered		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0								0	0		0																				object/tangible/quest/azure_cabal_proptis_purse.iff	1	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task10_item_name	100	2	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task10_retrieve_menu_text																		
quest.task.ground.wait_for_signal	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task11_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task11_journal_entry_description	1			0	12		tatooine_24_azure_cabal_proptis_loss_01_wait_search_hideout	0				0	none	none				1		1			1	tatooine	-3047	134	4508			@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task11_waypoint_name	0	0	0	0											0	tatooine_24_azure_cabal_proptis_loss_01_all_recovered	0			0		0	0	0																																		
quest.task.ground.wait_for_signal	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task12_journal_entry_title	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task12_journal_entry_description	1			0			tatooine_24_azure_cabal_proptis_loss_01_wait_return_propti	0				0	complete	none				1		1	endorsedByProptiXaroon		1	tatooine	-3041	5	2212			@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task12_waypoint_name	0	0.0	0.0	0.0											0	tatooine_24_azure_cabal_proptis_loss_01_complete	0			0		0	0	0																																		
quest.task.ground.wait_for_tasks			0			0			azure_cabal_proptis_loss_01_task_counter	0				0	none	none				1		1	tatooine_24_azure_cabal_proptis_loss_01_all_recovered		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0																										tatooine_24_azure_cabal_proptis_loss_01	azure_cabal_proptis_loss_01_retrieve_purse	@quest/ground/tatooine_24_azure_cabal_proptis_loss_01:task13_task_display_string_1															
