ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TIMER_AMOUNT	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	i	i	i	s	s	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	s	i	S	S	S	S	s	i	i	s	i	i
quest.task.ground.nothing			0			0	1,8			0	sound/mus_mustafar_quest_exception.snd						1		1	0	tatooine	0.0	0.0	0.0																																												
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_moral_choice_1:task01_journal_entry_title	@quest/ground/som_kenobi_moral_choice_1:task01_journal_entry_description	1			0	2,7		needDestroy	1							1		1	1	mustafar	-5267	316	4491			@quest/ground/som_kenobi_moral_choice_1:task01_waypoint_name	object/tangible/quest/som_kenobi_power_generator.iff	1	@quest/ground/som_kenobi_moral_choice_1:task01_item_name	100	@quest/ground/som_kenobi_moral_choice_1:task01_retrieve_menu_text	0																																			
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_moral_choice_1:task02_journal_entry_title	@quest/ground/som_kenobi_moral_choice_1:task02_journal_entry_description	1			0	3,4			1							1		1	0	tatooine	0.0	0.0	0.0				object/tangible/quest/som_kenobi_power_generator.iff	1	@quest/ground/som_kenobi_moral_choice_1:task02_item_name	100	@quest/ground/som_kenobi_moral_choice_1:task02_retrieve_menu_text	0																																			
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0									0	som_mustafarian_striking_miner	2	5	15	0.0	0.0																													
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_moral_choice_1:task04_journal_entry_title	@quest/ground/som_kenobi_moral_choice_1:task04_journal_entry_description	1			0	5		gotCore	1							1		1	0	tatooine	0.0	0.0	0.0									0							givenCore	0			0		0	0	0																				
quest.task.ground.reward			0			0	6		reward	1							1		1	0	tatooine	0.0	0.0	0.0											1															0	Rebel	0	20000		1	object/tangible/item/som/frn_holo_mustafarian_c_reward.iff		1	0.1	0.1	0.1	0.1		1	0.1			
quest.task.ground.complete_quest			0			0				0		sound/mus_mustafar_quest_success.snd					1		1	0	tatooine	0.0	0.0	0.0																																												
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0									0	som_mustafarian_striking_miner	2	5	15	0.0	0.0																													
quest.task.ground.wait_for_signal			0			0	9		talkLeader	0							1		1	0	tatooine	0.0	0.0	0.0									0							talkedLeader	0			0		0	0	0																				
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_moral_choice_1:task09_journal_entry_title	@quest/ground/som_kenobi_moral_choice_1:task09_journal_entry_description	1			0	10,13		switchedSides	1							1		1	0	tatooine	0.0	0.0	0.0				object/tangible/quest/som_kenobi_network_computer.iff	1	@quest/ground/som_kenobi_moral_choice_1:task09_item_name	100	@quest/ground/som_kenobi_moral_choice_1:task09_retrieve_menu_text	0																																			
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_moral_choice_1:task10_journal_entry_title	@quest/ground/som_kenobi_moral_choice_1:task10_journal_entry_description	1			0	11		talkLeader2	1							1		1	0	tatooine	0.0	0.0	0.0									0							talkedLeader2	0			0		0	0	0																				
quest.task.ground.reward			0			0	12		reward	1							1		1	0	tatooine	0.0	0.0	0.0											1															0	Rebel	0	20000		1	object/tangible/item/som/frn_holo_mustafarian_a_reward.iff		1	0.1	0.1	0.1	0.1		1	0.1			
quest.task.ground.complete_quest			0			0				0		sound/mus_mustafar_quest_success.snd					1		1	0	tatooine	0.0	0.0	0.0																																												
quest.task.ground.timer			0			0	14			0							1		1	0	tatooine	0.0	0.0	0.0																																											30	90
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0									0	som_mustafarian_corrupt_security_guard	3	25	50	0.0	0.0																													
