ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	RADIUS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s
quest.task.ground.wait_for_signal	@quest/ground/tatooine_entha_podracers_race1:task00_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task00_journal_entry_description	1			0	1		tatooine_espa_podracers_race1_e1	0				0	none	none				1		1			1	tatooine	1124	0.0	2983			@quest/ground/tatooine_entha_podracers_race1:task00_waypoint_name	0	0.0	0.0	0.0		tatooine_espa_podracers_race1_e1	0			0		0	0	0	0	
quest.task.ground.go_to_location	@quest/ground/tatooine_entha_podracers_race1:task01_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task01_journal_entry_description	1			0	2		tatooine_espa_podracers_race1_e2	0				0	none	none				1	quest/tatooine_entha_race1_restart	1			1	tatooine	1168	0.0	3604			@quest/ground/tatooine_entha_podracers_race1:task01_waypoint_name	0	0.0	0.0	0.0											40	5
quest.task.ground.go_to_location	@quest/ground/tatooine_entha_podracers_race1:task02_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task02_journal_entry_description	1			0	3		tatooine_espa_podracers_race1_e3	0				0	none	none				1	quest/tatooine_entha_race1_restart	1			1	tatooine	1647	0.0	3577			@quest/ground/tatooine_entha_podracers_race1:task02_waypoint_name	0	0.0	0.0	0.0											30	5
quest.task.ground.go_to_location	@quest/ground/tatooine_entha_podracers_race1:task03_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task03_journal_entry_description	1			0	4		tatooine_espa_podracers_race1_e4	0				0	none	none				1	quest/tatooine_entha_race1_restart	1			1	tatooine	1871	0.0	3216			@quest/ground/tatooine_entha_podracers_race1:task03_waypoint_name	0	0.0	0.0	0.0											25	5
quest.task.ground.go_to_location	@quest/ground/tatooine_entha_podracers_race1:task04_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task04_journal_entry_description	1			0	5		tatooine_espa_podracers_race1_e5	0				0	none	none				1	quest/tatooine_entha_race1_restart	1			1	tatooine	1828	0.0	2864			@quest/ground/tatooine_entha_podracers_race1:task04_waypoint_name	0	0.0	0.0	0.0											25	5
quest.task.ground.go_to_location	@quest/ground/tatooine_entha_podracers_race1:task05_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task05_journal_entry_description	1			0	6		tatooine_espa_podracers_race1_e6	0				0	none	none				1	quest/tatooine_entha_race1_restart	1			1	tatooine	1529	0.0	2943			@quest/ground/tatooine_entha_podracers_race1:task05_waypoint_name	0	0.0	0.0	0.0											25	5
quest.task.ground.go_to_location	@quest/ground/tatooine_entha_podracers_race1:task06_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task06_journal_entry_description	1			0	7		tatooine_espa_podracers_race1_e7	0				0	none	none				1	quest/tatooine_entha_race1_restart	1			1	tatooine	1300	0.0	2859			@quest/ground/tatooine_entha_podracers_race1:task06_waypoint_name	0	0.0	0.0	0.0											20	5
quest.task.ground.go_to_location	@quest/ground/tatooine_entha_podracers_race1:task07_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task07_journal_entry_description	1			0	8		tatooine_espa_podracers_race1_e8	0				0	none	none				1	quest/tatooine_entha_race1_restart	1			1	tatooine	1124	0.0	2983			@quest/ground/tatooine_entha_podracers_race1:task07_waypoint_name	0	0.0	0.0	0.0											20	5
quest.task.ground.wait_for_signal	@quest/ground/tatooine_entha_podracers_race1:task08_journal_entry_title	@quest/ground/tatooine_entha_podracers_race1:task08_journal_entry_description	1			0	9		tatooine_espa_podracers_race1_e9	0				0	none	none				1		1			1	tatooine	1124	0.0	2983			@quest/ground/tatooine_entha_podracers_race1:task08_waypoint_name	0	0.0	0.0	0.0		tatooine_espa_podracers_race1_e9	0			0		0	0	0	0	
