ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	s	s	i	i
quest.task.ground.nothing	@quest/ground/corellia_39_chirq_council_04:task00_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task00_journal_entry_description	1			0	1,9,10,11,12			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																		
quest.task.ground.wait_for_tasks	@quest/ground/corellia_39_chirq_council_04:task01_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task01_journal_entry_description	1			0	2,4,5,6,7,8		chirq_council_04_01	1							1		1			1	corellia	2457	34	5047			@quest/ground/corellia_39_chirq_council_04:task01_waypoint_name	0	2457	34	5047	@quest/ground/corellia_39_chirq_council_04:task01_entrance_waypoint_name	quest/corellia_39_chirq_council_04	chirq_council_04_01a	@quest/ground/corellia_39_chirq_council_04:task01_task_display_string_1	quest/corellia_39_chirq_council_04	chirq_council_04_01b	@quest/ground/corellia_39_chirq_council_04:task01_task_display_string_2	quest/corellia_39_chirq_council_04	chirq_council_04_01c	@quest/ground/corellia_39_chirq_council_04:task01_task_display_string_3	quest/corellia_39_chirq_council_04	chirq_council_04_01d	@quest/ground/corellia_39_chirq_council_04:task01_task_display_string_4							0														
quest.task.ground.wait_for_tasks	@quest/ground/corellia_39_chirq_council_04:task02_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task02_journal_entry_description	1			0	3		chirq_council_04_02	1							1		1			1	corellia	4009	1	4843			@quest/ground/corellia_39_chirq_council_04:task02_waypoint_name	0	4009	1	4843	@quest/ground/corellia_39_chirq_council_04:task02_entrance_waypoint_name	quest/corellia_39_chirq_council_04	chirq_council_04_02a	@quest/ground/corellia_39_chirq_council_04:task02_task_display_string_1	quest/corellia_39_chirq_council_04	chirq_council_04_02b	@quest/ground/corellia_39_chirq_council_04:task02_task_display_string_2	quest/corellia_39_chirq_council_04	chirq_council_04_02c	@quest/ground/corellia_39_chirq_council_04:task02_task_display_string_3	quest/corellia_39_chirq_council_04	chirq_council_04_02d	@quest/ground/corellia_39_chirq_council_04:task02_task_display_string_4	quest/corellia_39_chirq_council_04	chirq_council_04_02e	@quest/ground/corellia_39_chirq_council_04:task02_task_display_string_5				0														
quest.task.ground.wait_for_signal	@quest/ground/corellia_39_chirq_council_04:task03_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task03_journal_entry_description	1			0			chirq_council_04_03	1							1		1			1	corellia	3178	300	5372			@quest/ground/corellia_39_chirq_council_04:task03_waypoint_name	0	0.0	0.0	0.0																				0	chirq_council_04_03	0			0		0	0	0					
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_04:task04_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task04_journal_entry_description	1			0			chirq_council_04_02e	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0										corellia_chirq_zuld_marshayal			1	0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_04:task05_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task05_journal_entry_description	1			0			chirq_council_04_02d	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0										corellia_chirq_janos_zarbo			1	0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_04:task06_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task06_journal_entry_description	1			0			chirq_council_04_02c	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0										corellia_chirq_braganti_hooge			1	0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_04:task07_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task07_journal_entry_description	1			0			chirq_council_04_02b	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0										corellia_chirq_markus_gilder			1	0
quest.task.ground.destroy_multi	@quest/ground/corellia_39_chirq_council_04:task08_journal_entry_title	@quest/ground/corellia_39_chirq_council_04:task08_journal_entry_description	1			0			chirq_council_04_02a	1							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																				0										corellia_chirq_koran_lassk			1	0
