PREREQUISITE_TASKS	EXCLUSION_TASKS	ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	TASKS_ON_COMPLETE	TASKS_ON_FAIL	IS_VISIBLE	SHOW_SYSTEM_MESSAGES	ALLOW_REPEATS	MUSIC_ON_ACTIVATE	TARGET	PARAMETER	SIGNAL_NAME	MIN_TIME	MAX_TIME	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	DIRECTION	SERVER_TEMPLATE
s	s	s	s	s	s	s	b	b	b	s	s	s	s	i	i	s	i	s	i	i	i	s	i	i	i	s	s
		quest.task.ground.nothing			1,9		1	0	0																		
		quest.task.ground.wait_for_signal			2,6		1	0	0																		
		quest.task.ground.timer			3		1	0	0					0	0												
		quest.task.ground.wait_for_signal			4		1	0	0																		
		quest.task.ground.reward			5		1	0	0								0	Rebel	0	0							
		quest.task.ground.complete_quest					1	0	0																		
		quest.task.ground.timer			7		1	0	0					0	0												
		quest.task.ground.encounter				8	1	0	0														1	5	50	Any	
		quest.task.ground.clear_quest					1	0	0																		
		quest.task.ground.escort			10		1	0	0																		
		quest.task.ground.clear_quest					1	0	0																		
