ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	RETRIEVE_MENU_TEXT	START_MESSAGE	PRIMARY_TARGET_WAVE_1	UTTERANCE_WAVE_1	RADIUS_WAVE_1	GUARDS_SPAWNED_WAVE_1	NUM_GUARDS_WAVE_1	DELAY_WAVE_1	PRIMARY_TARGET_WAVE_2	UTTERANCE_WAVE_2	RADIUS_WAVE_2	GUARDS_SPAWNED_WAVE_2	NUM_GUARDS_WAVE_2	DELAY_WAVE_2	PRIMARY_TARGET_WAVE_3	UTTERANCE_WAVE_3	RADIUS_WAVE_3	GUARDS_SPAWNED_WAVE_3	NUM_GUARDS_WAVE_3	DELAY_WAVE_3	PRIMARY_TARGET_WAVE_4	UTTERANCE_WAVE_4	RADIUS_WAVE_4	GUARDS_SPAWNED_WAVE_4	NUM_GUARDS_WAVE_4	DELAY_WAVE_4	PRIMARY_TARGET_WAVE_5	UTTERANCE_WAVE_5	RADIUS_WAVE_5	GUARDS_SPAWNED_WAVE_5	NUM_GUARDS_WAVE_5	DELAY_WAVE_5	PRIMARY_TARGET_WAVE_6	UTTERANCE_WAVE_6	RADIUS_WAVE_6	GUARDS_SPAWNED_WAVE_6	NUM_GUARDS_WAVE_6	DELAY_WAVE_6	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	b	s	s	s	s	f	f	f	i	s	s	s	s	s	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	s	s	f	s	i	i	i	i
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_negotiate_peace:task00_journal_entry_title	@quest/ground/u16_nym_themepark_negotiate_peace:task00_journal_entry_description	1			0	1		speakToAmbassador	0				0	none	none				1		1			1	lok	-83	12	2718			@quest/ground/u16_nym_themepark_negotiate_peace:task00_waypoint_name	0	0.0	0.0	0.0		hasSpokenToAmbassador	1	0			0		0	0	0	0																																											
quest.task.ground.comm_player			0			0	2		nymComm	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													@quest/ground/u16_nym_themepark_negotiate_peace:task01_comm_message_text	object/mobile/nym.iff																																									
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_negotiate_peace:task02_journal_entry_title	@quest/ground/u16_nym_themepark_negotiate_peace:task02_journal_entry_description	1			0	3		deliverMessage	0				0	none	none				1		1			1	lok	-83	12	2718			@quest/ground/u16_nym_themepark_negotiate_peace:task02_waypoint_name	0	0.0	0.0	0.0		hasDeliveredMessage	1	0			0		0	0	0	0																																											
quest.task.ground.wave_event_player	@quest/ground/u16_nym_themepark_negotiate_peace:task03_journal_entry_title	@quest/ground/u16_nym_themepark_negotiate_peace:task03_journal_entry_description	1			0	4		killTheHenchmen	0				0	none	none				1		1			1	lok	-83	12	2718			@quest/ground/u16_nym_themepark_negotiate_peace:task03_waypoint_name	0	0.0	0.0	0.0												0			object/mobile/nym_themepark_cale_serasai.iff	@quest/ground/u16_nym_themepark_negotiate_peace:task03_retrieve_menu_text	@quest/ground/u16_nym_themepark_negotiate_peace:task03_start_message	nym_themepark_sulfur_pirate_henchment	@quest/ground/u16_nym_themepark_negotiate_peace:task03_utterance_wave_1	0	nym_themepark_sulfur_pirate_henchmen_low	1	0	nym_themepark_sulfur_pirate_henchment	@quest/ground/u16_nym_themepark_negotiate_peace:task03_utterance_wave_2	1.0	nym_themepark_sulfur_pirate_henchmen_low	2	0	nym_themepark_sulfur_pirate_henchment	@quest/ground/u16_nym_themepark_negotiate_peace:task03_utterance_wave_3	1.0	nym_themepark_sulfur_pirate_henchmen_low	3	0			1.0		0	0			1.0		0	0			1.0		0	0		
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_negotiate_peace:task04_journal_entry_title	@quest/ground/u16_nym_themepark_negotiate_peace:task04_journal_entry_description	1			0	5		speakToAmbassadorTwo	0				0	none	none				1		1			1	lok	-83	12	2718			@quest/ground/u16_nym_themepark_negotiate_peace:task04_waypoint_name	0	0.0	0.0	0.0		hasSpokenToAmbassadorTwo	1	0			0		0	0	0	0																																											
quest.task.ground.timer			0			0	6		timer	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																						3	3
quest.task.ground.comm_player			0			0	7		SheeliCom	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													@quest/ground/u16_nym_themepark_negotiate_peace:task06_comm_message_text	object/mobile/nym_themepark_choster_sister.iff																																									
quest.task.ground.wait_for_signal	@quest/ground/u16_nym_themepark_negotiate_peace:task07_journal_entry_title	@quest/ground/u16_nym_themepark_negotiate_peace:task07_journal_entry_description	1			0	8		returnToNymSheeli	0				0	none	none				1		1			1	lok	475	13	4828			@quest/ground/u16_nym_themepark_negotiate_peace:task07_waypoint_name	0	0.0	0.0	0.0		hasReturnedToNymSheeli	1	0			0		0	0	0	0																																											
quest.task.ground.complete_quest			0			0			fin	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																																							
