ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	s	s	i	i	i	s	i	s	i	s	s	s	s	b	s	s	s	s	f	f	f
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_terrorist_responsible:task00_journal_entry_title	@quest/ground/naboo_theed_terrorist_responsible:task00_journal_entry_description	1			0	1		theed_terrorist_responsible_01	1							1		1			1	naboo	-4290.39990234375	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_terrorist_responsible:task00_waypoint_name		darkwalker		14	0	0																
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_terrorist_responsible:task01_journal_entry_title	@quest/ground/naboo_theed_terrorist_responsible:task01_journal_entry_description	1			0	2		theed_terrorist_responsible_02	1							1		1			1	naboo	-4290	-192.199996948242	4350.7998046875			@quest/ground/naboo_theed_terrorist_responsible:task01_waypoint_name						0	object/tangible/quest/naboo_theed_darkwalker_antenna.iff	1	@quest/ground/naboo_theed_terrorist_responsible:task01_item_name	100	@quest/ground/naboo_theed_terrorist_responsible:task01_retrieve_menu_text											
quest.task.ground.comm_player			0			0	3		theed_terrorist_responsible_03	0							1		1			0	tatooine	0.0	0.0	0.0															@quest/ground/naboo_theed_terrorist_responsible:task02_comm_message_text	object/mobile/naboo_sgt_bragg.iff									
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_terrorist_responsible:task03_journal_entry_title	@quest/ground/naboo_theed_terrorist_responsible:task03_journal_entry_description	1			0	4		theed_terrorist_responsible_04	1							1		1			1	naboo	-4750.60009765625	-196.399993896484	4864.5			@quest/ground/naboo_theed_terrorist_responsible:task03_waypoint_name		skaak_tipper_gang		14	0	0																
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_terrorist_responsible:task04_journal_entry_title	@quest/ground/naboo_theed_terrorist_responsible:task04_journal_entry_description	1			0	5		theed_terrorist_responsible_05	1							1		1			1	naboo	-4750.60009765625	-196.399993896484	4864.5			@quest/ground/naboo_theed_terrorist_responsible:task04_waypoint_name						0	object/tangible/quest/naboo_theed_skaak_antenna.iff	1	@quest/ground/naboo_theed_terrorist_responsible:task04_item_name	100	@quest/ground/naboo_theed_terrorist_responsible:task04_retrieve_menu_text											
quest.task.ground.comm_player			0			0	6		theed_terrorist_responsible_06	0							1		1			0	tatooine	0.0	0.0	0.0															@quest/ground/naboo_theed_terrorist_responsible:task05_comm_message_text	object/mobile/naboo_sgt_bragg.iff									
quest.task.ground.destroy_multi	@quest/ground/naboo_theed_terrorist_responsible:task06_journal_entry_title	@quest/ground/naboo_theed_terrorist_responsible:task06_journal_entry_description	1			0	7		theed_terrorist_responsible_07	1							1		1			1	naboo	-4526.2998046875	9.69999980926514	3650.19995117188			@quest/ground/naboo_theed_terrorist_responsible:task06_waypoint_name		mummer_gang		14	0	0																
quest.task.ground.retrieve_item	@quest/ground/naboo_theed_terrorist_responsible:task07_journal_entry_title	@quest/ground/naboo_theed_terrorist_responsible:task07_journal_entry_description	1			0	8		theed_terrorist_responsible_08	1							1		1			1	naboo	-4526.2998046875	9.69999980926514	3650.19995117188			@quest/ground/naboo_theed_terrorist_responsible:task07_waypoint_name						0	object/tangible/quest/naboo_theed_mummer_antenna.iff	1	@quest/ground/naboo_theed_terrorist_responsible:task07_item_name	100	@quest/ground/naboo_theed_terrorist_responsible:task07_retrieve_menu_text											
quest.task.ground.comm_player			0			0	9		theed_terrorist_responsible_09	0							1		1			0	tatooine	0.0	0.0	0.0															@quest/ground/naboo_theed_terrorist_responsible:task08_comm_message_text	object/mobile/naboo_sgt_bragg.iff									
