ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	MIN_TIME	MAX_TIME	RADIUS	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	s	i	i	s	s	s	s	i	i	i	i	s	i	i	i	s	s	s	s	s	s	i	i	i
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_main_quest_1:task00_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task00_journal_entry_description	1			0	1		accessMainframe	0	sound/mus_mustafar_quest_exception.snd						1		1	0	tatooine	0.0	0.0	0.0				talkedToTechnician	0			0		0	0	0	0																												
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_main_quest_1:task01_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task01_journal_entry_description	1			0	2			0							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/som_kenobi_mining_computer.iff	1	@quest/ground/som_kenobi_main_quest_1:task01_item_name	100	@quest/ground/som_kenobi_main_quest_1:task01_retrieve_menu_text																							
quest.task.ground.timer	@quest/ground/som_kenobi_main_quest_1:task02_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task02_journal_entry_description	1			0	3			1							1		1	0	tatooine	0.0	0.0	0.0																			10	15																					
quest.task.ground.retrieve_item	@quest/ground/som_kenobi_main_quest_1:task03_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task03_journal_entry_description	1			0	4			0							1		1	0	tatooine	0.0	0.0	0.0													0	object/tangible/quest/som_kenobi_mining_computer.iff	1	@quest/ground/som_kenobi_main_quest_1:task03_item_name	100	@quest/ground/som_kenobi_main_quest_1:task03_retrieve_menu_text																							
quest.task.ground.go_to_location	@quest/ground/som_kenobi_main_quest_1:task04_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task04_journal_entry_description	1			0	5,15			1							1		1	1	mustafar	-4050	75	2400			@quest/ground/som_kenobi_main_quest_1:task04_waypoint_name										0								25																				
quest.task.ground.timer			0			0	6			0							1		1	0	tatooine	0.0	0.0	0.0																			20	35																					
quest.task.ground.show_message_box			0			0	7			0							1		1	0	tatooine	0.0	0.0	0.0																						@quest/ground/som_kenobi_main_quest_1:task06_message_box_title	@quest/ground/som_kenobi_main_quest_1:task06_message_box_text		40	40	-1	-1													
quest.task.ground.encounter			0			0	8,14			0							1		1	0	tatooine	0.0	0.0	0.0													0																som_kenobi_blistmok	2	30	40	0.0	0.0							
quest.task.ground.wait_for_signal	@quest/ground/som_kenobi_main_quest_1:task08_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task08_journal_entry_description	1			0	9		talkHermit1	0							1		1	0	tatooine	0.0	0.0	0.0				talkedHermit1	0			0		0	0	0	0																												
quest.task.ground.encounter			0			0	10,12		attacked	0							1		1	0	tatooine	0.0	0.0	0.0													0																som_kenobi_blistmok	4	5	50	0.0	0.0							
quest.task.ground.wait_for_signal			0			0	11		talkHermit2	0							1		1	0	tatooine	0.0	0.0	0.0				talkedHermit2	0			0		0	0	0	0																												
quest.task.ground.complete_quest	@quest/ground/som_kenobi_main_quest_1:task11_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task11_journal_entry_description	1			0				1						som_kenobi_main_quest_spared	0		1	0	tatooine	0.0	0.0	0.0																																									
quest.task.ground.destroy_multi_and_loot			0			0	13			0							1		1	0	tatooine	0.0	0.0	0.0													0																						som_kenobi_crazed_hermit			You remove the Soul Crystal from the corpse of the Crazed Hermit.	1	100	0
quest.task.ground.complete_quest	@quest/ground/som_kenobi_main_quest_1:task13_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task13_journal_entry_description	1			0				1						som_kenobi_main_quest_killed	0		1	0	tatooine	0.0	0.0	0.0																																									
quest.task.ground.encounter	@quest/ground/som_kenobi_main_quest_1:task14_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task14_journal_entry_description	0			0				0							1		1	0	tatooine	0.0	0.0	0.0													0																som_kenobi_crazed_hermit	1	10	20	0.0	0.0							
quest.task.ground.show_message_box	@quest/ground/som_kenobi_main_quest_1:task15_journal_entry_title	@quest/ground/som_kenobi_main_quest_1:task15_journal_entry_description	1			0				0							1		1	0	tatooine	0.0	0.0	0.0																						@quest/ground/som_kenobi_main_quest_1:task15_message_box_title	@quest/ground/som_kenobi_main_quest_1:task15_message_box_text		60	60	-1	-1													
