ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	b	s	s	s	s	f	f	f	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	i	s	i	s	s	s
quest.task.ground.go_to_location	@quest/ground/talus_nashal_find_weakness:task00_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task00_journal_entry_description	1			0	1		selonian_recon_hill_1	0							1		1			1	talus	4340	67	4679			@quest/ground/talus_nashal_find_weakness:task00_waypoint_name	0	0.0	0.0	0.0		3	0																																		
quest.task.ground.go_to_location	@quest/ground/talus_nashal_find_weakness:task01_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task01_journal_entry_description	1			0	2		selonian_recon_landin_pad	0							1		1			1	talus	4275	50	4676			@quest/ground/talus_nashal_find_weakness:task01_waypoint_name	0	0.0	0.0	0.0		3	0																																		
quest.task.ground.go_to_location	@quest/ground/talus_nashal_find_weakness:task02_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task02_journal_entry_description	1			0	3		selonian_recon_hill_2	0							1		1			1	talus	4201	69	4752			@quest/ground/talus_nashal_find_weakness:task02_waypoint_name	0	0.0	0.0	0.0		3	0																																		
quest.task.ground.go_to_location	@quest/ground/talus_nashal_find_weakness:task03_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task03_journal_entry_description	1			0	4		selonian_recon_hill_3	0							1		1			1	talus	4275	64	4866			@quest/ground/talus_nashal_find_weakness:task03_waypoint_name	0	0.0	0.0	0.0		3	0																																		
quest.task.ground.wait_for_signal	@quest/ground/talus_nashal_find_weakness:task04_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task04_journal_entry_description	1			0	5		selonian_return_kiki_1	0							1		1			1	talus	4836.2001953125	33.2999992370605	5094.7001953125	talus	r5	@quest/ground/talus_nashal_find_weakness:task04_waypoint_name	1	4962.60009765625	67.5	5199.5	@quest/ground/talus_nashal_find_weakness:task04_entrance_waypoint_name		0	selonian_return_kiki_1	0			0		0	0	0																									
quest.task.ground.wait_for_tasks	@quest/ground/talus_nashal_find_weakness:task05_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task05_journal_entry_description	1			0	6		selonian_gather_missions	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0										quest/talus_nashal_exploit_weakness	selonian_exploit_weakness_start	@quest/ground/talus_nashal_find_weakness:task05_task_display_string_1	quest/talus_nashal_under_thumb	selonian_under_thumb_start	@quest/ground/talus_nashal_find_weakness:task05_task_display_string_2	quest/talus_nashal_gather_missing	selonian_find_missing_start	@quest/ground/talus_nashal_find_weakness:task05_task_display_string_3																
quest.task.ground.retrieve_item	@quest/ground/talus_nashal_find_weakness:task06_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task06_journal_entry_description	1			0	7		selonian_cargo_flight_plan	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0			0																												object/tangible/quest/talus_selonian_smuggler_flight_terminal.iff	1	@quest/ground/talus_nashal_find_weakness:task06_item_name	100	@quest/ground/talus_nashal_find_weakness:task06_retrieve_menu_text		
quest.task.ground.comm_player	@quest/ground/talus_nashal_find_weakness:task07_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task07_journal_entry_description	1			0	8		selonian_kiki_comm	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																				@quest/ground/talus_nashal_find_weakness:task07_comm_message_text	object/mobile/selonian_female_16.iff
quest.task.ground.wait_for_signal	@quest/ground/talus_nashal_find_weakness:task08_journal_entry_title	@quest/ground/talus_nashal_find_weakness:task08_journal_entry_description	1			0	9		selonian_return_kiki_2	0							1		1			1	talus	4836.2001953125	33.2999992370605	5094.7001953125	talus	r5	@quest/ground/talus_nashal_find_weakness:task08_waypoint_name	1	4962.60009765625	67.5	5199.5	@quest/ground/talus_nashal_find_weakness:task08_entrance_waypoint_name		0	selonian_return_kiki_2	0			0		0	0	0																									
quest.task.ground.complete_quest			0			0			selonian_complete_kiki	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																																					
