ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS	TIMER_AMOUNT	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.nothing			0			0	1,2,3,4,5,6			0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																											
quest.task.ground.destroy_multi	@quest/ground/coronet_murmurs_6_zoo:task01_journal_entry_title	@quest/ground/coronet_murmurs_6_zoo:task01_journal_entry_description	1			0			killcats	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		murmur_sedated_tusk_cat			4	0	0																				
quest.task.ground.destroy_multi	@quest/ground/coronet_murmurs_6_zoo:task02_journal_entry_title	@quest/ground/coronet_murmurs_6_zoo:task02_journal_entry_description	1			0			killspiders	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		murmur_sedated_spider			6	0	0																				
quest.task.ground.destroy_multi	@quest/ground/coronet_murmurs_6_zoo:task03_journal_entry_title	@quest/ground/coronet_murmurs_6_zoo:task03_journal_entry_description	1			0			killmites	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		murmur_sedated_mite			5	0	0																				
quest.task.ground.destroy_multi	@quest/ground/coronet_murmurs_6_zoo:task04_journal_entry_title	@quest/ground/coronet_murmurs_6_zoo:task04_journal_entry_description	1			0			killklik	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		murmur_sedated_kliknik			5	0	0																				
quest.task.ground.destroy_multi	@quest/ground/coronet_murmurs_6_zoo:task05_journal_entry_title	@quest/ground/coronet_murmurs_6_zoo:task05_journal_entry_description	1			0			killdurni	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		murmur_sedated_durni			5	0	0																				
quest.task.ground.wait_for_tasks	@quest/ground/coronet_murmurs_6_zoo:task06_journal_entry_title	@quest/ground/coronet_murmurs_6_zoo:task06_journal_entry_description	1			0	7,8,9			0							1		1			1	corellia	217	8	-7065			@quest/ground/coronet_murmurs_6_zoo:task06_waypoint_name	0	0.0	0.0	0.0							0	quest/coronet_murmurs_6_zoo	killdurni	@quest/ground/coronet_murmurs_6_zoo:task06_task_display_string_1	quest/coronet_murmurs_6_zoo	killklik	@quest/ground/coronet_murmurs_6_zoo:task06_task_display_string_2	quest/coronet_murmurs_6_zoo	killmites	@quest/ground/coronet_murmurs_6_zoo:task06_task_display_string_3	quest/coronet_murmurs_6_zoo	killspiders	@quest/ground/coronet_murmurs_6_zoo:task06_task_display_string_4	quest/coronet_murmurs_6_zoo	killcats	@quest/ground/coronet_murmurs_6_zoo:task06_task_display_string_5					
quest.task.ground.destroy_multi	@quest/ground/coronet_murmurs_6_zoo:task07_journal_entry_title	@quest/ground/coronet_murmurs_6_zoo:task07_journal_entry_description	1			0			killack	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		murmur_sedated_acklay			1	0	0																				
quest.task.ground.destroy_multi	@quest/ground/coronet_murmurs_6_zoo:task08_journal_entry_title	@quest/ground/coronet_murmurs_6_zoo:task08_journal_entry_description	1			0			killrancor	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		murmur_sedated_rancor			1	0	0																				
